,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
55,0.12269630432128906,0.02671860620755017,0.4224942684173584,0.1017551455336476,distance,6,18,kd_tree,"{'weights': 'distance', 'n_neighbors': 6, 'leaf_size': 18, 'algorithm': 'kd_tree'}",-0.16332846927102668,-0.1662904125553178,-0.15853423358859461,-0.1695453927723369,-0.1743654717108505,-0.15627249472172633,-0.18383513829448647,-0.15065415490941744,-0.15950796549638957,-0.17765793148129508,-0.16599916648014415,0.009857866710351307,1
46,0.16394176483154296,0.08736634989737103,0.4101115226745605,0.15995042057610895,distance,6,38,kd_tree,"{'weights': 'distance', 'n_neighbors': 6, 'leaf_size': 38, 'algorithm': 'kd_tree'}",-0.16332846927102668,-0.1662904125553178,-0.15853423358859461,-0.1695453927723369,-0.1743654717108505,-0.15627249472172633,-0.18383513829448647,-0.15065415490941744,-0.15950796549638957,-0.17765793148129508,-0.16599916648014415,0.009857866710351307,1
19,0.12311320304870606,0.042303871268832706,0.31674990653991697,0.08615454116161915,distance,8,22,kd_tree,"{'weights': 'distance', 'n_neighbors': 8, 'leaf_size': 22, 'algorithm': 'kd_tree'}",-0.16608374530799713,-0.1652922412341422,-0.15843752459011073,-0.17149258016135502,-0.178952655846057,-0.157467277618555,-0.1842917956956395,-0.14757448627705574,-0.1556096222407496,-0.17552098775408764,-0.16607229167257492,0.010959435634493942,3
17,0.19553203582763673,0.12517274089786284,0.3646986722946167,0.08809280533514065,distance,8,45,kd_tree,"{'weights': 'distance', 'n_neighbors': 8, 'leaf_size': 45, 'algorithm': 'kd_tree'}",-0.16608374530799713,-0.1652922412341422,-0.15843752459011073,-0.17149258016135502,-0.178952655846057,-0.157467277618555,-0.1842917956956395,-0.14757448627705574,-0.1556096222407496,-0.17552098775408764,-0.16607229167257492,0.010959435634493942,3
36,0.15887763500213622,0.05047310149014784,0.2866616725921631,0.10713752789271033,distance,7,23,kd_tree,"{'weights': 'distance', 'n_neighbors': 7, 'leaf_size': 23, 'algorithm': 'kd_tree'}",-0.16315028607622922,-0.16443721432395889,-0.15680647373637344,-0.17167072757775886,-0.17690306127975347,-0.1596831224067134,-0.1831335304452234,-0.14847941684236107,-0.16213260593651005,-0.17450644677957736,-0.1660902885404459,0.0098680519145788,5
23,0.14649856090545654,0.03343030026618215,0.2889186143875122,0.07557993711901392,distance,7,22,kd_tree,"{'weights': 'distance', 'n_neighbors': 7, 'leaf_size': 22, 'algorithm': 'kd_tree'}",-0.16315028607622922,-0.16443721432395889,-0.15680647373637344,-0.17167072757775886,-0.17690306127975347,-0.1596831224067134,-0.1831335304452234,-0.14847941684236107,-0.16213260593651005,-0.17450644677957736,-0.1660902885404459,0.0098680519145788,5
54,0.1303779363632202,0.04926638421127977,0.2949533224105835,0.13097269818216956,distance,11,39,kd_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 39, 'algorithm': 'kd_tree'}",-0.16557123622547745,-0.16160481947831887,-0.1654370829430739,-0.1715512448642093,-0.1816598305246388,-0.16009392390104302,-0.18263600506505015,-0.14778725583846827,-0.15125100451380416,-0.17471367032007315,-0.1662306073674157,0.011100164446675751,7
59,0.18812241554260253,0.04631352027130848,0.3386543750762939,0.07997812376104212,distance,11,29,kd_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 29, 'algorithm': 'kd_tree'}",-0.16557123622547745,-0.16160481947831887,-0.1654370829430739,-0.1715512448642093,-0.1816598305246388,-0.16009392390104302,-0.18263600506505015,-0.14778725583846827,-0.15125100451380416,-0.17471367032007315,-0.1662306073674157,0.011100164446675751,7
73,0.11339461803436279,0.04119457186938687,0.1848813772201538,0.07544142191553753,distance,12,43,kd_tree,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 43, 'algorithm': 'kd_tree'}",-0.16390439836596715,-0.16381322467475562,-0.16521494958863261,-0.17264825188206243,-0.1816935016728308,-0.15876911173361866,-0.18317391471084563,-0.1463679291945848,-0.15084973309802824,-0.17766996208233857,-0.16641049770036645,0.011819288890757357,9
3,0.2288724422454834,0.06999341622041291,0.426698899269104,0.11394030068674078,distance,12,35,kd_tree,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 35, 'algorithm': 'kd_tree'}",-0.16390439836596715,-0.16381322467475562,-0.16521494958863261,-0.17264825188206243,-0.1816935016728308,-0.15876911173361866,-0.18317391471084563,-0.1463679291945848,-0.15084973309802824,-0.17766996208233857,-0.16641049770036645,0.011819288890757357,9
