,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_random_state,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
29,16.155450534820556,1.1824290780069155,0.14133985042572023,0.03772551684736024,0.5335667833916958,0.8571,0.464,42,6,56,0.26799099549774885,0.007130015007503752,0.9698349174587294,"{'subsample': 0.5335667833916958, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 56, 'learning_rate': 0.26799099549774885, 'gamma': 0.007130015007503752, 'colsample_bytree': 0.9698349174587294}",-0.14307300141909493,-0.11660651342155781,-0.13321891707778463,-0.1460450053919947,-0.15241981193712378,-0.11571796429716445,-0.13525213609063425,-0.11982204557155242,-0.11795501897345563,-0.15141179148083136,-0.1331522205661194,0.014000264684506086,58
95,4.273096752166748,0.2599658133451057,0.13110933303833008,0.03383098313069507,0.35482741370685345,0.8571,0.464,42,4,47,0.2102551275637819,0.0017602801400700351,0.1850925462731366,"{'subsample': 0.35482741370685345, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 47, 'learning_rate': 0.2102551275637819, 'gamma': 0.0017602801400700351, 'colsample_bytree': 0.1850925462731366}",-0.13804828822713683,-0.12389973242975519,-0.12162533347893541,-0.13951517115544915,-0.14923947188705586,-0.11290520224768394,-0.14158078850977981,-0.13653360841496467,-0.12960985021925986,-0.1395349833449969,-0.13324924299150176,0.010427589095512328,59
36,11.721961784362794,1.488257214864445,0.11980705261230469,0.02839051373595052,0.48764382191095546,0.8571,0.464,42,4,49,0.2624567283641821,0.008550975487743872,0.6690845422711356,"{'subsample': 0.48764382191095546, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 49, 'learning_rate': 0.2624567283641821, 'gamma': 0.008550975487743872, 'colsample_bytree': 0.6690845422711356}",-0.1357202705732451,-0.12537041973746832,-0.12465044901653735,-0.14715743153600758,-0.16562820145380533,-0.11797838569821299,-0.12977742050317143,-0.13292814460226268,-0.11718987897093353,-0.1386920887196715,-0.13350926908113156,0.01384255429978859,60
76,27.25958459377289,1.132073070707727,0.13234128952026367,0.01916179065177974,0.8217108554277138,0.8571,0.464,42,1,56,0.233887943971986,0.00530520260130065,0.9671335667833917,"{'subsample': 0.8217108554277138, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 1, 'max_depth': 56, 'learning_rate': 0.233887943971986, 'gamma': 0.00530520260130065, 'colsample_bytree': 0.9671335667833917}",-0.13611054287980362,-0.1136449164237961,-0.13667646806793993,-0.1555461526577356,-0.15525980196179398,-0.11934362051228309,-0.13279748664753754,-0.11669098088894499,-0.1233289771496342,-0.14768965257159078,-0.133708859976106,0.014691666023538764,61
46,4.907892370223999,0.5765525573178693,0.1160353183746338,0.026395104894942185,0.1738369184592296,0.8571,0.464,42,4,55,0.0718984492246123,0.021593896948474234,0.7208604302151076,"{'subsample': 0.1738369184592296, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 55, 'learning_rate': 0.0718984492246123, 'gamma': 0.021593896948474234, 'colsample_bytree': 0.7208604302151076}",-0.12974731280694474,-0.12218566184230414,-0.12792276878648826,-0.14282016353062232,-0.15504203590196508,-0.1259234579119888,-0.13970852760616584,-0.12371790209871415,-0.13422301541396356,-0.13711516032975288,-0.133840600622891,0.009634305725984919,62
61,12.114122915267945,1.0664931840253442,0.12213525772094727,0.034286389616145566,0.511055527763882,0.8571,0.464,42,1,41,0.20890895447723862,0.012095897948974487,0.4471235617808905,"{'subsample': 0.511055527763882, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 1, 'max_depth': 41, 'learning_rate': 0.20890895447723862, 'gamma': 0.012095897948974487, 'colsample_bytree': 0.4471235617808905}",-0.11957293650560862,-0.1255345357006259,-0.1304601554683184,-0.1501860900872583,-0.1659946244315221,-0.11471786633980526,-0.12991466825346598,-0.11863278286444995,-0.12407569774364302,-0.1605335189207257,-0.13396228763154233,0.017335303305207377,63
43,17.24327688217163,1.297334236224054,0.11640517711639405,0.031908691492390194,0.8199099549774888,0.8571,0.464,42,1,50,0.2564737368684342,0.02992521260630315,0.4354177088544272,"{'subsample': 0.8199099549774888, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 1, 'max_depth': 50, 'learning_rate': 0.2564737368684342, 'gamma': 0.02992521260630315, 'colsample_bytree': 0.4354177088544272}",-0.13590291891008188,-0.10881070660201286,-0.13356234666972408,-0.15115006502116116,-0.15858208804282456,-0.10986999055542575,-0.13879940281746772,-0.12865741538220082,-0.12288793922628885,-0.15335105795512413,-0.1341573931182312,0.016334764680776465,64
34,3.295497417449951,0.12068149319232573,0.09515495300292968,0.025876779874524705,0.23686843421710857,0.8571,0.464,42,6,54,0.15117308654327163,0.017286143071535767,0.21480740370185092,"{'subsample': 0.23686843421710857, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 54, 'learning_rate': 0.15117308654327163, 'gamma': 0.017286143071535767, 'colsample_bytree': 0.21480740370185092}",-0.13638528419777174,-0.12182752309701429,-0.1299768658267301,-0.1561563426124441,-0.1574914730848446,-0.1105153311710735,-0.1428326019187492,-0.12395400510525456,-0.1218925777805402,-0.14309041415605006,-0.13441224189504725,0.014733599755331808,65
56,9.29796369075775,0.4157032804031262,0.12397947311401367,0.05023997203448848,0.40165082541270636,0.8571,0.464,42,2,43,0.2572216108054027,0.019365232616308153,0.43811905952976493,"{'subsample': 0.40165082541270636, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 43, 'learning_rate': 0.2572216108054027, 'gamma': 0.019365232616308153, 'colsample_bytree': 0.43811905952976493}",-0.13451869369130992,-0.12151141745913809,-0.12820713525653896,-0.15301543627502387,-0.16655396793387048,-0.11629828742235099,-0.11662902131919729,-0.12001706917471106,-0.12423381036570619,-0.16316741854453684,-0.13441522574423836,0.018347084747294684,66
60,8.56892704963684,0.5810487632189876,0.11879153251647949,0.033648987075134876,0.29899949974987494,0.8571,0.464,42,4,41,0.20995597798899449,0.01004672336168084,0.7946973486743372,"{'subsample': 0.29899949974987494, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 41, 'learning_rate': 0.20995597798899449, 'gamma': 0.01004672336168084, 'colsample_bytree': 0.7946973486743372}",-0.11765315289177722,-0.12264788545004668,-0.13522880312735788,-0.1653654733979758,-0.1558597316083686,-0.1231002354240754,-0.13259156479410758,-0.13910024182379105,-0.12069997450074425,-0.13570827030144297,-0.13479553333196875,0.01476320363881618,67
42,13.105459094047546,0.907668410797647,0.11290283203125,0.03856768254970823,0.4066033016508255,0.8571,0.464,42,2,53,0.25138819409704855,0.016433566783391695,0.6848424212106053,"{'subsample': 0.4066033016508255, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 53, 'learning_rate': 0.25138819409704855, 'gamma': 0.016433566783391695, 'colsample_bytree': 0.6848424212106053}",-0.13741316169203302,-0.13184648722088704,-0.1278949115304453,-0.15268997063499676,-0.15581641533810084,-0.11738044434995809,-0.14074392708127106,-0.11459549154687593,-0.12740459538559837,-0.14388383803558547,-0.1349669242815752,0.013072473741631617,68
88,4.971426343917846,0.3874982355561205,0.10112929344177246,0.029013626968013857,0.2296648324162081,0.8571,0.464,42,8,49,0.2101055527763882,0.011093746873436717,0.5893946973486743,"{'subsample': 0.2296648324162081, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 49, 'learning_rate': 0.2101055527763882, 'gamma': 0.011093746873436717, 'colsample_bytree': 0.5893946973486743}",-0.13775861203604794,-0.11832808148510544,-0.13124901052810495,-0.15578962888490727,-0.15866772684064354,-0.1245150999532708,-0.126836027892521,-0.128691789378618,-0.12869802563723448,-0.15081928845946468,-0.13613532910959183,0.013362091264070996,69
75,4.389358544349671,0.4128751252771678,0.10612537860870361,0.03333991921539371,0.27108554277138575,0.8571,0.464,42,8,56,0.06561630815407704,0.015880140070035017,0.7726363181590795,"{'subsample': 0.27108554277138575, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 56, 'learning_rate': 0.06561630815407704, 'gamma': 0.015880140070035017, 'colsample_bytree': 0.7726363181590795}",-0.13225239597547936,-0.12263657714500344,-0.13065502723502606,-0.15115823399957845,-0.15637443671316237,-0.13275526743895577,-0.1481096830062918,-0.12286140050833157,-0.1303191084178145,-0.13607177028170725,-0.13631939007213506,0.011077622299108851,70
39,2.765340709686279,0.14673752362750342,0.12152242660522461,0.018057956921077416,0.1972486243121561,0.8571,0.464,42,8,44,0.08894997498749375,0.021234917458729363,0.23731865932966484,"{'subsample': 0.1972486243121561, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 44, 'learning_rate': 0.08894997498749375, 'gamma': 0.021234917458729363, 'colsample_bytree': 0.23731865932966484}",-0.13760386464129998,-0.13042983862826188,-0.12439760889005848,-0.15561942123768222,-0.15659260216245924,-0.11736443339309903,-0.14107465874324204,-0.13307638598028512,-0.13339913008759546,-0.13437048007032174,-0.13639284238343052,0.011690389829526462,71
11,6.803756475448608,0.3923720377399928,0.14028964042663575,0.08258727153014209,0.15447723861930968,0.8571,0.464,42,2,49,0.17450675337668833,0.02697858929464732,0.6560280140070035,"{'subsample': 0.15447723861930968, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 49, 'learning_rate': 0.17450675337668833, 'gamma': 0.02697858929464732, 'colsample_bytree': 0.6560280140070035}",-0.13957520997658773,-0.11846612018491293,-0.12965920163949385,-0.15307514604684558,-0.15870926848951863,-0.13926521369893638,-0.13513641062576634,-0.12638820104792187,-0.11634670148271133,-0.152666515394336,-0.13692879885870307,0.0138812411925143,72
83,5.2082703590393065,0.3594197021340521,0.12361061573028564,0.025581655016173342,0.1,0.8571,0.464,42,1,45,0.12724112056028014,0.02178834417208604,0.4930465232616308,"{'subsample': 0.1, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 1, 'max_depth': 45, 'learning_rate': 0.12724112056028014, 'gamma': 0.02178834417208604, 'colsample_bytree': 0.4930465232616308}",-0.1370986909960655,-0.12880573522144576,-0.13732917297822597,-0.1361017239113422,-0.15906807333034798,-0.12659128844714482,-0.1565035741510672,-0.12700215796466027,-0.1145206188712147,-0.14862828993736796,-0.13716493258088822,0.01335674373463474,73
20,5.4013055801391605,0.2973092792472746,0.12909948825836182,0.0223019823376229,0.18554277138569286,0.8571,0.464,42,4,54,0.1764512256128064,0.02482471235617809,0.45207603801900953,"{'subsample': 0.18554277138569286, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 54, 'learning_rate': 0.1764512256128064, 'gamma': 0.02482471235617809, 'colsample_bytree': 0.45207603801900953}",-0.15509300263158954,-0.12060596573846656,-0.14228099973537367,-0.14453295952085565,-0.15526627375815916,-0.13452912322507307,-0.13864192055937125,-0.13072540657513937,-0.11300157203943549,-0.1397612601968603,-0.13744384839803242,0.012822492129875504,74
28,7.2054708242416385,0.5931272666552827,0.12918174266815186,0.047544284362464447,0.10945472736368185,0.8571,0.464,42,4,52,0.14937818909454728,0.0036748374187093543,0.978839419709855,"{'subsample': 0.10945472736368185, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 52, 'learning_rate': 0.14937818909454728, 'gamma': 0.0036748374187093543, 'colsample_bytree': 0.978839419709855}",-0.1419136162299833,-0.11983206012221335,-0.12807550857012626,-0.15432268100123722,-0.15588563555486148,-0.12094084654024342,-0.1379540294193998,-0.13581990304667002,-0.1351366238429231,-0.15186744259544968,-0.13817483469231076,0.012353868641247368,75
65,2.6602632999420166,0.2691523182369569,0.10252330303192139,0.025983481727250412,0.19589794897448726,0.8571,0.464,42,2,56,0.07982591295647824,0.00015982991495747874,0.12611305652826413,"{'subsample': 0.19589794897448726, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 56, 'learning_rate': 0.07982591295647824, 'gamma': 0.00015982991495747874, 'colsample_bytree': 0.12611305652826413}",-0.13091716879233178,-0.1351786395296056,-0.13996355121913537,-0.152151318687668,-0.1604315703147113,-0.12576402297285597,-0.14004308856950537,-0.13078139506822853,-0.13178393957556594,-0.14946832722570474,-0.13964830219553126,0.010556570516720522,76
82,6.286137127876282,0.5583778353179795,0.10974969863891601,0.03241748105283625,0.24947473736868436,0.8571,0.464,42,8,53,0.2477983991995998,0.028085442721360678,0.7271635817908955,"{'subsample': 0.24947473736868436, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 53, 'learning_rate': 0.2477983991995998, 'gamma': 0.028085442721360678, 'colsample_bytree': 0.7271635817908955}",-0.13590610245180734,-0.12262537482454867,-0.14316515286978668,-0.16313551944050017,-0.16223377811505113,-0.12053018953971124,-0.14989281669380686,-0.12157602364509631,-0.13302084559687902,-0.14554281709972353,-0.13976286202769111,0.015011669655604926,77
50,16.43688654899597,1.8765234883824713,0.12480061054229737,0.0325346500819444,0.4142571285642822,0.8571,0.464,42,2,45,0.2860895447723862,0.027502101050525262,0.9441720860430215,"{'subsample': 0.4142571285642822, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 45, 'learning_rate': 0.2860895447723862, 'gamma': 0.027502101050525262, 'colsample_bytree': 0.9441720860430215}",-0.12850336094027137,-0.1492343487646019,-0.13947363742873678,-0.1519953824742444,-0.16818924756876183,-0.12957485840042293,-0.13182191875181137,-0.11669410115687887,-0.13547532551894248,-0.15920718821207225,-0.14101693692167444,0.015013402365335512,78
80,7.452205657958984,0.6606657869221498,0.10693714618682862,0.027750898187746433,0.21255627813906955,0.8571,0.464,42,8,52,0.26335417708854425,0.025617458729364682,0.8455727863931967,"{'subsample': 0.21255627813906955, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 52, 'learning_rate': 0.26335417708854425, 'gamma': 0.025617458729364682, 'colsample_bytree': 0.8455727863931967}",-0.14622204561622565,-0.121193513260826,-0.1288557135580346,-0.16142514158726917,-0.15534310629079492,-0.13822434022291685,-0.16321989743468557,-0.14217926933622974,-0.15421250361329858,-0.14324222316798993,-0.1454117754088271,0.012952762163882938,79
33,2.989431619644165,0.24693959589205078,0.10860378742218017,0.019355771803099855,0.11125562781390697,0.8571,0.464,42,8,52,0.18407953976988495,0.009448424212106052,0.41335667833916956,"{'subsample': 0.11125562781390697, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 52, 'learning_rate': 0.18407953976988495, 'gamma': 0.009448424212106052, 'colsample_bytree': 0.41335667833916956}",-0.14790341635952534,-0.1316015756317475,-0.14804708852058135,-0.16586864305482593,-0.15705448419712525,-0.14678419449601146,-0.1516523020784743,-0.1365831390965751,-0.13289284068435328,-0.1503228482538428,-0.14687105323730623,0.01017954243195291,80
67,3.6548149585723877,0.2750002590399307,0.13175106048583984,0.02976822056488333,0.15087543771885945,0.8571,0.464,42,1,41,0.24046923461730865,0.025482841420710355,0.14367183591795898,"{'subsample': 0.15087543771885945, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 1, 'max_depth': 41, 'learning_rate': 0.24046923461730865, 'gamma': 0.025482841420710355, 'colsample_bytree': 0.14367183591795898}",-0.14905294002953687,-0.13693177552006291,-0.1471389284479418,-0.158907869011132,-0.1639760052346121,-0.13234902376276675,-0.15466258154445484,-0.14424015997643455,-0.13614311533522638,-0.16152020007902745,-0.14849225989411957,0.010597206437533698,81
59,6.025742411613464,0.6069377803005204,0.13271865844726563,0.04524883617807031,0.23236618309154577,0.8571,0.464,42,6,55,0.28878189094547274,0.01854257128564282,0.6060530265132567,"{'subsample': 0.23236618309154577, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 55, 'learning_rate': 0.28878189094547274, 'gamma': 0.01854257128564282, 'colsample_bytree': 0.6060530265132567}",-0.13707268085592575,-0.12860358422853982,-0.13748254317280817,-0.16723796707961597,-0.16904879754843638,-0.1301028445857957,-0.15265292281683124,-0.14148740324124018,-0.15103760635886335,-0.17147175498932513,-0.14861981048773817,0.015362538415327356,82
