,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
32,2.674246072769165,0.25501264843584015,0.21422529220581055,0.06368596262547863,42,79,5,1,126,"{'random_state': 42, 'n_estimators': 79, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 126}",-0.14262173521857524,-0.1347771921885106,-0.1420478488090485,-0.1765043837954762,-0.17228134719195962,-0.11586676463148271,-0.14181555416605426,-0.12680224011978153,-0.14759843727101724,-0.14102156867053597,-0.14413370720624422,0.017495127794705436,1
70,3.217661952972412,0.32946431011057703,0.23703601360321044,0.13561464535200757,42,123,23,1,106,"{'random_state': 42, 'n_estimators': 123, 'min_samples_split': 23, 'min_samples_leaf': 1, 'max_depth': 106}",-0.14451225579386046,-0.13667451397978386,-0.14883067702111852,-0.177452800864816,-0.18035224189712873,-0.12049698470882533,-0.15300841157307063,-0.132168434626083,-0.1533275669880872,-0.14758063817969577,-0.14944045256324695,0.017593192857942315,2
68,4.474548935890198,0.38773359215004494,0.26095356941223147,0.10340227885613765,42,157,11,5,102,"{'random_state': 42, 'n_estimators': 157, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_depth': 102}",-0.14921625093440538,-0.1360761305903468,-0.1488289500522802,-0.17936882806017054,-0.17698117236303,-0.12099865026098963,-0.1522981373583215,-0.13478561964410882,-0.15490292667058148,-0.143033672706858,-0.14964903386410924,0.017133432840061667,3
19,0.8397469997406006,0.1391559943124278,0.13000998497009278,0.07050780315702483,42,35,23,5,61,"{'random_state': 42, 'n_estimators': 35, 'min_samples_split': 23, 'min_samples_leaf': 5, 'max_depth': 61}",-0.1524494899296974,-0.1407201356141272,-0.15882017262566855,-0.18204541876728048,-0.18355460591446918,-0.12556827998399944,-0.15510725004002268,-0.13991959022185396,-0.15875662215107827,-0.15054202948679463,-0.15474835947349916,0.017025987280920557,4
77,0.9459096193313599,0.12225040856684802,0.1124586820602417,0.053852322068992535,42,41,37,3,98,"{'random_state': 42, 'n_estimators': 41, 'min_samples_split': 37, 'min_samples_leaf': 3, 'max_depth': 98}",-0.15402766649255062,-0.14428758168099867,-0.16093765901973217,-0.18579212373470144,-0.1920444000220725,-0.12949945992686857,-0.1573544300661113,-0.14031796452740525,-0.1604715494462293,-0.15490951372380646,-0.15796423486404762,0.01812418770264355,5
10,2.8899125337600706,0.24070955778199163,0.1604611396789551,0.09031368848349962,42,147,7,13,195,"{'random_state': 42, 'n_estimators': 147, 'min_samples_split': 7, 'min_samples_leaf': 13, 'max_depth': 195}",-0.15565962563004257,-0.14215019392997974,-0.15789018174944963,-0.184878030208565,-0.19059206440717574,-0.13318831626739086,-0.1634330137709658,-0.14541341957834328,-0.16601771191489825,-0.1521743677547352,-0.15913969252115462,0.017117736225575955,6
85,1.5189656257629394,0.16137460207354573,0.10852274894714356,0.06011163895806366,42,67,7,13,122,"{'random_state': 42, 'n_estimators': 67, 'min_samples_split': 7, 'min_samples_leaf': 13, 'max_depth': 122}",-0.15710187305968706,-0.14431588906436107,-0.1583992558690964,-0.1856812138438647,-0.19182013998022726,-0.13598143397005583,-0.16130939436097563,-0.14577648560307196,-0.165586419490219,-0.15163573768871158,-0.15976078429302706,0.016764575822092426,7
48,2.624047780036926,0.3447401671235738,0.14154844284057616,0.08724696305345736,42,123,47,1,57,"{'random_state': 42, 'n_estimators': 123, 'min_samples_split': 47, 'min_samples_leaf': 1, 'max_depth': 57}",-0.15196331784795664,-0.1441591398969088,-0.15867535473939937,-0.18693205308648642,-0.19532704167349643,-0.1332594984352904,-0.16572852155834694,-0.1441276242613354,-0.16652634354841905,-0.15568165763497321,-0.16023805526826126,0.01830597821284491,8
46,0.9680535316467285,0.11218344892711367,0.11010630130767822,0.0637040207123488,42,45,47,7,187,"{'random_state': 42, 'n_estimators': 45, 'min_samples_split': 47, 'min_samples_leaf': 7, 'max_depth': 187}",-0.1582833580249323,-0.1459354865595735,-0.16390568278189654,-0.18928044547391332,-0.19860966787268755,-0.13808412777898438,-0.16577436122143913,-0.14674522153341688,-0.16839941886382162,-0.15652140086855623,-0.16315391709792212,0.017990496129491943,9
25,1.3802318096160888,0.1293419215404763,0.13391315937042236,0.052608559301739036,42,67,59,3,143,"{'random_state': 42, 'n_estimators': 67, 'min_samples_split': 59, 'min_samples_leaf': 3, 'max_depth': 143}",-0.1586733445264451,-0.1489258619540909,-0.16411794480946817,-0.19246712986659342,-0.20219652399547272,-0.14067914637203552,-0.1699157845708171,-0.1511510809631825,-0.17227342501567908,-0.15975178972509704,-0.16601520317988816,0.018206615804220373,10
52,2.28626344203949,0.28747589288169006,0.15488052368164062,0.09509068984976672,42,121,37,23,49,"{'random_state': 42, 'n_estimators': 121, 'min_samples_split': 37, 'min_samples_leaf': 23, 'max_depth': 49}",-0.16321122281805622,-0.15131535586017777,-0.16690107152141473,-0.19347329914168646,-0.20346172660910777,-0.14108017955306706,-0.17364150078806712,-0.15365080967264733,-0.17696965982814045,-0.15968628719240094,-0.1683391112984766,0.018220223885760875,11
