,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
27,0.037575817108154295,0.010205566184844486,0.005589437484741211,0.0003862408325899133,sparse_cg,42,8.941972856428215,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 8.941972856428215}",-0.11752048079588416,-0.10469135305819213,-0.11328490198818673,-0.15499133629380824,-0.14019636776075392,-0.10792556708456714,-0.12366259244282081,-0.10239887793253824,-0.18113593335593856,-0.12708245987615613,-0.1272889870588846,0.02375575380355925,1
36,0.08099792003631592,0.01578207220364747,0.008570194244384766,0.0014384670055356842,lsqr,42,10.152577058529266,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.152577058529266}",-0.11742934528220629,-0.10485629148628293,-0.11314384779503009,-0.15532156601460337,-0.1400808399386421,-0.1074999527255616,-0.1234996432626118,-0.1026689953064213,-0.18153226477832587,-0.12690302768752265,-0.1272935774277208,0.02388424427573607,2
46,0.08035218715667725,0.008772982996444311,0.010432243347167969,0.002404113229437204,lsqr,42,9.98199192096048,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 9.98199192096048}",-0.1174395645013209,-0.1048031022549787,-0.11316780527750615,-0.15527614770574855,-0.14010044987979203,-0.10755360851543043,-0.12352003728858812,-0.10264643116387788,-0.18152457833300387,-0.12691849781791664,-0.12729502227381634,0.023878925068510415,3
25,0.0636899471282959,0.009471128231347258,0.007754683494567871,0.0014821893207584652,lsqr,42,9.954478189094548,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 9.954478189094548}",-0.11744127555581804,-0.10479448034579245,-0.11317175115411411,-0.15526884322868575,-0.14010370381262804,-0.10756242558374685,-0.12352342408443358,-0.10264287505881495,-0.1815234483410798,-0.12692111201417294,-0.12729533391792866,0.02387807607225618,4
41,0.2824165105819702,0.046856405884602145,0.011028003692626954,0.002863929281263767,svd,42,10.279140225112556,"{'solver': 'svd', 'random_state': 42, 'alpha': 10.279140225112556}",-0.11729048846482905,-0.10490252961409062,-0.11333431314342085,-0.1553001933902856,-0.14007129869935223,-0.10723381956758078,-0.12364913624959248,-0.10273529917549558,-0.18154703687510387,-0.12696640782150442,-0.12730305230012556,0.023887761386891884,5
85,0.2817049026489258,0.04883153775410362,0.011316537857055664,0.00498770753807668,svd,42,9.866434247123562,"{'solver': 'svd', 'random_state': 42, 'alpha': 9.866434247123562}",-0.11729803974330216,-0.10476927097304824,-0.11340106908074556,-0.15518239642736203,-0.14011853694287538,-0.10735022974980334,-0.12370704578007888,-0.10267409163379727,-0.18153434590169445,-0.12700718470590663,-0.12730422109386139,0.02387757109501841,6
70,0.037180614471435544,0.0034934597197016346,0.007995223999023438,0.0019646405703540896,cholesky,42,9.783893051525764,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 9.783893051525764}",-0.117299749964472,-0.10474218425978725,-0.11341505261070335,-0.15515887474199844,-0.14012866518824635,-0.10737466292133047,-0.1237194111298588,-0.10266228812845228,-0.18153280383729226,-0.1270162607871728,-0.1273049953569314,0.023875672051753182,7
17,0.03997466564178467,0.0038490455445193443,0.00572664737701416,0.00045302315739256127,sparse_cg,42,9.937969949974988,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 9.937969949974988}",-0.11743218581948514,-0.10497458206990054,-0.11328017731968025,-0.15531821058879738,-0.1401017915859378,-0.10716815280125212,-0.12408835550859941,-0.10250974600908737,-0.18120580390077493,-0.12700539802475147,-0.12730844036282662,0.02382717746581114,8
40,0.24712448120117186,0.022000721070544817,0.008648562431335449,0.0010446111579680522,svd,42,10.977989014507255,"{'solver': 'svd', 'random_state': 42, 'alpha': 10.977989014507255}",-0.11728125961344851,-0.10512041653533853,-0.1132325838858481,-0.1554999246348798,-0.14000318005099804,-0.10705675422857293,-0.12356479719532464,-0.10284649171382271,-0.18158530146373975,-0.1269132779506287,-0.1273103987272602,0.023907247949152496,9
32,0.7007580995559692,0.0435172023497975,0.0066612958908081055,0.0019267844702373575,sag,42,9.75637931965983,"{'solver': 'sag', 'random_state': 42, 'alpha': 9.75637931965983}",-0.11747174305652547,-0.10489404476708197,-0.11346483510262954,-0.1551698579277089,-0.14012444921888703,-0.10733351462883961,-0.12377390235691074,-0.10270437564849835,-0.1813135119697768,-0.1268797455319847,-0.1273129980208843,0.02380105411617222,10
74,0.8678772211074829,0.1492947502597572,0.006940913200378418,0.001319205521541851,sag,42,10.009505652826414,"{'solver': 'sag', 'random_state': 42, 'alpha': 10.009505652826414}",-0.117467940527942,-0.10497446320421072,-0.11342058477273086,-0.15524213074643026,-0.14009633928442966,-0.10726349635319732,-0.12373774604413655,-0.10273944173035074,-0.1813349637975636,-0.12685329865606074,-0.12731304051170525,0.023810908071223335,11
58,0.06181671619415283,0.008263351958230818,0.010986828804016113,0.005797798501889329,sparse_cg,42,9.618810660330166,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 9.618810660330166}",-0.11746786528372528,-0.10488376171982598,-0.11331557013513995,-0.15522010420993573,-0.14009892799454782,-0.10767469047518201,-0.12379542777369168,-0.10245025268392813,-0.18118976297110786,-0.12703695029342035,-0.12731333135405049,0.02378484050892133,12
15,0.6675509452819824,0.0474606204950376,0.007439041137695312,0.002492786851516506,sag,42,10.279140225112556,"{'solver': 'sag', 'random_state': 42, 'alpha': 10.279140225112556}",-0.11746393403589798,-0.10505765025544915,-0.11337683893578364,-0.15531927963751715,-0.14006856220404246,-0.10719054638654547,-0.12370125891922225,-0.10278022750612284,-0.18135561575400116,-0.12683407133530047,-0.12731479849698826,0.02382063336952318,13
35,0.06628592014312744,0.010713304264094056,0.010928893089294433,0.002448296153166554,sparse_cg,42,10.383692406203101,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 10.383692406203101}",-0.11776585376243758,-0.10510174175185863,-0.11319244471249594,-0.15541737571460104,-0.14001241355503388,-0.10706055670265688,-0.1239744765873658,-0.10241791854620809,-0.181255973948347,-0.12695521295177692,-0.12731539682327817,0.023845447754277473,14
52,0.8167281150817871,0.16181695787978825,0.009617090225219727,0.004492961876313841,sag,42,10.53226655827914,"{'solver': 'sag', 'random_state': 42, 'alpha': 10.53226655827914}",-0.11745803046133058,-0.10513670940800007,-0.11333827184232262,-0.15539203950750313,-0.1400440852069769,-0.10712887489008498,-0.12367112857345745,-0.10281899231604914,-0.18137743725535377,-0.12681488167261332,-0.1273180451133692,0.02382969596062279,15
