,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
6,0.4500780820846558,0.010151730851150348,0.020839643478393555,0.0022661616682963155,svd,42,7.533269784892447,"{'solver': 'svd', 'random_state': 42, 'alpha': 7.533269784892447}",-0.118653250712412,-0.09990611620382533,-0.11356887251661943,-0.1280975158966268,-0.13864162215411827,-0.1054368163193641,-0.120090209381838,-0.0941650154833831,-0.09437501621610757,-0.12296406003420442,-0.11358984949184989,0.01412120098525764,1
83,0.3765249490737915,0.009392376985246462,0.017457294464111327,0.002164550637356981,svd,42,7.791898864432216,"{'solver': 'svd', 'random_state': 42, 'alpha': 7.791898864432216}",-0.11867274549920105,-0.09995199931693531,-0.11353659723715244,-0.12814353644543489,-0.1385371725171479,-0.10537829307129938,-0.12003356884407843,-0.09420946978520428,-0.09449417049301091,-0.12294497703010632,-0.11359025302395709,0.014080916222520466,2
11,0.44962353706359864,0.008647382621888251,0.02068474292755127,0.0022252184245356594,svd,42,7.30215443721861,"{'solver': 'svd', 'random_state': 42, 'alpha': 7.30215443721861}",-0.11863672495788986,-0.09986586714352089,-0.11360132284003806,-0.12805664638553094,-0.13873996190701982,-0.10549337667274983,-0.12014499881648756,-0.09412760905754962,-0.09426908783512565,-0.12298384693821972,-0.11359194425541316,0.014157951033262638,3
63,0.38046362400054934,0.009810197525997546,0.018113470077514647,0.002554679190948627,svd,42,7.962484002001001,"{'solver': 'svd', 'random_state': 42, 'alpha': 7.962484002001001}",-0.11868610642389867,-0.0999827030228045,-0.11351749405429082,-0.1281740200218407,-0.13847131759756412,-0.10534226773609214,-0.11999873708040705,-0.09424018274198195,-0.09457303866642255,-0.12293403942695574,-0.11359199067722583,0.014054806907740395,4
79,0.379868483543396,0.03016947548884178,0.01654648780822754,0.0028727917710080365,svd,42,7.989997733866934,"{'solver': 'svd', 'random_state': 42, 'alpha': 7.989997733866934}",-0.11868829529380144,-0.09998768579878749,-0.11351456835861995,-0.12817894471276228,-0.13846091243782488,-0.10533664014408481,-0.11999329883980277,-0.0942452348826008,-0.09458577628172393,-0.12293239231658204,-0.11359237490665905,0.014050628915125514,5
26,0.41303870677947996,0.013529680185045297,0.019709300994873048,0.003088311264986306,svd,42,8.07804167583792,"{'solver': 'svd', 'random_state': 42, 'alpha': 8.07804167583792}",-0.11869535911715165,-0.10000368530042815,-0.11350548838540554,-0.12819471682515732,-0.1384280097221516,-0.10531896366902423,-0.11997622286137025,-0.09426157972986003,-0.09462656427944259,-0.12292733364014674,-0.11359379235301378,0.014037319993940794,6
87,0.38268587589263914,0.011972974254378817,0.017276883125305176,0.0033618859623714384,svd,42,8.210107588794397,"{'solver': 'svd', 'random_state': 42, 'alpha': 8.210107588794397}",-0.1187061158389276,-0.10002783485454833,-0.11349265600967644,-0.1282184082120508,-0.1383797557958528,-0.10529337405620134,-0.11995151959506321,-0.0942865918941141,-0.09468781587486272,-0.12292033646314866,-0.1135964408594446,0.01401752683707155,7
10,0.45114731788635254,0.008604564035111369,0.020546388626098634,0.0026127249665329165,svd,42,7.021514372186093,"{'solver': 'svd', 'random_state': 42, 'alpha': 7.021514372186093}",-0.11861799594146266,-0.09981806785406755,-0.11364568313473539,-0.12800743554900457,-0.13886622118438752,-0.10556792750648537,-0.12021726391352155,-0.09408540055291788,-0.09414136359914535,-0.1230116441557608,-0.11359790033914885,0.014203589862993918,8
64,0.3785198926925659,0.034804644144065686,0.018819737434387206,0.0058225027495419695,svd,42,8.457731175587794,"{'solver': 'svd', 'random_state': 42, 'alpha': 8.457731175587794}",-0.11872675516569342,-0.10007356810642419,-0.11347103281091477,-0.1282629129061531,-0.13829269242152595,-0.10524825202506319,-0.1199080192996178,-0.09433501062190787,-0.09480283428017926,-0.12290903977201564,-0.11360301174094951,0.013980947292950638,9
66,0.3861297845840454,0.0607401964634574,0.016806864738464357,0.005543224498220769,svd,42,6.762885292646323,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.762885292646323}",-0.11860226594899594,-0.09977519233119249,-0.11369178692464374,-0.12796259256871026,-0.1389897691902361,-0.1056428328664648,-0.12028990617877663,-0.09404991671420798,-0.09402476470067088,-0.12304124849940562,-0.11360702759233043,0.014246699504468089,10
