,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
19,0.04192471504211426,0.008595391952560094,0.0058230400085449215,0.00040382781516433035,sparse_cg,42,9.14407203601801,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 9.14407203601801}",-0.11750247437242338,-0.10454165449578397,-0.11327117309933768,-0.155109427843143,-0.14016536413127412,-0.1073928402436656,-0.12363068190446942,-0.10238530714064879,-0.18114167639110734,-0.12710143379509742,-0.1272242033416951,0.023830720872119786,1
97,0.07779891490936279,0.00699932795360958,0.012122821807861329,0.002432133112906841,lsqr,42,11.805402701350676,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 11.805402701350676}",-0.11735165304965568,-0.10548426969099375,-0.1130447695669301,-0.1558218059692971,-0.1398970254851063,-0.1067523338949773,-0.12349646233888326,-0.10283101818409231,-0.18112445370938673,-0.1268776711691212,-0.12726814630584435,0.02383889750359596,2
28,0.057806086540222165,0.007257887461099066,0.007770133018493652,0.0014396003003246537,lsqr,42,10.682841420710355,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.682841420710355}",-0.11739196671210346,-0.10516958145828653,-0.11318705708990652,-0.15546396469428353,-0.1400257674659317,-0.10734373431819788,-0.12362255793843283,-0.10274441373157887,-0.18093640378295306,-0.12686259063894834,-0.12727480378306227,0.02373616543849326,3
16,0.04565155506134033,0.013472327701005345,0.005798149108886719,0.0005653381005794242,lsqr,42,12.111555777888945,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 12.111555777888945}",-0.11734405708274838,-0.10556534174466527,-0.11301177490308155,-0.15588243312809422,-0.139878480763202,-0.10669771932772115,-0.12346902403215253,-0.10288932995582394,-0.1811785754843317,-0.12686817593485974,-0.12727849123566803,0.02385149283974913,4
18,0.037179970741271974,0.004095549558518914,0.005559968948364258,0.00021384460803800401,lsqr,42,10.866933466733366,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.866933466733366}",-0.11738387577778502,-0.10522064527620463,-0.11316125640583449,-0.155572557905588,-0.14000860104256907,-0.10729302361071158,-0.12359888647806001,-0.102772304575468,-0.18096596745861757,-0.12685107364798118,-0.12728281921788193,0.023753731076914607,5
5,0.08821334838867187,0.009419021423291516,0.01054818630218506,0.0015761129600799799,lsqr,42,10.960980490245122,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.960980490245122}",-0.11737998190505275,-0.10524659841382443,-0.11314846801818398,-0.15559739178489113,-0.14000019788109866,-0.10726778108637837,-0.12358727403314933,-0.10278686604353239,-0.18098128099534166,-0.12684566004647116,-0.12728415002079238,0.023759028290222577,6
51,0.05280723571777344,0.006590109332037566,0.00968172550201416,0.004721528664101018,sparse_cg,42,9.742371185592797,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 9.742371185592797}",-0.1178431522206508,-0.10492015833879355,-0.11330396621798712,-0.15525247828018368,-0.14008565877037493,-0.10721892474490981,-0.1235476348513825,-0.10249492058945145,-0.18120048449818044,-0.12702143691923917,-0.12728888154311532,0.02380956265668649,7
27,0.05032362937927246,0.01581231814934484,0.007424545288085937,0.0023090272536087355,lsqr,42,10.388694347173587,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.388694347173587}",-0.1174062463284976,-0.10492916492906497,-0.11311208919914602,-0.15538476841655463,-0.1400552498497226,-0.10742847030080499,-0.12347307660436872,-0.10270163175109748,-0.1815447627929006,-0.12688363853716478,-0.12729190987093225,0.023892169848532437,8
72,0.05825581550598145,0.0069116589482672635,0.008797621726989746,0.0017199298514144615,lsqr,42,10.214607303651826,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.214607303651826}",-0.11742579160460119,-0.10487551973379661,-0.1131353490658474,-0.1553381341287837,-0.14007394551470712,-0.10748086533890767,-0.12349248029225542,-0.10267741504385425,-0.181535343540418,-0.12689771067704625,-0.12729325549402176,0.02388620136792951,9
96,0.09197454452514649,0.017390068135934075,0.013692378997802734,0.004579412822330224,lsqr,42,10.160580290145072,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.160580290145072}",-0.1174288819945209,-0.10485877571478285,-0.11314274496499481,-0.1553237021459624,-0.14007994342037447,-0.10749747750604491,-0.12349871160685501,-0.10267007531616303,-0.1815326536410902,-0.12690233257131964,-0.12729352988821083,0.02388449611408003,10
