,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
64,6.856221890449524,0.28219049968567256,0.02137734889984131,0.003357359500253418,0.10914362181090546,42,875,7,3,54,0.011604602301150575,"{'subsample': 0.10914362181090546, 'random_state': 42, 'n_estimators': 875, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 54, 'learning_rate': 0.011604602301150575}",-0.1150163799659094,-0.11151767787731108,-0.10994554738971586,-0.1594086737201556,-0.14972252494526173,-0.10197263547518354,-0.12416569460759998,-0.10308517218059061,-0.13867148308381513,-0.12795352542221247,-0.12414593146677552,0.018715758016673353,1
95,39.157821249961856,0.729076049428551,0.030795478820800783,0.0012943254603132676,0.3957582791395698,42,875,7,2,60,0.0081032016008004,"{'subsample': 0.3957582791395698, 'random_state': 42, 'n_estimators': 875, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 60, 'learning_rate': 0.0081032016008004}",-0.1165819690297462,-0.1147149936015549,-0.11911519861445605,-0.16766026605385004,-0.15403134047953537,-0.09868520083535465,-0.12275268033947165,-0.10687235524201506,-0.12667870186421182,-0.1316497053485553,-0.12587424114087511,0.01984821596480382,2
98,30.376453971862794,1.2051787378864183,0.02732694149017334,0.004470092271781288,0.5468187093546774,42,625,5,2,47,0.007603001500750376,"{'subsample': 0.5468187093546774, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 47, 'learning_rate': 0.007603001500750376}",-0.12285123055717106,-0.12071076746136322,-0.12809689768316587,-0.17248349439738953,-0.1586663089870311,-0.1020535539516473,-0.1258265970593216,-0.11418675339292056,-0.12690679408318173,-0.13226329937390374,-0.13040456969470957,0.019568226028183904,3
22,30.442747235298157,0.9869992865625983,0.036606335639953615,0.007192834051668982,0.19717883941970984,42,1000,5,1,51,0.05812321160580291,"{'subsample': 0.19717883941970984, 'random_state': 42, 'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 51, 'learning_rate': 0.05812321160580291}",-0.11857552955302848,-0.11844891786983065,-0.12401178760651244,-0.17456855432785814,-0.15385801832517293,-0.11418092417086174,-0.12660897517951097,-0.12742163469464637,-0.12052392876206575,-0.15038994433298977,-0.1328588214822477,0.01883500229552669,4
65,89.80248889923095,2.486052020156206,0.04001510143280029,0.00815120583002931,0.6058423211605803,42,875,5,3,48,0.07062821410705353,"{'subsample': 0.6058423211605803, 'random_state': 42, 'n_estimators': 875, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 48, 'learning_rate': 0.07062821410705353}",-0.1350299599765013,-0.13131672054718377,-0.13614044482198906,-0.16638254931948507,-0.15497973177283503,-0.10492930477525507,-0.12737333434426357,-0.12351218020240336,-0.12369468415854744,-0.13773914527688505,-0.13410980551953486,0.01618855616799223,5
93,97.70180637836457,4.659882266861713,0.04657459259033203,0.0242886892148717,0.6283513256628315,42,875,7,1,45,0.06512601300650325,"{'subsample': 0.6283513256628315, 'random_state': 42, 'n_estimators': 875, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_depth': 45, 'learning_rate': 0.06512601300650325}",-0.12887399850929993,-0.12268147850160908,-0.12926604894574567,-0.17752433482944974,-0.16144735860639015,-0.10625927132925822,-0.13689508085386115,-0.12115633784753536,-0.12353017626526253,-0.1390767411822066,-0.13467108268706185,0.019744104177575914,6
20,115.73765769004822,3.3717002270941747,0.07003726959228515,0.018410452744019562,0.658863531765883,42,875,2,1,53,0.034113606803401704,"{'subsample': 0.658863531765883, 'random_state': 42, 'n_estimators': 875, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 53, 'learning_rate': 0.034113606803401704}",-0.1359849482446003,-0.1259494926328275,-0.1314680763648603,-0.17665707115141915,-0.1612896353122889,-0.1043729099642415,-0.1334103361373466,-0.11931823155055932,-0.12646288075278841,-0.13721464699965127,-0.13521282291105832,0.019456645292536445,7
27,52.910962748527524,2.304561618221903,0.02639915943145752,0.0031702039156046914,0.6108443221610805,42,500,2,2,46,0.09763901950975488,"{'subsample': 0.6108443221610805, 'random_state': 42, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 46, 'learning_rate': 0.09763901950975488}",-0.13324286831848864,-0.12992985834502505,-0.1361064007419238,-0.16754188569806114,-0.15868767254851146,-0.10810297670974213,-0.13412957526860933,-0.12186913262366737,-0.12846170270419624,-0.1416401003768261,-0.13597121733350512,0.01619917571637135,8
46,50.38613789081573,1.1464692919059971,0.0293750524520874,0.004156345932764804,0.43177268634317156,42,625,4,2,45,0.13565422711355676,"{'subsample': 0.43177268634317156, 'random_state': 42, 'n_estimators': 625, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 45, 'learning_rate': 0.13565422711355676}",-0.14266087859572932,-0.12384185613443598,-0.1373398154137857,-0.16145187373354025,-0.16828598365701705,-0.12337056138845441,-0.12831709467521918,-0.12616053653577095,-0.1318711954572145,-0.1416763755227459,-0.13849761711139133,0.014786472322119,9
86,129.04202222824097,1.67190397013477,0.044043564796447755,0.004997794978095569,0.8684473736868434,42,1000,7,3,50,0.032112806403201605,"{'subsample': 0.8684473736868434, 'random_state': 42, 'n_estimators': 1000, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 50, 'learning_rate': 0.032112806403201605}",-0.13444944110547025,-0.12898471534696387,-0.13532244535175597,-0.1756917800261346,-0.16682943871172198,-0.1105113198582608,-0.14013364928351457,-0.1281181545122167,-0.1351359395584684,-0.136422148297365,-0.1391599032051872,0.017910688183046204,10
