,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_loss,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
13,51.88014950752258,4.368863910580923,0.8178658723831177,0.20842608680343755,42,1184,exponential,4.863431715857929,"{'random_state': 42, 'n_estimators': 1184, 'loss': 'exponential', 'learning_rate': 4.863431715857929}",-0.17417448941776673,-0.16389675246383195,-0.15994145261194093,-0.1690089064857975,-0.17695731914732488,-0.16189368233622903,-0.16920008381996274,-0.1618340805989957,-0.17206136277674813,-0.16683252115321556,-0.16758006508118134,0.005422109407509259,1
80,53.641544580459595,6.1738620538421385,0.9754015922546386,0.13058012889028744,42,1394,exponential,4.648324162081041,"{'random_state': 42, 'n_estimators': 1394, 'loss': 'exponential', 'learning_rate': 4.648324162081041}",-0.1768825988969234,-0.16582320090846586,-0.15946549180263037,-0.1671983977935366,-0.17637591719033113,-0.1621671905776521,-0.168852132021727,-0.1613736958229498,-0.1742257181746692,-0.1669876871946478,-0.16793520303835333,0.0058794001550053175,2
5,44.855921387672424,2.069778959603751,0.6007641077041626,0.11358922309631825,42,922,exponential,4.683341670835418,"{'random_state': 42, 'n_estimators': 922, 'loss': 'exponential', 'learning_rate': 4.683341670835418}",-0.17518127459131907,-0.1639422442950216,-0.1615108412679578,-0.17053177201219447,-0.17988367687262918,-0.16248772419692314,-0.16825180013290195,-0.16083620094689224,-0.1745258298777553,-0.16795714299843303,-0.16851085071920277,0.006160552939095263,3
47,27.218062448501588,0.6346254529331534,0.43503732681274415,0.08301782730649333,42,698,exponential,4.57328664332166,"{'random_state': 42, 'n_estimators': 698, 'loss': 'exponential', 'learning_rate': 4.57328664332166}",-0.17729945085269677,-0.16523115507162545,-0.1637121998166314,-0.16753845939548498,-0.17726337977069084,-0.16425895669182436,-0.16833838977921264,-0.1626199244818981,-0.17428594439367748,-0.16643388001018147,-0.16869817402639234,0.005279216112319049,4
44,44.35074667930603,4.233888877314971,0.6659663438796997,0.12284536029573949,42,1145,linear,3.2101050525262633,"{'random_state': 42, 'n_estimators': 1145, 'loss': 'linear', 'learning_rate': 3.2101050525262633}",-0.17739520445638557,-0.1679074303757779,-0.1634058567054899,-0.16876875275571837,-0.17714945184037872,-0.16573034239033196,-0.1674437221407836,-0.16414330736792784,-0.17490018850759276,-0.16900959366581372,-0.16958538502062004,0.004873605762228852,5
66,49.1602397441864,3.845881786539335,0.858248257637024,0.125028044673211,42,1289,exponential,3.8829414707353678,"{'random_state': 42, 'n_estimators': 1289, 'loss': 'exponential', 'learning_rate': 3.8829414707353678}",-0.17988089259894838,-0.16696462446137345,-0.16306923337005144,-0.16855758563107176,-0.17893616878840304,-0.1661349094765032,-0.16710867312065328,-0.1652663555197148,-0.1751092984624994,-0.16738464677561898,-0.16984123882048377,0.0056144080650370465,6
54,8.80394721031189,1.4860943136481777,0.1777277946472168,0.03229105568837121,42,252,linear,3.422711355677839,"{'random_state': 42, 'n_estimators': 252, 'loss': 'linear', 'learning_rate': 3.422711355677839}",-0.17948518404899222,-0.1617841720490793,-0.16849113081973155,-0.16837142180232043,-0.17736924477973054,-0.16734850606975646,-0.17264224462642963,-0.16062891599623483,-0.17935472044569487,-0.1665599414903507,-0.17020354821283207,0.006461136414642337,7
34,44.097674703598024,4.096086362750886,0.7387120962142945,0.13972747219206377,42,1158,exponential,3.742871435717859,"{'random_state': 42, 'n_estimators': 1158, 'loss': 'exponential', 'learning_rate': 3.742871435717859}",-0.1808493792380324,-0.16947954507127544,-0.16344099195672776,-0.16846831307983595,-0.17986876612052247,-0.16509653943707805,-0.16956912939053878,-0.16389309389098114,-0.17608029714027915,-0.1680909307400354,-0.17048369860653062,0.006004480758488594,8
3,69.68063230514527,6.16626734040269,1.057390856742859,0.2131038095886129,42,1473,exponential,3.7078539269634816,"{'random_state': 42, 'n_estimators': 1473, 'loss': 'exponential', 'learning_rate': 3.7078539269634816}",-0.18061307139337485,-0.16854784587537905,-0.1637422817693287,-0.16904960178189152,-0.1791677784080696,-0.16440289028153968,-0.17005928451854832,-0.16524002247220776,-0.17658177458275764,-0.16751196172271215,-0.1704916512805809,0.005830419456605821,9
56,18.43472228050232,5.195905158918516,0.5337652683258056,0.07528377474084236,42,804,linear,3.445222611305653,"{'random_state': 42, 'n_estimators': 804, 'loss': 'linear', 'learning_rate': 3.445222611305653}",-0.1662489379936935,-0.1769804322345701,-0.15718878678784204,-0.1709244737700534,-0.1823302719118546,-0.16416985159950115,-0.18930575124878024,-0.16513286056727802,-0.16931044282796368,-0.16662022125120757,-0.17082120301927445,0.009029732548091097,10
