,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
59,0.06488447189331055,0.024502357370402458,0.13539671897888184,0.05447973581668838,distance,7,28,ball_tree,"{'weights': 'distance', 'n_neighbors': 7, 'leaf_size': 28, 'algorithm': 'ball_tree'}",-0.16314875898475287,-0.16443610949589726,-0.1568052583519764,-0.17166902368961878,-0.1769017840306501,-0.1596818985340686,-0.18313157105239597,-0.1484783820045735,-0.16213170059078869,-0.1745051376242262,-0.16608896243589483,0.009867844347501766,1
34,0.07538185119628907,0.01785480280730742,0.17159862518310548,0.043365245942165606,distance,7,40,kd_tree,"{'weights': 'distance', 'n_neighbors': 7, 'leaf_size': 40, 'algorithm': 'kd_tree'}",-0.16314875898475287,-0.16443610949589726,-0.1568052583519764,-0.17166902368961878,-0.1769017840306501,-0.1596818985340686,-0.18313157105239597,-0.1484783820045735,-0.16213170059078869,-0.1745051376242262,-0.16608896243589483,0.009867844347501766,1
82,0.06929481029510498,0.019851492203593106,0.1271583080291748,0.03734383280149193,distance,11,33,ball_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 33, 'algorithm': 'ball_tree'}",-0.16556970988139844,-0.16160378357150929,-0.16543580200220317,-0.1715495302231264,-0.1816585000134523,-0.1600927650240914,-0.18263404334708294,-0.14778626321583563,-0.15125015704825479,-0.1747123586133856,-0.166229291294034,0.011099911899343768,3
29,0.056643891334533694,0.015495170122249864,0.15168092250823975,0.050673460185634,distance,12,31,ball_tree,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 31, 'algorithm': 'ball_tree'}",-0.16390287006270077,-0.16381219122229046,-0.16521366964012632,-0.17264651388780872,-0.18169218924017672,-0.15876796381568717,-0.18317193950134378,-0.14636693677260104,-0.15084889486355546,-0.17766862611941675,-0.16640917951257073,0.011819040974640335,4
23,0.09750528335571289,0.03273827240265276,0.16867272853851317,0.03589902156014067,distance,10,30,kd_tree,"{'weights': 'distance', 'n_neighbors': 10, 'leaf_size': 30, 'algorithm': 'kd_tree'}",-0.16763220924656527,-0.16288808572102478,-0.16447209782781322,-0.17108670954273741,-0.18177226728759419,-0.15853539452846369,-0.18342736416109773,-0.1473127711562316,-0.1525908082293736,-0.17482865435514158,-0.16645463620560433,0.011196660801746347,5
22,0.09164566993713379,0.0331148235297268,0.15752456188201905,0.039428637899749736,distance,5,17,kd_tree,"{'weights': 'distance', 'n_neighbors': 5, 'leaf_size': 17, 'algorithm': 'kd_tree'}",-0.16276233614533936,-0.16405884380209151,-0.16388668714458235,-0.171800831661066,-0.18021528067016807,-0.1557423867173762,-0.18057391252125868,-0.14658345968126402,-0.16175814504635574,-0.17795432644399578,-0.16653362098334978,0.01052193819292781,6
32,0.05844576358795166,0.014946804660321918,0.13814446926116944,0.04746709749422207,distance,5,43,kd_tree,"{'weights': 'distance', 'n_neighbors': 5, 'leaf_size': 43, 'algorithm': 'kd_tree'}",-0.16276233614533936,-0.16405884380209151,-0.16388668714458235,-0.171800831661066,-0.18021528067016807,-0.1557423867173762,-0.18057391252125868,-0.14658345968126402,-0.16175814504635574,-0.17795432644399578,-0.16653362098334978,0.01052193819292781,6
9,0.07487726211547852,0.018295487898046373,0.14046976566314698,0.051031023595176715,distance,5,30,kd_tree,"{'weights': 'distance', 'n_neighbors': 5, 'leaf_size': 30, 'algorithm': 'kd_tree'}",-0.16276233614533936,-0.16405884380209151,-0.16388668714458235,-0.171800831661066,-0.18021528067016807,-0.1557423867173762,-0.18057391252125868,-0.14658345968126402,-0.16175814504635574,-0.17795432644399578,-0.16653362098334978,0.01052193819292781,6
11,0.10992958545684814,0.04038369294777938,0.16030492782592773,0.052475882574517345,distance,14,31,kd_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 31, 'algorithm': 'kd_tree'}",-0.1642098300993077,-0.16025874925785255,-0.16372247523935832,-0.17448475842557173,-0.18277803327864536,-0.1604155525976924,-0.18604448849633173,-0.14668839344646525,-0.15065932713105845,-0.17749287576903477,-0.16667544837413184,0.012504451869766004,9
8,0.07724838256835938,0.024355153062628886,0.17762861251831055,0.04359962716206105,distance,14,32,kd_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 32, 'algorithm': 'kd_tree'}",-0.1642098300993077,-0.16025874925785255,-0.16372247523935832,-0.17448475842557173,-0.18277803327864536,-0.1604155525976924,-0.18604448849633173,-0.14668839344646525,-0.15065932713105845,-0.17749287576903477,-0.16667544837413184,0.012504451869766004,9
