,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lambda_2,param_lambda_1,param_alpha_2,param_alpha_1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
69,0.4695112705230713,0.09187529431169782,0.01178276538848877,0.0030983770601238215,3.72296148074037e-07,4.964982491245623e-06,1.3401700850425212e-06,5.65032516258129e-06,"{'lambda_2': 3.72296148074037e-07, 'lambda_1': 4.964982491245623e-06, 'alpha_2': 1.3401700850425212e-06, 'alpha_1': 5.65032516258129e-06}",-0.1175384326861795,-0.0943617861674192,-0.10372485657342435,-0.12175854550952904,-0.13838816739904752,-0.09636037851347141,-0.11609043183653635,-0.09395907759306438,-0.09257571109138023,-0.12136957280931226,-0.10961269601793644,0.014821360858728067,1
94,0.39643843173980714,0.014843809746922681,0.009961771965026855,0.0007337667510209306,3.91415707853927e-07,4.465232616308154e-06,2.9409704852426214e-06,5.5262631315657826e-06,"{'lambda_2': 3.91415707853927e-07, 'lambda_1': 4.465232616308154e-06, 'alpha_2': 2.9409704852426214e-06, 'alpha_1': 5.5262631315657826e-06}",-0.11753843283195507,-0.09436178639681767,-0.10372485656689008,-0.12175854579602174,-0.13838816638593854,-0.09636037843578983,-0.11609043170356383,-0.09395907772664189,-0.09257571176971799,-0.12136957281852885,-0.10961269604318655,0.014821360579745466,2
47,0.5066514015197754,0.08099693526796661,0.01514289379119873,0.005754378859501756,3.91415707853927e-07,6.990995497748874e-06,2.7408704352176086e-06,1.8244122061030516e-06,"{'lambda_2': 3.91415707853927e-07, 'lambda_1': 6.990995497748874e-06, 'alpha_2': 2.7408704352176086e-06, 'alpha_1': 1.8244122061030516e-06}",-0.11753843282905985,-0.0943617863950653,-0.10372485656696934,-0.12175854578877124,-0.1383881664235948,-0.09636037843671873,-0.11609043170623148,-0.09395907772530197,-0.09257571176816558,-0.12136957281827633,-0.10961269604581547,0.014821360586818025,3
10,0.41784038543701174,0.03613291742500868,0.010694074630737304,0.0017485687145455584,3.771735867933967e-07,5.226113056528264e-06,2.8369184592296146e-06,5.1420710355177586e-06,"{'lambda_2': 3.771735867933967e-07, 'lambda_1': 5.226113056528264e-06, 'alpha_2': 2.8369184592296146e-06, 'alpha_1': 5.1420710355177586e-06}",-0.11753843293753445,-0.0943617865779438,-0.10372485656206569,-0.12175854597850175,-0.13838816592365477,-0.09636037838196662,-0.11609043161184134,-0.09395907782713213,-0.09257571237195995,-0.12136957282380749,-0.10961269609964079,0.014821360413529749,4
88,0.44037227630615233,0.0874250231450332,0.013209795951843262,0.007243313380715483,3.760030015007504e-07,6.75087543771886e-06,3.3971985992996497e-06,6.566783391695848e-06,"{'lambda_2': 3.760030015007504e-07, 'lambda_1': 6.75087543771886e-06, 'alpha_2': 3.3971985992996497e-06, 'alpha_1': 6.566783391695848e-06}",-0.11753843306932531,-0.09436178679616306,-0.10372485655608031,-0.12175854622039711,-0.13838816519356248,-0.09636037831318156,-0.11609043149467056,-0.0939590779507761,-0.09257571306281369,-0.12136957283119046,-0.10961269614881605,0.014821360185580607,5
28,0.4071469306945801,0.026116626699552777,0.012864494323730468,0.005224181223682,3.3386193096548274e-07,6.656328164082041e-06,1e-06,1.9844922461230614e-06,"{'lambda_2': 3.3386193096548274e-07, 'lambda_1': 6.656328164082041e-06, 'alpha_2': 1e-06, 'alpha_1': 1.9844922461230614e-06}",-0.11753843296042397,-0.09436178663867886,-0.1037248565608919,-0.12175854598225606,-0.13838816621193664,-0.09636037837376488,-0.11609043159852177,-0.09395907785431537,-0.09257571266122305,-0.12136957282295635,-0.1096126961664969,0.014821360428790334,6
33,0.38998825550079347,0.023999438473328145,0.010342693328857422,0.0012254205008483208,3.594197098549275e-07,6.795897948974487e-06,2.996998499249625e-06,1.4282141070535267e-06,"{'lambda_2': 3.594197098549275e-07, 'lambda_1': 6.795897948974487e-06, 'alpha_2': 2.996998499249625e-06, 'alpha_1': 1.4282141070535267e-06}",-0.11753843313776312,-0.09436178691742352,-0.10372485655293269,-0.12175854633225625,-0.13838816496359052,-0.09636037827889825,-0.11609043143640115,-0.09395907801690996,-0.09257571348141784,-0.12136957283425673,-0.10961269619518499,0.014821360087064934,7
44,0.4550509452819824,0.10264028681378354,0.01050271987915039,0.0023520096635081876,3.670285142571286e-07,6.153576788394197e-06,3.6093046523261634e-06,1.5362681340670336e-06,"{'lambda_2': 3.670285142571286e-07, 'lambda_1': 6.153576788394197e-06, 'alpha_2': 3.6093046523261634e-06, 'alpha_1': 1.5362681340670336e-06}",-0.11753843318569698,-0.09436178699171326,-0.10372485655079497,-0.12175854642792913,-0.13838816461452375,-0.09636037825331982,-0.1160904313924499,-0.09395907806045982,-0.0925757136972511,-0.12136957283736884,-0.10961269620115077,0.01482135999334194,8
76,0.43433544635772703,0.07592660789683675,0.00967254638671875,0.0017339070040633896,3.393246623311656e-07,6.111555777888944e-06,2.6768384192096047e-06,7.903451725862932e-06,"{'lambda_2': 3.393246623311656e-07, 'lambda_1': 6.111555777888944e-06, 'alpha_2': 2.6768384192096047e-06, 'alpha_1': 7.903451725862932e-06}",-0.11753843322059733,-0.0943617870617244,-0.10372485654916312,-0.12175854646903801,-0.13838816466971465,-0.09636037823797733,-0.1160904313658304,-0.09395907809574451,-0.09257571397810478,-0.12136957283802775,-0.10961269624859224,0.014821359966403358,9
50,0.44148693084716795,0.0622895444278082,0.011173224449157715,0.003506454895482563,3.235217608804402e-07,6.5062531265632814e-06,1.9484742371185593e-06,2.232616308154077e-06,"{'lambda_2': 3.235217608804402e-07, 'lambda_1': 6.5062531265632814e-06, 'alpha_2': 1.9484742371185593e-06, 'alpha_1': 2.232616308154077e-06}",-0.11753843322464524,-0.09436178707731666,-0.10372485654892212,-0.12175854646219887,-0.13838816480223495,-0.09636037823709512,-0.11609043136480812,-0.09395907810190839,-0.09257571406323652,-0.12136957283746426,-0.10961269627198303,0.014821359979745869,10
80,0.5340889930725098,0.09591165655181218,0.014356231689453125,0.005896960585845492,3.356178089044522e-07,6.293146573286643e-06,2.9489744872436214e-06,7.215107553776888e-06,"{'lambda_2': 3.356178089044522e-07, 'lambda_1': 6.293146573286643e-06, 'alpha_2': 2.9489744872436214e-06, 'alpha_1': 7.215107553776888e-06}",-0.1175384333063962,-0.09436178720466457,-0.10372485654527062,-0.12175854662437417,-0.13838816421752304,-0.09636037819356325,-0.1160904312900066,-0.09395907817633536,-0.09257571443612193,-0.12136957284270976,-0.10961269628369655,0.014821359821243498,11
4,0.42669527530670165,0.04793207510406831,0.009472179412841796,0.0012410496026676488,3.280090045022511e-07,6.879939969984992e-06,3.56528264132066e-06,4.917958979489745e-06,"{'lambda_2': 3.280090045022511e-07, 'lambda_1': 6.879939969984992e-06, 'alpha_2': 3.56528264132066e-06, 'alpha_1': 4.917958979489745e-06}",-0.11753843349763912,-0.09436178752322988,-0.10372485653658921,-0.1217585469710124,-0.13838816320539146,-0.09636037809444373,-0.11609043112089679,-0.09395907835603542,-0.09257571545581134,-0.12136957285317614,-0.10961269636142254,0.014821359497048435,12
