,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
16,0.08688371181488037,0.04278755228322316,0.1328111171722412,0.037644997813733184,distance,14,24,ball_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 24, 'algorithm': 'ball_tree'}",-0.16203171865617474,-0.17466087209080236,-0.16244771060822202,-0.18920209485875866,-0.191609028417002,-0.1633153379827911,-0.1836078565784706,-0.153275054379214,-0.18108845849512975,-0.16954866126364268,-0.1730786793330208,0.012312116367343797,1
15,0.09532496929168702,0.02332912183059373,0.1856078863143921,0.0641783861157208,distance,14,28,ball_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 28, 'algorithm': 'ball_tree'}",-0.16203171865617474,-0.17466087209080236,-0.16244771060822202,-0.18920209485875866,-0.191609028417002,-0.1633153379827911,-0.1836078565784706,-0.153275054379214,-0.18108845849512975,-0.16954866126364268,-0.1730786793330208,0.012312116367343797,1
53,0.12308194637298583,0.054556183732816274,0.21943271160125732,0.06873417122629459,distance,14,17,kd_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 17, 'algorithm': 'kd_tree'}",-0.16203171865617474,-0.17466087209080236,-0.16244771060822202,-0.18920209485875866,-0.191609028417002,-0.1633153379827911,-0.1836078565784706,-0.153275054379214,-0.18108845849512975,-0.16954866126364268,-0.1730786793330208,0.012312116367343797,1
26,0.10073285102844239,0.02623074290869415,0.17436494827270507,0.037455844154187394,distance,13,40,kd_tree,"{'weights': 'distance', 'n_neighbors': 13, 'leaf_size': 40, 'algorithm': 'kd_tree'}",-0.16242358542916432,-0.17521399680052724,-0.1631776078358211,-0.18936577133791177,-0.1900781716211523,-0.16344848085596597,-0.18313802186566747,-0.1540076509841266,-0.18141217785429667,-0.16949579252625002,-0.17317612571108834,0.011875177734665223,4
38,0.07751173973083496,0.01730278721167155,0.17853810787200927,0.06393638603017893,distance,13,32,kd_tree,"{'weights': 'distance', 'n_neighbors': 13, 'leaf_size': 32, 'algorithm': 'kd_tree'}",-0.16242358542916432,-0.17521399680052724,-0.1631776078358211,-0.18936577133791177,-0.1900781716211523,-0.16344848085596597,-0.18313802186566747,-0.1540076509841266,-0.18141217785429667,-0.16949579252625002,-0.17317612571108834,0.011875177734665223,4
24,0.08313953876495361,0.013811582058445517,0.15319418907165527,0.03247619127617219,distance,15,19,ball_tree,"{'weights': 'distance', 'n_neighbors': 15, 'leaf_size': 19, 'algorithm': 'ball_tree'}",-0.16182273711345596,-0.1735267496367439,-0.16357184415675158,-0.1908605431920362,-0.19376600225063684,-0.16464653633380807,-0.1835607456947539,-0.1517860186158886,-0.18106435186843428,-0.16868071850799604,-0.17332862473705055,0.012954834535846059,6
6,0.08585529327392578,0.02780245859426623,0.1391162633895874,0.042913639019022995,distance,8,19,ball_tree,"{'weights': 'distance', 'n_neighbors': 8, 'leaf_size': 19, 'algorithm': 'ball_tree'}",-0.1654494889210673,-0.17747710458896754,-0.16178078713980418,-0.18999503589008937,-0.18501921904606417,-0.15654608784623772,-0.18681371233810756,-0.1543166595264511,-0.18820055558250723,-0.16844084941775603,-0.17340395002970524,0.013027073210803954,7
87,0.09521119594573975,0.041354798764424786,0.15968708992004393,0.048547113030576045,distance,12,39,ball_tree,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 39, 'algorithm': 'ball_tree'}",-0.16067905888616582,-0.1738309815094938,-0.1635066777958727,-0.1900723703387745,-0.1895706991633889,-0.16409177017888346,-0.18597635208483823,-0.15375649105092193,-0.18201934661144167,-0.17085067112930294,-0.1734354418749084,0.012291461372412694,8
86,0.08099071979522705,0.039517396477161154,0.1736696720123291,0.05641520304775534,distance,12,26,kd_tree,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 26, 'algorithm': 'kd_tree'}",-0.16067905888616582,-0.1738309815094938,-0.1635066777958727,-0.1900723703387745,-0.1895706991633889,-0.16409177017888346,-0.18597635208483823,-0.15375649105092193,-0.18201934661144167,-0.17085067112930294,-0.1734354418749084,0.012291461372412694,8
88,0.07739367485046386,0.018792420567571622,0.15157954692840575,0.03542376693845904,distance,11,45,kd_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 45, 'algorithm': 'kd_tree'}",-0.16302842521993247,-0.17484688471693297,-0.16457819486653832,-0.1896097357067628,-0.18761598413305708,-0.16499416229714298,-0.18460899885375734,-0.15381040157902195,-0.18195619238943747,-0.17061449564857004,-0.17356634754111533,0.011458969839858522,10
