,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
16,0.043114733695983884,0.005292935216630006,0.00346829891204834,0.0003589340271038018,sag,42,89.24517608804402,"{'solver': 'sag', 'random_state': 42, 'alpha': 89.24517608804402}",-0.11561126886565644,-0.10956146293109338,-0.115365271843178,-0.16087536794963558,-0.14325735365509976,-0.11444252959418603,-0.13161227805858713,-0.11204686453868364,-0.1751026971176558,-0.13682340588141284,-0.13146985004351885,0.021433962265112988,1
83,0.04146728515625,0.005426868091869516,0.0033325433731079103,0.0003292551781271774,sag,42,87.2441855927964,"{'solver': 'sag', 'random_state': 42, 'alpha': 87.2441855927964}",-0.11560338218861274,-0.10953386965526837,-0.11532934461168934,-0.16088638662300145,-0.1432087575078557,-0.11446069427728493,-0.13161804268080599,-0.1120654445043045,-0.17517636049046234,-0.1368202727302337,-0.1314702555269519,0.02145071769933787,2
9,0.013189363479614257,0.003817032252583763,0.006234669685363769,0.0012771891747288765,cholesky,42,103.15206003001501,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 103.15206003001501}",-0.11567618040453134,-0.10975657498625309,-0.11553787992018477,-0.16077979431657677,-0.14359527549106935,-0.11437346435002363,-0.1316160364003247,-0.11193530976979862,-0.1746087682852117,-0.13685052479959717,-0.13147298087235715,0.021318200275288624,3
85,0.040787577629089355,0.005269290394580247,0.004552698135375977,0.0020892770222088854,sag,42,105.25310005002501,"{'solver': 'sag', 'random_state': 42, 'alpha': 105.25310005002501}",-0.1156857598094467,-0.10980114628576586,-0.11557782233942848,-0.16077691113932077,-0.1436565713481377,-0.11435609381169949,-0.1315784235119118,-0.11194008325342185,-0.17450730247015392,-0.13685085712246894,-0.13147309710917554,0.021293493025794683,4
20,0.00750889778137207,0.0007224307371499687,0.003403782844543457,0.00047114860856228873,cholesky,42,80.94106553276639,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 80.94106553276639}",-0.11558445244527127,-0.10942659672615361,-0.11523385251558582,-0.1609251229706445,-0.14304596903284308,-0.11450668792012385,-0.1316684415731639,-0.11210294532875242,-0.1754125348291167,-0.13682743702401948,-0.13147340403656746,0.0215081533089754,5
89,0.007674193382263184,0.00047090256837181374,0.003592252731323242,0.0004445172050827773,cholesky,42,79.04012456228114,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 79.04012456228114}",-0.11557906532912832,-0.10940065626735025,-0.11520923258982767,-0.16093690030186836,-0.1429998650282401,-0.1145241638911962,-0.13167819875349382,-0.11211860967792706,-0.17548646715708477,-0.13682653754785717,-0.1314759696543974,0.021524518182552584,6
54,0.04535269737243652,0.0049915392024336295,0.0033804655075073244,0.000293778751097412,sag,42,81.24121410705352,"{'solver': 'sag', 'random_state': 42, 'alpha': 81.24121410705352}",-0.1155821649217576,-0.10945135561404033,-0.11525418635820535,-0.16093021239638827,-0.1430596775255311,-0.11450827492013091,-0.1316410401881831,-0.11212275064911459,-0.17539129898014336,-0.13681995789986126,-0.1314760919453356,0.0214992301446171,7
17,0.07646820545196534,0.007445983642318998,0.0038728952407836915,0.0005273846718687552,saga,42,83.54235317658829,"{'solver': 'saga', 'random_state': 42, 'alpha': 83.54235317658829}",-0.11559158149041945,-0.10950498342282024,-0.11530688924368535,-0.16094640929439769,-0.14313293426121435,-0.11447449385183608,-0.13166984532188908,-0.11213033656714252,-0.17528950546249128,-0.1368223602329934,-0.13148693391488894,0.021476542361240993,8
21,0.07253367900848388,0.008416947763727584,0.003472781181335449,0.0002443649346070226,saga,42,103.65230765382691,"{'solver': 'saga', 'random_state': 42, 'alpha': 103.65230765382691}",-0.11568204131692648,-0.10979689770538702,-0.11557356708860621,-0.16080566141041724,-0.14362793328546525,-0.11436256415209517,-0.13162809224133307,-0.11197141775648028,-0.1745762353631392,-0.1368538046475962,-0.1314878214967446,0.021307486293508975,9
99,0.018333935737609865,0.0029126411418549675,0.003802847862243652,0.0006714327333982366,svd,42,114.65775537768884,"{'solver': 'svd', 'random_state': 42, 'alpha': 114.65775537768884}",-0.11573836876468263,-0.10994408567346926,-0.11570622582419682,-0.16070158604561513,-0.14388576759936203,-0.11434569300866498,-0.13162567156002783,-0.11186076075503523,-0.17422821485801757,-0.1368693069690622,-0.1314905681058134,0.021220707583541096,10
