,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lambda_2,param_lambda_1,param_alpha_2,param_alpha_1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
47,0.49127509593963625,0.02012329013465371,0.011551213264465333,0.0014750857105856909,1e-05,1.0990495247623979e-07,6.939369684842422e-06,6.439169584792397e-06,"{'lambda_2': 1e-05, 'lambda_1': 1.0990495247623979e-07, 'alpha_2': 6.939369684842422e-06, 'alpha_1': 6.439169584792397e-06}",-0.11753957045247541,-0.09436228300907726,-0.10372571421249357,-0.12175971300075375,-0.13838960699144906,-0.09636115912390793,-0.11609185528477137,-0.09395973898376203,-0.09257585434226807,-0.12137049497647062,-0.10961359903774293,0.014821690922519061,1
95,0.5317317247390747,0.073462603827468,0.011950182914733886,0.0017126461710642502,9.980190095047524e-06,4.9237118559279656e-06,5.567533766883443e-06,8.380540270135068e-06,"{'lambda_2': 9.980190095047524e-06, 'lambda_1': 4.9237118559279656e-06, 'alpha_2': 5.567533766883443e-06, 'alpha_1': 8.380540270135068e-06}",-0.11753957040196257,-0.0943622829403861,-0.10372571421467455,-0.12175971288723415,-0.1383896074978037,-0.09636115915133275,-0.11609185533315844,-0.09395973894090934,-0.09257585417677076,-0.12137049497252954,-0.1096135990516762,0.014821691038704616,2
33,0.48014838695526124,0.02172115336054799,0.012413835525512696,0.0024120411196085602,9.876188094047025e-06,3.086343171585794e-06,7.870435217608806e-06,9.995047523761881e-06,"{'lambda_2': 9.876188094047025e-06, 'lambda_1': 3.086343171585794e-06, 'alpha_2': 7.870435217608806e-06, 'alpha_1': 9.995047523761881e-06}",-0.11753957166816442,-0.09436228506780493,-0.10372571415652808,-0.12175971514081421,-0.1383896012421816,-0.09636115850111876,-0.11609185422134116,-0.09395974013252019,-0.09257586109472342,-0.12137049503903015,-0.1096135996264227,0.014821688953714713,3
85,0.5674773216247558,0.13286686279419282,0.018067288398742675,0.011519517960636957,9.623611805902952e-06,5.721060530265134e-06,1.912606303151578e-06,5.275337668834418e-06,"{'lambda_2': 9.623611805902952e-06, 'lambda_1': 5.721060530265134e-06, 'alpha_2': 1.912606303151578e-06, 'alpha_1': 5.275337668834418e-06}",-0.11753957262354779,-0.09436228676343154,-0.1037257141121423,-0.12175971668775999,-0.1383895981869418,-0.09636115802604399,-0.11609185341081844,-0.09395974105380837,-0.09257586699055552,-0.12137049508069161,-0.10961360029357414,0.014821687601011465,4
72,0.5100449085235595,0.04719701071121192,0.013581299781799316,0.003787216969260013,9.509704852426213e-06,2.397948974487245e-06,8.132916458229116e-06,5.6121060530265145e-06,"{'lambda_2': 9.509704852426213e-06, 'lambda_1': 2.397948974487245e-06, 'alpha_2': 8.132916458229116e-06, 'alpha_1': 5.6121060530265145e-06}",-0.11753957470763654,-0.0943622902368959,-0.10372571401661883,-0.12175972044653567,-0.13838958735386808,-0.09636115695043122,-0.11609185157159112,-0.0939597430086182,-0.09257587816159656,-0.1213704951929298,-0.1096136011646722,0.01482168409775058,5
36,0.4877373695373535,0.009947473277420758,0.013242554664611817,0.004580546692264088,9.450275137568786e-06,1.5906953476738376e-06,5.5625812906453235e-06,9.52951475737869e-06,"{'lambda_2': 9.450275137568786e-06, 'lambda_1': 1.5906953476738376e-06, 'alpha_2': 5.5625812906453235e-06, 'alpha_1': 9.52951475737869e-06}",-0.11753957468278808,-0.09436229022401613,-0.10372571401762742,-0.12175972035002784,-0.13838958804320398,-0.09636115696928392,-0.1160918516033385,-0.093959742991656,-0.09257587825109663,-0.12137049518870499,-0.10961360123217434,0.01482168421450162,6
5,0.5264322757720947,0.05267385333722589,0.013498806953430175,0.002759031146812282,9.390845422711357e-06,5.00295147573787e-06,7.702051025512757e-06,9.945522761380691e-06,"{'lambda_2': 9.390845422711357e-06, 'lambda_1': 5.00295147573787e-06, 'alpha_2': 7.702051025512757e-06, 'alpha_1': 9.945522761380691e-06}",-0.11753957561599253,-0.09436229178828318,-0.10372571397475745,-0.1217597220226915,-0.1383895833063025,-0.09636115648758997,-0.11609185078131083,-0.09395974387006521,-0.09257588330693427,-0.12137049523841349,-0.10961360163923409,0.01482168265969519,7
21,0.5046074151992798,0.04200159904662317,0.015059828758239746,0.01060693434790771,9.311605802901451e-06,5.493246623311657e-06,3.3191095547773897e-06,6.562981490745374e-06,"{'lambda_2': 9.311605802901451e-06, 'lambda_1': 5.493246623311657e-06, 'alpha_2': 3.3191095547773897e-06, 'alpha_1': 6.562981490745374e-06}",-0.11753957543306727,-0.09436229152797233,-0.10372571398290494,-0.12175972161531456,-0.1383895850973221,-0.09636115659027726,-0.11609185095721813,-0.09395974370906504,-0.09257588266468401,-0.12137049522424902,-0.10961360168020746,0.014821683078928859,8
89,0.4907320737838745,0.025341892583253596,0.012005376815795898,0.0010104574683622207,9.21255627813907e-06,5.5823911955978e-06,5.4734367183591805e-06,8.05862931465733e-06,"{'lambda_2': 9.21255627813907e-06, 'lambda_1': 5.5823911955978e-06, 'alpha_2': 5.4734367183591805e-06, 'alpha_1': 8.05862931465733e-06}",-0.11753957665250746,-0.0943622935781323,-0.10372571392691887,-0.12175972378542962,-0.13838957907579225,-0.09636115596367455,-0.11609184988638824,-0.09395974485739722,-0.09257588933144129,-0.12137049528831549,-0.10961360223459973,0.014821681070845825,9
10,0.5263663053512573,0.044163880335194514,0.015675115585327148,0.007993736345219767,8.870835417708855e-06,5.16008004002002e-07,1.4223111555777907e-06,4.8741870935467745e-06,"{'lambda_2': 8.870835417708855e-06, 'lambda_1': 5.16008004002002e-07, 'alpha_2': 1.4223111555777907e-06, 'alpha_1': 4.8741870935467745e-06}",-0.11753957861048367,-0.09436229695545294,-0.10372571383666657,-0.1217597271149718,-0.1383895710861834,-0.09636115497559905,-0.116091848196503,-0.09395974672033644,-0.09257590070218374,-0.12137049538253981,-0.10961360335809205,0.014821678071422697,10
