,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
52,0.07199738025665284,0.02000772094267829,0.15459883213043213,0.03187845739660695,distance,14,25,ball_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 25, 'algorithm': 'ball_tree'}",-0.16203171865617474,-0.17466087209080236,-0.16244771060822202,-0.18920209485875866,-0.191609028417002,-0.1633153379827911,-0.1836078565784706,-0.153275054379214,-0.18108845849512975,-0.16954866126364268,-0.1730786793330208,0.012312116367343797,1
45,0.08591485023498535,0.023157051968206287,0.16543402671813964,0.06423095851144649,distance,14,40,kd_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 40, 'algorithm': 'kd_tree'}",-0.16203171865617474,-0.17466087209080236,-0.16244771060822202,-0.18920209485875866,-0.191609028417002,-0.1633153379827911,-0.1836078565784706,-0.153275054379214,-0.18108845849512975,-0.16954866126364268,-0.1730786793330208,0.012312116367343797,1
34,0.10320105552673339,0.029096660269771053,0.226714563369751,0.05259010730619862,distance,13,26,kd_tree,"{'weights': 'distance', 'n_neighbors': 13, 'leaf_size': 26, 'algorithm': 'kd_tree'}",-0.16242358542916432,-0.17521399680052724,-0.1631776078358211,-0.18936577133791177,-0.1900781716211523,-0.16344848085596597,-0.18313802186566747,-0.1540076509841266,-0.18141217785429667,-0.16949579252625002,-0.17317612571108834,0.011875177734665223,3
59,0.08717892169952393,0.021434475985139274,0.15379829406738282,0.02351968116495758,distance,15,42,kd_tree,"{'weights': 'distance', 'n_neighbors': 15, 'leaf_size': 42, 'algorithm': 'kd_tree'}",-0.16182273711345596,-0.1735267496367439,-0.16357184415675158,-0.1908605431920362,-0.19376600225063684,-0.16464653633380807,-0.1835607456947539,-0.1517860186158886,-0.18106435186843428,-0.16868071850799604,-0.17332862473705055,0.012954834535846059,4
84,0.0871922254562378,0.04321605305226308,0.16619386672973632,0.03684028698750793,distance,12,34,kd_tree,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 34, 'algorithm': 'kd_tree'}",-0.16067905888616582,-0.1738309815094938,-0.1635066777958727,-0.1900723703387745,-0.1895706991633889,-0.16409177017888346,-0.18597635208483823,-0.15375649105092193,-0.18201934661144167,-0.17085067112930294,-0.1734354418749084,0.012291461372412694,5
7,0.09708406925201415,0.03946813287912564,0.20235929489135743,0.05428796237939723,distance,12,33,ball_tree,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 33, 'algorithm': 'ball_tree'}",-0.16067905888616582,-0.1738309815094938,-0.1635066777958727,-0.1900723703387745,-0.1895706991633889,-0.16409177017888346,-0.18597635208483823,-0.15375649105092193,-0.18201934661144167,-0.17085067112930294,-0.1734354418749084,0.012291461372412694,5
63,0.10091924667358398,0.03553037341584929,0.14420666694641113,0.04567762793095405,distance,11,15,ball_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 15, 'algorithm': 'ball_tree'}",-0.16302842521993247,-0.17484688471693297,-0.16457819486653832,-0.1896097357067628,-0.18761598413305708,-0.16499416229714298,-0.18460899885375734,-0.15381040157902195,-0.18195619238943747,-0.17061449564857004,-0.17356634754111533,0.011458969839858522,7
90,0.07513139247894288,0.015856898011756805,0.12638444900512696,0.059811753898244356,distance,11,28,ball_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 28, 'algorithm': 'ball_tree'}",-0.16302842521993247,-0.17484688471693297,-0.16457819486653832,-0.1896097357067628,-0.18761598413305708,-0.16499416229714298,-0.18460899885375734,-0.15381040157902195,-0.18195619238943747,-0.17061449564857004,-0.17356634754111533,0.011458969839858522,7
40,0.07573058605194091,0.015857895712640978,0.15735671520233155,0.055870634368578635,distance,11,34,kd_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 34, 'algorithm': 'kd_tree'}",-0.16302842521993247,-0.17484688471693297,-0.16457819486653832,-0.1896097357067628,-0.18761598413305708,-0.16499416229714298,-0.18460899885375734,-0.15381040157902195,-0.18195619238943747,-0.17061449564857004,-0.17356634754111533,0.011458969839858522,7
61,0.11038997173309326,0.03601026393288951,0.1711216926574707,0.04579212130779697,distance,11,35,kd_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 35, 'algorithm': 'kd_tree'}",-0.16302842521993247,-0.17484688471693297,-0.16457819486653832,-0.1896097357067628,-0.18761598413305708,-0.16499416229714298,-0.18460899885375734,-0.15381040157902195,-0.18195619238943747,-0.17061449564857004,-0.17356634754111533,0.011458969839858522,7
3,0.09327332973480225,0.030331210150220132,0.19995427131652832,0.06907235208212426,distance,11,37,kd_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 37, 'algorithm': 'kd_tree'}",-0.16302842521993247,-0.17484688471693297,-0.16457819486653832,-0.1896097357067628,-0.18761598413305708,-0.16499416229714298,-0.18460899885375734,-0.15381040157902195,-0.18195619238943747,-0.17061449564857004,-0.17356634754111533,0.011458969839858522,7
