,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_loss,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
30,10.977157378196717,0.9764090960945943,0.16657552719116211,0.012652482772936995,42,257,exponential,4.81245807903952,"{'random_state': 42, 'n_estimators': 257, 'loss': 'exponential', 'learning_rate': 4.81245807903952}",-0.17342259217790756,-0.17545227718854478,-0.16038079789562829,-0.18234933302803807,-0.18053838995953617,-0.15851788973120934,-0.173291662850366,-0.16789187143044246,-0.19709729052340572,-0.1673397238648321,-0.17362818286499104,0.010744093365549169,1
9,11.407309627532959,0.9203673510573942,0.16319019794464112,0.0294636889424481,42,269,exponential,4.992546323161581,"{'random_state': 42, 'n_estimators': 269, 'loss': 'exponential', 'learning_rate': 4.992546323161581}",-0.173492924869789,-0.17387829299708246,-0.1564622612145706,-0.18640497171875686,-0.18307492295563949,-0.16227903524137735,-0.17115238779313746,-0.16715931761192376,-0.19609781942128085,-0.16671700782727705,-0.1736718941650835,0.011298874629557776,2
12,5.386260318756103,0.3980204073483962,0.08917953968048095,0.01566390079339226,42,129,exponential,4.957529164582291,"{'random_state': 42, 'n_estimators': 129, 'loss': 'exponential', 'learning_rate': 4.957529164582291}",-0.1743580425135047,-0.17430082893451193,-0.15783657235848947,-0.18905343523308418,-0.18283512041431707,-0.15813859845756043,-0.1775267895067181,-0.17278012256051845,-0.19533104537609858,-0.1658018962551634,-0.17479624516099662,0.011608329307142083,3
38,5.638812732696533,0.5109088871113145,0.09459941387176514,0.0178108380764046,42,122,exponential,4.1221198099049525,"{'random_state': 42, 'n_estimators': 122, 'loss': 'exponential', 'learning_rate': 4.1221198099049525}",-0.17956305921221077,-0.17995895434673143,-0.1600782346594535,-0.19434265458647637,-0.18573245072982167,-0.15901931319995558,-0.17478358949920303,-0.16685345576030647,-0.19129562509234443,-0.1649224403518975,-0.17565497774384004,0.012008353833488302,4
98,7.097776222229004,0.25412936608321623,0.13182392120361328,0.027037833276570538,42,190,exponential,4.4772938469234616,"{'random_state': 42, 'n_estimators': 190, 'loss': 'exponential', 'learning_rate': 4.4772938469234616}",-0.18265772367427846,-0.17416877513451065,-0.16155140027159112,-0.18461648880162534,-0.18663733188571222,-0.1602472087379877,-0.17205086933958288,-0.17237828115888357,-0.19490015353977028,-0.16774502091035567,-0.1756953253454298,0.010701086590088844,5
35,11.677939224243165,0.9402822499899113,0.1861140251159668,0.05490744770488988,42,281,exponential,4.737421310655328,"{'random_state': 42, 'n_estimators': 281, 'loss': 'exponential', 'learning_rate': 4.737421310655328}",-0.17791467662080118,-0.1717394307600706,-0.16509398139529755,-0.188168221922937,-0.18450705604560888,-0.16323506943498592,-0.17401507967187219,-0.1727668480809473,-0.1920197960027619,-0.16884207895724818,-0.17583022388925307,0.009198442241284436,6
37,12.56897029876709,0.5693503949620041,0.18989315032958984,0.019280198776264794,42,296,linear,3.216676138069035,"{'random_state': 42, 'n_estimators': 296, 'loss': 'linear', 'learning_rate': 3.216676138069035}",-0.17799635732348593,-0.17362342225827873,-0.161397683690279,-0.18908026260325622,-0.18468944973227366,-0.16787355579813584,-0.17363522986544974,-0.1743936322990057,-0.1943700553621773,-0.17054602105437627,-0.17676056699867185,0.009513636851670493,7
7,4.458591723442078,0.2848859634846483,0.07237074375152588,0.01780367944577549,42,102,exponential,4.192154127063532,"{'random_state': 42, 'n_estimators': 102, 'loss': 'exponential', 'learning_rate': 4.192154127063532}",-0.18004481058696467,-0.1796428011173712,-0.16218942444612752,-0.1897067880220003,-0.189236642093357,-0.1647555944724271,-0.1730398437383537,-0.1698273683212764,-0.19339132155943262,-0.16586456781894643,-0.17676991621762572,0.010751767879952549,8
51,8.546717739105224,0.6629324627284608,0.12774693965911865,0.016545081914797116,42,202,exponential,3.2366859429714863,"{'random_state': 42, 'n_estimators': 202, 'loss': 'exponential', 'learning_rate': 3.2366859429714863}",-0.18692879661516923,-0.1741974613311287,-0.16400341391078527,-0.18988669663139976,-0.1850386172548341,-0.1596203847077159,-0.17590691854692464,-0.1743625176581602,-0.1930780011105243,-0.16736547423168574,-0.1770388281998328,0.010805304672721684,9
79,7.184854960441589,0.7775337949642033,0.13139195442199708,0.01843069609821188,42,204,exponential,5.29269339669835,"{'random_state': 42, 'n_estimators': 204, 'loss': 'exponential', 'learning_rate': 5.29269339669835}",-0.17663770698364434,-0.1842468231853344,-0.16480862624609258,-0.18570863431735032,-0.1869067565249011,-0.16061659630612124,-0.17550242508713737,-0.1749424486595279,-0.19618450641503973,-0.16852369053007168,-0.17740782142552208,0.010432562116930472,10
21,8.942184805870056,0.6795946455983416,0.13971962928771972,0.021245685352398767,42,208,linear,2.471310905452727,"{'random_state': 42, 'n_estimators': 208, 'loss': 'linear', 'learning_rate': 2.471310905452727}",-0.17934873861795464,-0.17713765332571263,-0.16598581735916598,-0.19366878272034127,-0.18821280571267746,-0.1623598257129605,-0.17396341834707835,-0.17445298674473442,-0.1946935645763055,-0.16514416541901225,-0.1774967758535943,0.011007365972203094,11
25,5.316411876678467,0.3653116632240054,0.08167307376861573,0.008225481095458072,42,120,linear,3.271703101550776,"{'random_state': 42, 'n_estimators': 120, 'loss': 'linear', 'learning_rate': 3.271703101550776}",-0.17542097345361213,-0.17874739565665995,-0.16796993950777586,-0.1861561645498088,-0.18252234747506557,-0.15886656597163049,-0.1831652814288222,-0.17115257219501254,-0.20116260316535897,-0.17193842655430547,-0.17771022699580521,0.01098567981563407,12
4,8.501564383506775,0.8913963561165371,0.15949568748474122,0.0373651190270155,42,232,linear,3.3017178089044528,"{'random_state': 42, 'n_estimators': 232, 'loss': 'linear', 'learning_rate': 3.3017178089044528}",-0.1810068559424453,-0.17962615411868826,-0.1720092847756462,-0.19408625393673754,-0.18578108810510052,-0.1625807104453053,-0.17394224833119434,-0.16950513780689133,-0.1949609713575002,-0.16711151328414997,-0.1780610218103659,0.010485542928180167,13
75,5.135089159011841,0.336202333579788,0.09263546466827392,0.032362933202091264,42,123,exponential,3.3617472236118062,"{'random_state': 42, 'n_estimators': 123, 'loss': 'exponential', 'learning_rate': 3.3617472236118062}",-0.17387587960453368,-0.17649620014135572,-0.16713841868107993,-0.19198151416142895,-0.18879874112380432,-0.16626848767908933,-0.1764590947082791,-0.17684803170303506,-0.1976320391325515,-0.16854482889266048,-0.17840432358278183,0.010314317848941662,14
