,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
94,0.3458014726638794,0.063002951864699,0.014426422119140626,0.0036020296681071244,42,0.7546228114057028,0.00038044522261130567,"{'random_state': 42, 'l1_ratio': 0.7546228114057028, 'alpha': 0.00038044522261130567}",-0.11189078715165023,-0.0918679410609668,-0.10377569254458066,-0.11705131381918588,-0.14002126928110223,-0.09266520734436146,-0.1144000074793516,-0.09126189309861252,-0.09142798973782372,-0.12191465245546584,-0.10762767539731008,0.015568099746384909,1
16,0.3331916093826294,0.03470226182541265,0.011697030067443848,0.0018241176959348728,42,0.6896553276638319,0.0004804852426213107,"{'random_state': 42, 'l1_ratio': 0.6896553276638319, 'alpha': 0.0004804852426213107}",-0.11124148511500022,-0.09193208621748383,-0.10427949477538419,-0.11689831060195043,-0.13968059669489855,-0.09277493506364436,-0.11428778984406089,-0.09158108118748799,-0.09190382461916217,-0.12191925084958954,-0.1076498854968662,0.015355434801970796,2
71,0.3107578754425049,0.03029790752063877,0.01333603858947754,0.002264181354386985,42,0.6091955977988994,0.000463151575787894,"{'random_state': 42, 'l1_ratio': 0.6091955977988994, 'alpha': 0.000463151575787894}",-0.11198340956943076,-0.0919015598458861,-0.10379730120870317,-0.11712018153098114,-0.14001387518156397,-0.09275534879803939,-0.11444681658289028,-0.09132909056376315,-0.0914492179094725,-0.12184140089360881,-0.10766382020843393,0.01554676356467744,3
22,0.30135040283203124,0.03463762339503081,0.013342571258544923,0.00407240095666286,42,0.528735867933967,0.0005414007003501751,"{'random_state': 42, 'l1_ratio': 0.528735867933967, 'alpha': 0.0005414007003501751}",-0.11193225286022958,-0.0919212567280305,-0.10382187267462235,-0.11715411832924987,-0.13993894494137912,-0.09280392198255905,-0.11444921820603186,-0.09133026801505263,-0.09155858532254477,-0.12177631830150742,-0.10766867573612071,0.015507230261904897,4
64,0.40852034091949463,0.1270986490199882,0.018035626411437987,0.0061576994029400554,42,0.735632316158079,0.0003745022511255628,"{'random_state': 42, 'l1_ratio': 0.735632316158079, 'alpha': 0.0003745022511255628}",-0.11210777123277531,-0.0918846777208103,-0.10377590566094853,-0.11710511251508803,-0.1401265762910504,-0.0927099704803842,-0.11443233071291124,-0.09135690906003618,-0.0913105526461541,-0.12192926281068588,-0.10767390691308443,0.015598369636935666,5
27,0.2612848043441772,0.047767797885872765,0.012255001068115234,0.004579286462814426,42,0.4727638819409704,0.0006498599299649825,"{'random_state': 42, 'l1_ratio': 0.4727638819409704, 'alpha': 0.0006498599299649825}",-0.11167689400381335,-0.09195262330701144,-0.10402522163955061,-0.11715037814938598,-0.13972432784990224,-0.09289675480458513,-0.11443507941756877,-0.0915039642511248,-0.09183750303221282,-0.12172065196096922,-0.10769233984161244,0.015385618667346746,6
79,0.22253968715667724,0.0636253258510742,0.017191338539123534,0.0068843565755195525,42,0.9525237618809403,0.00038935967983991997,"{'random_state': 42, 'l1_ratio': 0.9525237618809403, 'alpha': 0.00038935967983991997}",-0.11092199174003234,-0.09192567947029937,-0.10489047576211842,-0.11673303156715475,-0.13956570279850652,-0.09274406173350287,-0.11418019381178043,-0.09181144642376589,-0.09221300230169169,-0.12207123442209247,-0.1077056820030945,0.01525981916410119,7
68,0.2363300085067749,0.03442109899273424,0.01608860492706299,0.005548041058554002,42,0.42428814407203597,0.0007290995497748875,"{'random_state': 42, 'l1_ratio': 0.42428814407203597, 'alpha': 0.0007290995497748875}",-0.1117042451554483,-0.09198646963899641,-0.10408641911191605,-0.1172157513267329,-0.13967216972440102,-0.0929694093158678,-0.11448091841820981,-0.09156270951418388,-0.09192454609613937,-0.12167756022832245,-0.1077280198530218,0.015350533307064654,8
13,0.26329166889190675,0.03400846296446288,0.013657259941101074,0.004130780081393678,42,0.5232386193096548,0.0006498599299649825,"{'random_state': 42, 'l1_ratio': 0.5232386193096548, 'alpha': 0.0006498599299649825}",-0.11130610588125052,-0.092005107316872,-0.1044692184831328,-0.11703980907997195,-0.13954564857561602,-0.0929519625334684,-0.11436985341450646,-0.0917452408431371,-0.09211967552379481,-0.1218333578010693,-0.10773859794528193,0.015264921490021477,9
19,0.3113540172576904,0.06100880344947469,0.011268377304077148,0.0016632126422038826,42,0.584208104052026,0.0006057828914457229,"{'random_state': 42, 'l1_ratio': 0.584208104052026, 'alpha': 0.0006057828914457229}",-0.11117938466239526,-0.09198513044024116,-0.1046567926077474,-0.1169992370577967,-0.13950554815960703,-0.09291859093689159,-0.11432232435744664,-0.09181278332682098,-0.09220397493942449,-0.12189347790212633,-0.10774772443904974,0.015240409366396977,10
8,0.3029207706451416,0.02069612976458502,0.014034295082092285,0.004786973215510086,42,0.5692156078039019,0.0004373986993496749,"{'random_state': 42, 'l1_ratio': 0.5692156078039019, 'alpha': 0.0004373986993496749}",-0.11255374794958564,-0.09200833773669692,-0.10381872326598504,-0.11728641971643841,-0.14034254261152124,-0.09283456333762194,-0.11468325641146815,-0.0916416765484791,-0.09112388088311667,-0.12188828022631348,-0.10781814286872264,0.015639177557284573,11
32,0.2614572048187256,0.037367850455349044,0.013124656677246094,0.002243255744735227,42,0.5252376188094047,0.0007068134067033517,"{'random_state': 42, 'l1_ratio': 0.5252376188094047, 'alpha': 0.0007068134067033517}",-0.11118021960845831,-0.09200569131548811,-0.10497012172803155,-0.11714862218427216,-0.13938755574784978,-0.09302904271328861,-0.11435794470979267,-0.09197188015374223,-0.09249355672226671,-0.12185143611700433,-0.10783960710001943,0.015157494082849072,12
81,0.28902647495269773,0.029645008458360315,0.013320612907409667,0.002918383684265769,42,0.6231885942971485,0.0006285642821410706,"{'random_state': 42, 'l1_ratio': 0.6231885942971485, 'alpha': 0.0006285642821410706}",-0.11102267622634163,-0.09197388512906603,-0.10518679643473348,-0.11706558748460451,-0.13937587799622464,-0.09302434855724805,-0.11430316253996657,-0.09209080329052635,-0.09267435504622153,-0.12193437942931022,-0.10786518721342431,0.015121113559311897,13
46,0.3222344398498535,0.07022354772054387,0.016032934188842773,0.0058339658720374206,42,0.6031985992996498,0.0006533266633316658,"{'random_state': 42, 'l1_ratio': 0.6031985992996498, 'alpha': 0.0006533266633316658}",-0.11105304703222903,-0.09198472165768029,-0.10521810202198285,-0.11710134609985853,-0.13935681724087312,-0.09305901669255587,-0.11431888976891312,-0.09212146346851639,-0.09272466553200982,-0.12192471025011468,-0.10788627797647339,0.015106379531141561,14
47,0.2638026237487793,0.029768374412403913,0.015225553512573242,0.006090787388220992,42,0.3888059029514757,0.0006082591295647824,"{'random_state': 42, 'l1_ratio': 0.3888059029514757, 'alpha': 0.0006082591295647824}",-0.11267726284043879,-0.09211044358767723,-0.10385412577459258,-0.11746070729732677,-0.1403231119512441,-0.09300052565469671,-0.11483729197894146,-0.09179088232288998,-0.09108103797110895,-0.12173907097561652,-0.1078874460354533,0.015605084312813019,15
