,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_random_state,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
35,10.221287965774536,0.4853335936051817,0.11631414890289307,0.01679122191774386,0.6463585292646323,0.8571,0.464,42,6,53,0.13232666333166584,0.01935967983991996,0.7939175587793897,"{'subsample': 0.6463585292646323, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 53, 'learning_rate': 0.13232666333166584, 'gamma': 0.01935967983991996, 'colsample_bytree': 0.7939175587793897}",-0.1194263350037566,-0.1179346143466848,-0.12084616438180293,-0.1593629441848,-0.15853729771952496,-0.10567262648814385,-0.11790882640135755,-0.10858915125761494,-0.13010487480015126,-0.13130244616165765,-0.12696852807454945,0.017674783309846828,1
30,8.326062273979186,0.6616678068203283,0.11240298748016357,0.015622833705588776,0.5773309154577289,0.8571,0.464,42,6,41,0.10630065032516259,0.015315157578789394,0.6488595297648825,"{'subsample': 0.5773309154577289, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 41, 'learning_rate': 0.10630065032516259, 'gamma': 0.015315157578789394, 'colsample_bytree': 0.6488595297648825}",-0.1260666744815084,-0.11370821824758756,-0.11714797137401076,-0.1594629975097726,-0.15333038176518718,-0.10633500963802253,-0.12318515212868533,-0.11127627596321102,-0.13394289023227107,-0.13152441974154155,-0.1275979991081798,0.01666033821959421,2
62,7.963516259193421,0.44192668875627394,0.10380573272705078,0.024649961532525883,0.9459783891945973,0.8571,0.464,42,6,43,0.11736918459229614,0.01730065032516258,0.48479389694847425,"{'subsample': 0.9459783891945973, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 43, 'learning_rate': 0.11736918459229614, 'gamma': 0.01730065032516258, 'colsample_bytree': 0.48479389694847425}",-0.12479389836010842,-0.12329821955926051,-0.12510897080998515,-0.16118492988434496,-0.15652359613322794,-0.10156246587364429,-0.12797378752484048,-0.10680314062688412,-0.12808581312920017,-0.13335153511575068,-0.12886863570172466,0.017677473636922833,3
70,12.703478360176087,1.0937238875120614,0.11683957576751709,0.020853489517838827,0.9689875937968985,0.8571,0.464,42,6,44,0.13576688344172086,0.024237618809404702,0.8849539769884943,"{'subsample': 0.9689875937968985, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 44, 'learning_rate': 0.13576688344172086, 'gamma': 0.024237618809404702, 'colsample_bytree': 0.8849539769884943}",-0.12149710508649793,-0.11702705115108197,-0.12150634306370263,-0.16230519561539086,-0.15608838532887787,-0.10628266008062802,-0.1297265454179058,-0.10911381169148365,-0.13682643775305733,-0.13501474719447912,-0.1295388282383105,0.017622171673537596,4
27,7.823010087013245,0.6286720778676319,0.1145827293395996,0.01528811396279099,0.9879951975987994,0.8571,0.464,42,8,49,0.1576048024012006,0.036665332666333164,0.46428569284642324,"{'subsample': 0.9879951975987994, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 49, 'learning_rate': 0.1576048024012006, 'gamma': 0.036665332666333164, 'colsample_bytree': 0.46428569284642324}",-0.13232421164497415,-0.12572518945872346,-0.11816028099325168,-0.14881090695822183,-0.16111361319592682,-0.10408991884049897,-0.12539114844611296,-0.11054279241193456,-0.14092071244543053,-0.13197036685329597,-0.1299049141248371,0.016370622150267813,5
15,10.387470245361328,0.493425960508958,0.11784234046936035,0.018771961747682107,0.6318527263631816,0.8571,0.464,42,4,46,0.14668584292146072,0.016540770385192596,0.7493997498749375,"{'subsample': 0.6318527263631816, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 46, 'learning_rate': 0.14668584292146072, 'gamma': 0.016540770385192596, 'colsample_bytree': 0.7493997498749375}",-0.1284011207222719,-0.11872301101118522,-0.12542362435959487,-0.15023700633706125,-0.1559121443913763,-0.11098756371732589,-0.12812010381270292,-0.11727476288587574,-0.1376588321883306,-0.12867437546094193,-0.13014125448866665,0.01348628795234924,6
20,10.47279748916626,0.5281147926963637,0.10291790962219238,0.014187503372483392,0.9474789894947474,0.8571,0.464,42,8,54,0.10884342171085543,0.04075887943971986,0.880452176088044,"{'subsample': 0.9474789894947474, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 8, 'max_depth': 54, 'learning_rate': 0.10884342171085543, 'gamma': 0.04075887943971986, 'colsample_bytree': 0.880452176088044}",-0.13650116362536863,-0.11504810574411126,-0.11889321361862044,-0.15521687971548795,-0.15627604601856834,-0.10688671437820065,-0.13284926277012188,-0.11048741288844442,-0.13624882477717806,-0.13536648252908118,-0.13037741060651828,0.016446922130069836,7
49,4.279921078681946,0.15156000838368874,0.1209449291229248,0.017207859583630986,0.7574029514757379,0.8571,0.464,42,4,51,0.10256128064032016,0.00975087543771886,0.15116043021510756,"{'subsample': 0.7574029514757379, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 51, 'learning_rate': 0.10256128064032016, 'gamma': 0.00975087543771886, 'colsample_bytree': 0.15116043021510756}",-0.12013695757093716,-0.12043135607803979,-0.12318153295241789,-0.16064364069819728,-0.15410318388983532,-0.1090022231072659,-0.12462180491012384,-0.11303905786786948,-0.1399389828868256,-0.1393700507017594,-0.13044687906632718,0.016423810858200293,8
28,7.390835452079773,0.6042589622481972,0.11214332580566407,0.016030402447806492,0.5828331165582792,0.8571,0.464,42,4,45,0.10734767383691846,0.04931365682841421,0.48729489744872434,"{'subsample': 0.5828331165582792, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 45, 'learning_rate': 0.10734767383691846, 'gamma': 0.04931365682841421, 'colsample_bytree': 0.48729489744872434}",-0.12304800350763061,-0.11936511577423509,-0.1219063274783093,-0.16114748105061688,-0.15396031942318256,-0.11013681100871467,-0.1300762431964614,-0.12336747555746248,-0.13982337354908175,-0.12738566805945753,-0.13102168186051524,0.015174447491825368,9
9,14.939679670333863,1.1609560832554608,0.12049639225006104,0.02839354255128519,0.7614045522761381,0.8571,0.464,42,2,41,0.11243321660830416,0.006049524762381191,0.8869547773886943,"{'subsample': 0.7614045522761381, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 41, 'learning_rate': 0.11243321660830416, 'gamma': 0.006049524762381191, 'colsample_bytree': 0.8869547773886943}",-0.12699592194575884,-0.1291821770603144,-0.11590781710021027,-0.1571598287499153,-0.16009417900057193,-0.1124381255027191,-0.13772444382053617,-0.10753435702357685,-0.12195125758625298,-0.14403215487187213,-0.1313020262661728,0.017231138467881213,10
53,3.9564115047454833,0.20560013538745328,0.10646209716796876,0.01311998966072411,0.8499399699849925,0.8571,0.464,42,4,46,0.08371485742871436,0.028992996498249126,0.1721688344172086,"{'subsample': 0.8499399699849925, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 46, 'learning_rate': 0.08371485742871436, 'gamma': 0.028992996498249126, 'colsample_bytree': 0.1721688344172086}",-0.1134331099887546,-0.11862944408952396,-0.12606991376005544,-0.1649169863369881,-0.1613999985124194,-0.11376372946159473,-0.1291505732315153,-0.11545736238555342,-0.13793530010553,-0.13306688790092172,-0.13138233057728568,0.017757943383674236,11
0,13.801495790481567,0.8255996562081913,0.11032404899597167,0.020523405243304062,0.9644857928964482,0.8571,0.464,42,4,58,0.21399449724862432,0.013623811905952975,0.8044217608804403,"{'subsample': 0.9644857928964482, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 58, 'learning_rate': 0.21399449724862432, 'gamma': 0.013623811905952975, 'colsample_bytree': 0.8044217608804403}",-0.12307657347138658,-0.11632169115218212,-0.11863581423640523,-0.1568169571790868,-0.16854933982054507,-0.1032419198945843,-0.12893461757653257,-0.12846448417615522,-0.12495566881638719,-0.1456797065610191,-0.1314676772884284,0.018811222413838584,12
72,11.185117173194886,0.7250452868848463,0.10722873210906983,0.013444154737387632,0.6978791395697849,0.8571,0.464,42,2,49,0.16912206103051525,0.0434552276138069,0.46878749374687345,"{'subsample': 0.6978791395697849, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 49, 'learning_rate': 0.16912206103051525, 'gamma': 0.0434552276138069, 'colsample_bytree': 0.46878749374687345}",-0.12660175865019924,-0.1108760768429639,-0.12512914219453944,-0.17006915069316203,-0.16329785038228603,-0.10561683573964363,-0.12891435014521507,-0.12279062169682292,-0.1310208925062996,-0.13582730809991136,-0.1320143986951043,0.019384002695383977,13
43,16.62546718120575,0.789056241594193,0.10633606910705566,0.024841249341838775,0.9679871935967984,0.8571,0.464,42,1,50,0.14683541770885442,0.038185092546273135,0.6353541270635318,"{'subsample': 0.9679871935967984, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 1, 'max_depth': 50, 'learning_rate': 0.14683541770885442, 'gamma': 0.038185092546273135, 'colsample_bytree': 0.6353541270635318}",-0.1260217861752358,-0.11668665772117102,-0.12292356074420817,-0.17798731603651632,-0.15777566090881026,-0.10835315296178322,-0.14250824501320974,-0.11392487098566668,-0.12015708181695095,-0.13465542924838161,-0.1320993761611934,0.020676922666916214,14
94,7.112140703201294,0.447489381559953,0.11339538097381592,0.022179070591670975,0.5578231115557779,0.8571,0.464,42,6,49,0.12080940470235117,0.040660830415207606,0.5258103051525763,"{'subsample': 0.5578231115557779, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 49, 'learning_rate': 0.12080940470235117, 'gamma': 0.040660830415207606, 'colsample_bytree': 0.5258103051525763}",-0.13495807879903315,-0.11915430981366334,-0.11543356068795256,-0.1626831335793242,-0.1554988964598737,-0.10687180000883284,-0.13459497947180202,-0.12072898460416075,-0.13971156055644895,-0.1319897749908086,-0.13216250789719,0.016632083582676635,15
38,6.557488226890564,0.46657982303476964,0.12008695602416992,0.02688895233406595,0.5223089044522261,0.8571,0.464,42,6,40,0.0774327163581791,0.04985292646323162,0.6158463231615808,"{'subsample': 0.5223089044522261, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 40, 'learning_rate': 0.0774327163581791, 'gamma': 0.04985292646323162, 'colsample_bytree': 0.6158463231615808}",-0.1281492334924822,-0.12019443922590901,-0.12147308378659002,-0.1635099922985766,-0.15433652245428273,-0.11288367597125805,-0.13271095096358906,-0.11190276044580058,-0.14832176309625864,-0.13185723314881356,-0.13253396548835603,0.01670396048162639,16
84,7.399337577819824,0.22408425411793004,0.11521341800689697,0.013656087700415114,0.6303521260630315,0.8571,0.464,42,6,57,0.16463481740870436,0.018575287643821912,0.4822928964482241,"{'subsample': 0.6303521260630315, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 57, 'learning_rate': 0.16463481740870436, 'gamma': 0.018575287643821912, 'colsample_bytree': 0.4822928964482241}",-0.12794153217174492,-0.11663678984180234,-0.12124846567928746,-0.16146881405208344,-0.1534642881861571,-0.1045559026705909,-0.13021135563979785,-0.1268878329640951,-0.1512617104921421,-0.13213966807389757,-0.13258163597715986,0.01687419189037838,17
