,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
93,0.09010608196258545,0.024391177603342574,0.015041947364807129,0.005854234877669943,cholesky,42,7.241624227113557,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 7.241624227113557}",-0.11863255352317548,-0.09985545333688432,-0.11361041691202456,-0.12804599014839266,-0.1387665405377168,-0.10550889450923748,-0.12016003706733859,-0.09411819706345062,-0.0942414479134177,-0.12298948146435326,-0.11359290124759916,0.014167698393302253,1
21,0.9325461626052857,0.07782782201074921,0.01072540283203125,0.003055266600587876,sag,42,7.197602256128064,"{'solver': 'sag', 'random_state': 42, 'alpha': 7.197602256128064}",-0.11889340140430867,-0.09990053047580366,-0.11349990064856091,-0.12819570068942515,-0.1386462733182167,-0.10535024491530907,-0.12017448613755388,-0.09408452299221336,-0.09434396385526564,-0.12286615518208223,-0.11359551796187392,0.01415926692328592,2
71,1.1288508415222167,0.11860153574713908,0.011888647079467773,0.003521067931293135,sag,42,7.065536343171586,"{'solver': 'sag', 'random_state': 42, 'alpha': 7.065536343171586}",-0.11888236246260937,-0.09987713015801433,-0.11351721531197594,-0.12817327878710574,-0.13869996478766808,-0.10537959097016597,-0.12020608516216716,-0.09406227161193038,-0.09428439794707666,-0.12287581565712043,-0.11359581128558341,0.01417987104952642,3
91,0.9954425573349,0.2608764943683397,0.012677145004272462,0.0057473653775025665,sag,42,7.49475056028014,"{'solver': 'sag', 'random_state': 42, 'alpha': 7.49475056028014}",-0.11890648858213637,-0.09994887509978732,-0.1134681267540529,-0.1282431716645308,-0.13853212384784017,-0.10528896405980702,-0.12010911210142458,-0.0941367067587639,-0.09447936681679427,-0.1228548968837843,-0.11359678325689218,0.014114092132871209,4
66,0.35971286296844485,0.09650635370860032,0.02209787368774414,0.014928738706521321,svd,42,7.0600335967984,"{'solver': 'svd', 'random_state': 42, 'alpha': 7.0600335967984}",-0.11862047067803345,-0.09982455356843875,-0.11363925634212595,-0.1280141588523044,-0.13884842531557195,-0.10555729393515095,-0.1202069538586757,-0.09409097352296672,-0.09415882666201719,-0.1230075710587284,-0.11359684837940136,0.0141972572579597,5
12,1.0011313199996947,0.20572616377130415,0.011911940574645997,0.0043940802313764855,sag,42,7.76988787893947,"{'solver': 'sag', 'random_state': 42, 'alpha': 7.76988787893947}",-0.11892028141102622,-0.0999997776832324,-0.11343945530639445,-0.1282860520284231,-0.13842990902797941,-0.10523539997646297,-0.1200537305959487,-0.09418928057694144,-0.09460605854353121,-0.12284017736016928,-0.11360001225101093,0.014071409356752912,6
39,0.8447568655014038,0.0516916778321276,0.008660221099853515,0.0009866276126510147,sag,42,7.819412596298149,"{'solver': 'sag', 'random_state': 42, 'alpha': 7.819412596298149}",-0.1189209633245375,-0.10000813023524174,-0.11343574150224606,-0.12829306679731026,-0.1384131172702564,-0.10522758930964268,-0.12004394139003616,-0.09419823171261596,-0.09462768127542268,-0.12283886813974244,-0.1136007330957052,0.014064179204044574,7
98,0.4421044588088989,0.043908778678033944,0.022708535194396973,0.0069752351854681415,svd,42,6.889448459229615,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.889448459229615}",-0.11860976385411431,-0.09979602405724626,-0.11366857138146043,-0.12798446881843406,-0.13892841033498313,-0.10560539932581205,-0.12025360062273996,-0.09406685181710676,-0.09408167474997892,-0.12302626100994958,-0.11360210259718254,0.01422547290295801,8
95,0.08777532577514649,0.041884638352980036,0.01410367488861084,0.0030454975668372667,cholesky,42,8.556780610305154,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 8.556780610305154}",-0.11873516545355607,-0.10009201508478414,-0.11346323484716213,-0.12828073687540595,-0.13825906190885576,-0.10523119990243042,-0.11989160344573271,-0.09435490528974018,-0.09484888580331019,-0.1229051557253198,-0.11360619643362975,0.01396650363180411,9
76,0.06897206306457519,0.00834778980445641,0.013055515289306641,0.0026230623122857327,cholesky,42,6.724366068034017,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 6.724366068034017}",-0.11860006488787583,-0.09976891195916372,-0.11369910961206466,-0.12795596268476878,-0.13900879661775864,-0.10565453163793437,-0.1203012533372245,-0.09404493176115918,-0.09400750576260927,-0.12304600675849464,-0.11360870750190535,0.014253210696844496,10
96,0.06475660800933838,0.00623792353867172,0.01534724235534668,0.0055694875569408855,cholesky,42,8.633819059529765,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 8.633819059529765}",-0.1187417622853308,-0.10010641958994565,-0.11345749317686298,-0.12829460598241452,-0.13823335977039986,-0.1052183152215395,-0.11987920946701515,-0.09437057778703038,-0.09488471508018984,-0.12290237517463176,-0.11360888335353603,0.013955341890160976,11
90,0.8765913724899292,0.042527492790842454,0.007819199562072754,0.0010743598659986918,sag,42,6.388698539269635,"{'solver': 'sag', 'random_state': 42, 'alpha': 6.388698539269635}",-0.11886238067077716,-0.09976652869229098,-0.11361627032253424,-0.1280695926971427,-0.138993264869918,-0.10554840608789653,-0.12038840167293803,-0.09395708973686184,-0.09398263006573573,-0.12293404450918322,-0.11361186093252784,0.01428972891859059,12
60,0.07330863475799561,0.045162994876631495,0.01359262466430664,0.008625242564360883,cholesky,42,6.647327618809405,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 6.647327618809405}",-0.118595781999368,-0.0997564380369164,-0.11371412471886133,-0.12794274486813748,-0.1390473586494485,-0.10567836951974888,-0.12032437574743174,-0.09403520573436122,-0.09397307982725277,-0.12305580663449185,-0.11361232857360182,0.014266305936025033,13
1,2.2461769342422486,0.21783369303646735,0.016215038299560548,0.009939847916104895,saga,42,6.641824872436218,"{'solver': 'saga', 'random_state': 42, 'alpha': 6.641824872436218}",-0.11910602725702825,-0.09987850603962486,-0.1135057381780219,-0.12824383509982887,-0.1387334519285683,-0.10535072378962011,-0.1203113417067592,-0.094008370624432,-0.09423513667595643,-0.12281340380999053,-0.11361865351098306,0.014218096915928048,14
24,0.05593075752258301,0.008704289718699524,0.010644292831420899,0.0032384416789000407,cholesky,42,6.4767424812406205,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 6.4767424812406205}",-0.11858689997504096,-0.09972924820907085,-0.1137491845162762,-0.12791369139962047,-0.13913522890242405,-0.10573331338414173,-0.12037767368020254,-0.09401486776142695,-0.09389732196126101,-0.12307889650410857,-0.11362163262935734,0.014295657396448733,15
7,1.0728001117706298,0.29111269963825637,0.013815951347351075,0.010209230769267299,sag,42,6.113561220610305,"{'solver': 'sag', 'random_state': 42, 'alpha': 6.113561220610305}",-0.11885200321464222,-0.0997245286973528,-0.1136647655503338,-0.1280270005385646,-0.13912905412340384,-0.10562671685317235,-0.12047292873283755,-0.093919013396046,-0.09386226364997213,-0.12296304829772797,-0.11362413230540533,0.014336589895674138,16
37,0.1799027919769287,0.02977360349140614,0.022011232376098634,0.006491889518780009,sparse_cg,42,7.109558314157079,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 7.109558314157079}",-0.119021350094375,-0.09995057059671378,-0.11346310941224656,-0.12811327135393066,-0.138713080125753,-0.10536165377790924,-0.12027732763407574,-0.09397985601071973,-0.09443786474679834,-0.12299031444697303,-0.11363083981994951,0.014176676488540617,17
65,2.1618393898010253,0.6081071926153785,0.010568499565124512,0.0024820514625494682,saga,42,6.0530310105052525,"{'solver': 'saga', 'random_state': 42, 'alpha': 6.0530310105052525}",-0.11909969992056922,-0.09978473949066274,-0.11359189320360596,-0.12815696707811747,-0.1389849359786349,-0.10549233960318904,-0.12047595796354865,-0.09391808454979149,-0.0939758292136369,-0.12285808352343078,-0.11363385305251872,0.014312958929352377,18
27,1.5313589811325072,0.06544974803611482,0.00798647403717041,0.0006899079583625527,saga,42,5.810910170085043,"{'solver': 'saga', 'random_state': 42, 'alpha': 5.810910170085043}",-0.11909560495159532,-0.09974786595566044,-0.11363299545374446,-0.1281235205075813,-0.13909974163278185,-0.10555525270098276,-0.12055158704175606,-0.09388562283676638,-0.09386978918701533,-0.12287862148714468,-0.11364406017550285,0.014353771846498503,19
31,0.2165611505508423,0.038524375728655066,0.020854949951171875,0.008989533786111002,lsqr,42,6.944475922961481,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 6.944475922961481}",-0.11873792806769536,-0.09990542712386999,-0.11320991217394825,-0.1283934535710324,-0.13885717298396502,-0.10589341822955445,-0.12028159916695401,-0.09407608330431838,-0.09438850484042055,-0.12278028315933436,-0.11365237826210928,0.014175376745546173,20
61,0.27831482887268066,0.02930974043571166,0.010334324836730958,0.0015820115803521324,svd,42,9.651827138569285,"{'solver': 'svd', 'random_state': 42, 'alpha': 9.651827138569285}",-0.11883244262745439,-0.10030066494294333,-0.11340556773218795,-0.12847785100813208,-0.1379276232024934,-0.10507593892087858,-0.11974311921166145,-0.09459209987809006,-0.09535795011353143,-0.1228832788400533,-0.11365965364774262,0.013813349110546571,21
15,1.01248300075531,0.10043489281579229,0.009246277809143066,0.0029206295948605594,sag,42,5.585297568784393,"{'solver': 'sag', 'random_state': 42, 'alpha': 5.585297568784393}",-0.11884789343225727,-0.09965008435239252,-0.11377576272271242,-0.12795413213113693,-0.13940755080669368,-0.10579499798855536,-0.12065825224678861,-0.09386375852263497,-0.09363840296694925,-0.12303249304342344,-0.11366233282135445,0.014428779742630243,22
36,0.06266827583312988,0.005572110278797474,0.01287062168121338,0.0027251625560017604,cholesky,42,9.761882066033017,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 9.761882066033017}",-0.11884253811986231,-0.10032202256445938,-0.11340235711700795,-0.12849760924526613,-0.13789799610128334,-0.10506333391151007,-0.1197311857042467,-0.09461746109235296,-0.09540897509223058,-0.12288296847821488,-0.11366664474264343,0.013798567658857992,23
99,0.18705472946166993,0.016676926965003887,0.01931183338165283,0.010981227985304298,lsqr,42,10.053527623811906,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.053527623811906}",-0.11906541962529234,-0.10050575438825834,-0.11306798138306692,-0.12857661666554027,-0.1376006493747016,-0.10495308795623268,-0.11968594571165982,-0.09461176147522447,-0.09578937469120823,-0.12288820737633842,-0.11367447986475232,0.013703058285685741,24
49,0.24880309104919435,0.0647834930598178,0.02542738914489746,0.009610851273137678,sparse_cg,42,6.26763811905953,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 6.26763811905953}",-0.11903047218679627,-0.09981953223792238,-0.1131628126163243,-0.12800932759692477,-0.13907477531644571,-0.10614909836326901,-0.12044345579163247,-0.09385045232313396,-0.09411478588497946,-0.12310120682063233,-0.11367559191380608,0.014277458340110587,25
53,0.2575817584991455,0.04052383869549273,0.029332733154296874,0.015790732103373332,lsqr,42,6.5042562131065536,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 6.5042562131065536}",-0.11873141521833415,-0.0998465852488535,-0.11355426552787769,-0.12832438675741067,-0.1391023987868882,-0.10564437637110771,-0.12041325993567104,-0.09412440840872086,-0.09421908065570815,-0.12281316674791011,-0.11367733436584822,0.014255257404159623,26
59,1.508244013786316,0.26884107276632174,0.011314487457275391,0.004853790769297494,saga,42,9.184093696848425,"{'solver': 'saga', 'random_state': 42, 'alpha': 9.184093696848425}",-0.11921612691841303,-0.10032818866319354,-0.11333298995968545,-0.12863800543678833,-0.13790543605204614,-0.10497096232884873,-0.11986068831958424,-0.094531614253214,-0.09538528302173642,-0.12276340931030905,-0.11369327042638186,0.013847620072408114,27
40,0.9588377237319946,0.04158430995577223,0.008025932312011718,0.0007484797360606154,sag,42,5.24963004002001,"{'solver': 'sag', 'random_state': 42, 'alpha': 5.24963004002001}",-0.11884858721049768,-0.09960519575310833,-0.11386274224034348,-0.12790795250511505,-0.139600930688273,-0.10591937898117602,-0.1207920909063138,-0.093835199580382,-0.09349854089950597,-0.12308655800275899,-0.11369571767674742,0.014489908271220429,28
89,0.11816637516021729,0.01994116188023922,0.012240338325500488,0.0028223482550675857,lsqr,42,10.455228109054527,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.455228109054527}",-0.11908696674735654,-0.10057460204862224,-0.11308273634225621,-0.1286422546919711,-0.13751702323061563,-0.10492173720298646,-0.11965118430606653,-0.09471204049426057,-0.09595629697797038,-0.12289186070626901,-0.11370367027483748,0.013654831860655811,29
86,1.3674017190933228,0.10395705430628539,0.01229236125946045,0.006894198677011435,saga,42,9.360181580790396,"{'solver': 'saga', 'random_state': 42, 'alpha': 9.360181580790396}",-0.11922893871261478,-0.10036099144277441,-0.11332909467135097,-0.12866880260788405,-0.13786151344343475,-0.10495484357873193,-0.11984032274514715,-0.09457357775169727,-0.09546874136874947,-0.12276782548273116,-0.11370546518051158,0.013824199689608456,30
51,1.919869327545166,0.5558443282283765,0.017818427085876463,0.010969880443019824,saga,42,9.365684327163581,"{'solver': 'saga', 'random_state': 42, 'alpha': 9.365684327163581}",-0.1192289988879746,-0.10036195263109673,-0.11332905657819431,-0.12866954913164702,-0.13786022457910146,-0.10495213949368924,-0.11983968098057687,-0.09457483238884717,-0.09547107731132107,-0.12276797089672054,-0.11370554828791687,0.013823635488294529,31
41,0.7330462694168091,0.033007028939164684,0.008307838439941406,0.0013061026058255375,sag,42,9.970986428214108,"{'solver': 'sag', 'random_state': 42, 'alpha': 9.970986428214108}",-0.11906854615272607,-0.10040771461340169,-0.11334462135762474,-0.12865184795725432,-0.13778803025556513,-0.10495987475311001,-0.11974701271083674,-0.09467580811404336,-0.09561227787457541,-0.12282406276241217,-0.11370797965515496,0.013764857415542462,32
55,0.18336701393127441,0.03331541188753487,0.020516729354858397,0.0076295655001915015,lsqr,42,5.948478829414707,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 5.948478829414707}",-0.11873525376634707,-0.09961883630767818,-0.11365616005268186,-0.12829319605722336,-0.13939447230055058,-0.10582079490610524,-0.12061751199400259,-0.09408769178313565,-0.09390746123868603,-0.1229883011007471,-0.11371196795071577,0.014385389552113978,33
64,1.00639910697937,0.13444098585577455,0.008013510704040527,0.0010730653420809892,sag,42,10.037019384692346,"{'solver': 'sag', 'random_state': 42, 'alpha': 10.037019384692346}",-0.1190776985557439,-0.10042046764691348,-0.11334354428115767,-0.12866568759026367,-0.13777185415785242,-0.10495164491803394,-0.11974055128248172,-0.09469159167871893,-0.0956413008048761,-0.12282409653979738,-0.11371284374558391,0.013756904875782966,34
4,1.2207752466201782,0.23565342159604685,0.02176988124847412,0.009390503017861582,sag,42,10.147074312156079,"{'solver': 'sag', 'random_state': 42, 'alpha': 10.147074312156079}",-0.11908933226880168,-0.10044097555596737,-0.11334391725911201,-0.12868235704739517,-0.13774692695640975,-0.10494384918833384,-0.11973136908862222,-0.09471804638726822,-0.09569249968487252,-0.12282707331109431,-0.11372163467478771,0.013742744094544958,35
32,1.5196721315383912,0.4759914546993982,0.01293332576751709,0.00717008212784948,saga,42,9.728865587793898,"{'solver': 'saga', 'random_state': 42, 'alpha': 9.728865587793898}",-0.11925539252517073,-0.10043176214612974,-0.11332641794894424,-0.12872645128208168,-0.13777217706356626,-0.10492245188472184,-0.11980302991630469,-0.09466155523818345,-0.09563261499544473,-0.12277493048901866,-0.1137306783489566,0.013776218961723149,36
14,0.29350545406341555,0.0344449632191773,0.01255180835723877,0.004808281732217542,svd,42,10.77438739869935,"{'solver': 'svd', 'random_state': 42, 'alpha': 10.77438739869935}",-0.11893691081551956,-0.10052078689346611,-0.11339124390861746,-0.12867830988178516,-0.137652050828369,-0.10496859279577046,-0.11964272522682486,-0.09486109664832418,-0.09587579706271747,-0.12289332073078425,-0.11374208347921785,0.013667194700150886,37
62,0.057559657096862796,0.0037788460794121446,0.011661386489868164,0.002754175182286341,cholesky,42,10.906453311655829,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 10.906453311655829}",-0.11894935246060633,-0.10054695196174525,-0.11339201293048608,-0.1287017025292438,-0.13762320471535017,-0.10495878166362871,-0.11963375744427009,-0.09489407647245635,-0.09593626069572476,-0.12289624353126319,-0.11375323444047747,0.013650634263107185,38
6,0.17257170677185057,0.03111376111172354,0.017677736282348634,0.004215540919449842,lsqr,42,10.911956058029014,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.911956058029014}",-0.11918225816970669,-0.10065460390625876,-0.1132468201142611,-0.12871741319546523,-0.13742887516432503,-0.1048918541531523,-0.11960030801330422,-0.09482897198656408,-0.09614686137186385,-0.12290010848076664,-0.1137598074555668,0.013602414381911468,39
