,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
23,1.4498116970062256,0.2266044845378588,0.17173073291778565,0.05100980217971594,42,59,19,7,37,"{'random_state': 42, 'n_estimators': 59, 'min_samples_split': 19, 'min_samples_leaf': 7, 'max_depth': 37}",-0.15155129623573635,-0.13998666476217297,-0.1536268034330401,-0.18193589482679878,-0.18203035898733327,-0.12936002358654514,-0.1563244071625199,-0.14098185959274892,-0.16202458154871913,-0.14592480879834743,-0.15437466989339618,0.016367120601021967,1
57,3.2581933736801147,0.35728711604128904,0.15148918628692626,0.059352846426220636,42,155,33,3,45,"{'random_state': 42, 'n_estimators': 155, 'min_samples_split': 33, 'min_samples_leaf': 3, 'max_depth': 45}",-0.14942729144032493,-0.13972644036405005,-0.1544666347656786,-0.1829505585388957,-0.1873102542329047,-0.1263872305798059,-0.15947273064648684,-0.1394190071400341,-0.16083118519496833,-0.15148113636257107,-0.15514724692657203,0.017937220999036788,2
27,0.7590218782424927,0.0775847471076232,0.1048888921737671,0.0627774696090112,42,33,29,3,167,"{'random_state': 42, 'n_estimators': 33, 'min_samples_split': 29, 'min_samples_leaf': 3, 'max_depth': 167}",-0.15105574443499123,-0.13977423060768934,-0.15986850269041353,-0.18045812953009097,-0.1880245610415512,-0.1252777770408861,-0.15537114927174278,-0.14170457048509433,-0.1567015613958192,-0.15398634911879572,-0.15522225756170743,0.017531591672203885,3
73,0.5170673847198486,0.08575119386865966,0.09831624031066895,0.039112955072254506,42,23,11,7,37,"{'random_state': 42, 'n_estimators': 23, 'min_samples_split': 11, 'min_samples_leaf': 7, 'max_depth': 37}",-0.15582041319310724,-0.14019832507309446,-0.15600167159728676,-0.18267874845478282,-0.18349973241938963,-0.12907901166858585,-0.1580406567695445,-0.1456559760240228,-0.16241099656173352,-0.14829357541884763,-0.15616791071803954,0.01629057005883062,4
32,3.5729532480239867,0.20527476974268544,0.15289955139160155,0.0682102391875983,42,159,25,11,61,"{'random_state': 42, 'n_estimators': 159, 'min_samples_split': 25, 'min_samples_leaf': 11, 'max_depth': 61}",-0.1540055338484891,-0.1430821336929156,-0.15558641723459804,-0.1842560229186358,-0.18845062456523723,-0.13188955517428588,-0.16159039574627934,-0.14366336739255825,-0.16415860282129502,-0.15052832204646502,-0.15772109754407593,0.016894096460476765,5
89,0.24622933864593505,0.06492341722258842,0.0774989128112793,0.05762843400908372,42,11,5,7,143,"{'random_state': 42, 'n_estimators': 11, 'min_samples_split': 5, 'min_samples_leaf': 7, 'max_depth': 143}",-0.16034974472816832,-0.14979694956081602,-0.15252933742348768,-0.18482986511191452,-0.18832999911740683,-0.13279166391252475,-0.15760779164196026,-0.15225004774542972,-0.16468677028504508,-0.15067432976235118,-0.15938464992891044,0.01578091178560767,6
22,1.9584062576293946,0.20844684031951594,0.17978599071502685,0.059689155737443184,42,89,43,5,155,"{'random_state': 42, 'n_estimators': 89, 'min_samples_split': 43, 'min_samples_leaf': 5, 'max_depth': 155}",-0.1550630193922643,-0.1443751017097242,-0.1597271884886349,-0.18895024572811045,-0.1948834602299954,-0.13224419003173715,-0.16471079272803055,-0.1456968856119193,-0.1664595005501804,-0.1559977739456118,-0.16081081584162085,0.018362686484652186,7
20,3.8618642330169677,0.39919060748442453,0.21734049320220947,0.09775414074306918,42,185,21,15,167,"{'random_state': 42, 'n_estimators': 185, 'min_samples_split': 21, 'min_samples_leaf': 15, 'max_depth': 167}",-0.15764261214400788,-0.14513498005655096,-0.15935713061583126,-0.18690183045797787,-0.19399834510085529,-0.13417059591739144,-0.16405247096620493,-0.14668791834720005,-0.1681361213648365,-0.15361089760236749,-0.16096929025732237,0.017506996734052527,8
69,2.0268218994140623,0.2800425812513524,0.11835978031158448,0.08659466315879318,42,91,23,15,167,"{'random_state': 42, 'n_estimators': 91, 'min_samples_split': 23, 'min_samples_leaf': 15, 'max_depth': 167}",-0.15840744367596488,-0.14502627990408712,-0.1601403752656149,-0.18826190548494437,-0.1943127805401956,-0.1352173883331637,-0.1632518014926239,-0.1469420227971682,-0.168337547087576,-0.15388404641719788,-0.16137815909985367,0.01756718424118242,9
48,1.8160403490066528,0.21992428065681377,0.16379590034484864,0.08910840111192693,42,85,17,15,159,"{'random_state': 42, 'n_estimators': 85, 'min_samples_split': 17, 'min_samples_leaf': 15, 'max_depth': 159}",-0.1587718594817031,-0.14567495140959544,-0.16108794881456953,-0.18839344976328434,-0.19466254518681123,-0.13590577368382312,-0.1630378957627654,-0.1462831963083558,-0.16776807747950412,-0.15401900060593865,-0.16156046984963504,0.01750786961077778,10
56,2.3747548341751097,0.14438136963171136,0.16681535243988038,0.09371251668538766,42,121,39,11,135,"{'random_state': 42, 'n_estimators': 121, 'min_samples_split': 39, 'min_samples_leaf': 11, 'max_depth': 135}",-0.1554057250853184,-0.14534067317474847,-0.16109776162359757,-0.1888721636704874,-0.19743302455282555,-0.13437813757213027,-0.16465792199960042,-0.14697768338491524,-0.16783572702189825,-0.15501927206192329,-0.16170180901474449,0.01837673256841393,11
16,3.514634370803833,0.35515739714699507,0.22858924865722657,0.10261290894586644,42,177,31,17,41,"{'random_state': 42, 'n_estimators': 177, 'min_samples_split': 31, 'min_samples_leaf': 17, 'max_depth': 41}",-0.15935519812623497,-0.14611847806269615,-0.16180359927584767,-0.18962261274818393,-0.19699714527409104,-0.1356531902585721,-0.16563133302494204,-0.14952886232024046,-0.17032755467936186,-0.1552702960306329,-0.1630308269800803,0.01792748303458677,12
