,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
63,0.03684220314025879,0.005616431203675721,0.006708359718322754,0.0010598183442522267,cholesky,42,5.602301150575287,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 5.602301150575287}",-0.11743004367159278,-0.09417248207909923,-0.10378525426253071,-0.1216128836042364,-0.13843426733474481,-0.09645774369408319,-0.11622822209248246,-0.09390210176335963,-0.09184353979263844,-0.12137675115462783,-0.10952432894493955,0.014919303703739487,1
57,0.2803536653518677,0.038600002396047176,0.00855426788330078,0.0021438246485254767,svd,42,5.537268634317159,"{'solver': 'svd', 'random_state': 42, 'alpha': 5.537268634317159}",-0.11742519742616675,-0.09416589565310284,-0.10379189999826913,-0.12160392421311218,-0.13847185392365882,-0.09646619165998109,-0.11623944988533916,-0.09390280342350221,-0.09181814340075746,-0.12137872006923252,-0.10952640796531221,0.014928888680159359,2
8,0.03638136386871338,0.0047370369853969386,0.0067223310470581055,0.00030464999252684835,cholesky,42,6.702851425712856,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 6.702851425712856}",-0.11752306622395729,-0.09430798008618275,-0.10372644809364959,-0.12178618869239136,-0.13788650693905277,-0.09636310586599264,-0.11609277897046581,-0.09393852147422646,-0.0922989640780024,-0.12137577849468897,-0.10952993389186101,0.014766002500042714,3
36,0.04945473670959473,0.006366558354418416,0.009191203117370605,0.0018794447158444396,cholesky,42,5.442221110555278,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 5.442221110555278}",-0.11741829974507331,-0.0941566216144064,-0.10380237288151564,-0.12159115359411841,-0.13852801014681965,-0.09647922246770552,-0.11625663231503397,-0.09390449535373811,-0.09178142047563771,-0.12138205197468997,-0.10953002805687387,0.01494301759968205,4
58,0.7948121309280396,0.06484001084009935,0.006438565254211426,0.0013201809745895772,sag,42,5.787393696848424,"{'solver': 'sag', 'random_state': 42, 'alpha': 5.787393696848424}",-0.1177967884947872,-0.09429845296438058,-0.1036490702774848,-0.12178240686321559,-0.13810477001858995,-0.09638526321491929,-0.11617895358591965,-0.09385113638756129,-0.09207920320488688,-0.1212807856631735,-0.10954068306749187,0.01485595399627759,5
3,0.045035600662231445,0.008490093281947848,0.008026719093322754,0.0013913203157137817,cholesky,42,6.99799899949975,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 6.99799899949975}",-0.11755028010848252,-0.09435036414044098,-0.10372477044566124,-0.1218379560859272,-0.13776347703549616,-0.0963504357565613,-0.11607079996767276,-0.09396135060464401,-0.09242707881978628,-0.12138407707943566,-0.1095420590044108,0.014727373698383514,6
34,0.03958690166473389,0.006612222128395652,0.007217955589294433,0.0005494067065909634,cholesky,42,7.053026513256628,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 7.053026513256628}",-0.11755541644250632,-0.09435848693042552,-0.10372499777079058,-0.12184779258120106,-0.13774148302256278,-0.09634856150453623,-0.11606725292535618,-0.09396612233704546,-0.09245116074127331,-0.12138595407005272,-0.10954472283257502,0.014720273337912945,7
1,0.20404953956604005,0.02782626132848534,0.008734345436096191,0.002828299381095211,svd,42,5.152076038019009,"{'solver': 'svd', 'random_state': 42, 'alpha': 5.152076038019009}",-0.11739879938135964,-0.09413112313218573,-0.10384032715193994,-0.12155476844022152,-0.13870897224708448,-0.09652438459707073,-0.11631516934015326,-0.09391485298071069,-0.09167252248524703,-0.12139578555678773,-0.10954567053127609,0.01498707627551411,8
24,0.26904385089874266,0.033213006785627816,0.011095499992370606,0.005167522997940801,svd,42,5.102051025512757,"{'solver': 'svd', 'random_state': 42, 'alpha': 5.102051025512757}",-0.11739570597233898,-0.09412719085661746,-0.10384784618233327,-0.12154892587054718,-0.13874171374145647,-0.09653304835508351,-0.11632625380676334,-0.09391747631935797,-0.09165428328271846,-0.12139873144928567,-0.10954911758365023,0.014994821185494188,9
15,0.03403158187866211,0.0018508832407095601,0.006203341484069824,0.00039900180926514303,cholesky,42,5.092046023011505,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 5.092046023011505}",-0.11739509776799428,-0.09412642187772685,-0.10384938635309675,-0.12154777362660442,-0.13874831912584604,-0.09653481381348443,-0.11632850769566694,-0.09391803196242587,-0.09165065585717849,-0.12139934210427854,-0.10954983501843026,0.014996375629989137,10
