,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
88,2.9121636867523195,0.21990358975460064,0.27302048206329343,0.08449435110267009,42,86,2,2,49,"{'random_state': 42, 'n_estimators': 86, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 49}",-0.14344349325753997,-0.13261200281381955,-0.14472501966696116,-0.17422136355764506,-0.17087384914704434,-0.11485255048957277,-0.14255559528256942,-0.12782286968531276,-0.1486607496908346,-0.14135060876116642,-0.1441118102352466,0.017052955538395,1
62,2.1858119487762453,0.2813213822927413,0.16634733676910402,0.0956895735252425,42,55,9,1,98,"{'random_state': 42, 'n_estimators': 55, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_depth': 98}",-0.14249312610652223,-0.13358520056510062,-0.1448383708087834,-0.17604914380026263,-0.17086899212357934,-0.1172953802643935,-0.14384505131592815,-0.12935235069932274,-0.1444933528170675,-0.1413175346851135,-0.14441385031860737,0.016715180491215644,2
41,2.9955631494522095,0.2128400412324084,0.20341525077819825,0.097172292857461,42,93,9,1,37,"{'random_state': 42, 'n_estimators': 93, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_depth': 37}",-0.14384384135725797,-0.1329656447182687,-0.14188231670804016,-0.17556130260372668,-0.17263929444054688,-0.11489076167777701,-0.1467286727849542,-0.12751604669187336,-0.14823139314475653,-0.1417038421239152,-0.14459631162511166,0.017574772412618477,3
43,3.54442298412323,0.4533851319101852,0.24638867378234863,0.12955537668479578,42,115,9,2,17,"{'random_state': 42, 'n_estimators': 115, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_depth': 17}",-0.14247161642615946,-0.13308524127348367,-0.1453297665077962,-0.17542486989315617,-0.17195073806399985,-0.11513192209166863,-0.1458980951689344,-0.1298379668716719,-0.14955434340208787,-0.14195760654883988,-0.1450642166247798,0.017184966687803022,4
89,3.360987734794617,0.21551712234324497,0.18583455085754394,0.08565602901508021,42,111,12,1,167,"{'random_state': 42, 'n_estimators': 111, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_depth': 167}",-0.14271195042640494,-0.13345155122010677,-0.14366098601155955,-0.17622927808499642,-0.17497580924783424,-0.11460462629119934,-0.14694222733692905,-0.12864505446955168,-0.14816208717462492,-0.14220558019193022,-0.1451589150455137,0.017963579874244212,5
85,2.2371987104415894,0.28746421720360926,0.23758277893066407,0.0906605872988819,42,61,14,1,139,"{'random_state': 42, 'n_estimators': 61, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_depth': 139}",-0.1416414607481607,-0.13397034249996392,-0.14598754635948852,-0.17492819553407266,-0.17589491743936989,-0.11667290700118262,-0.14471331657436007,-0.1297675229796811,-0.14898903016578413,-0.1417458632419791,-0.14543111025440428,0.017444996813732,6
96,1.7442911386489868,0.24023903042923853,0.17703742980957032,0.07088494049329297,42,61,15,1,98,"{'random_state': 42, 'n_estimators': 61, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_depth': 98}",-0.14282432781898202,-0.13491768035534296,-0.14570261317735303,-0.1752668196610328,-0.17724754858497546,-0.11678690147006134,-0.14470127161232318,-0.12977335894515674,-0.14772406496229432,-0.1426257267993932,-0.1457570313386915,0.017601450650619955,7
49,1.986557126045227,0.13396261505031987,0.15689353942871093,0.05748112919966089,42,64,3,3,25,"{'random_state': 42, 'n_estimators': 64, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_depth': 25}",-0.14416934581335755,-0.13384078380096498,-0.14788699275134695,-0.1748448266345379,-0.17321857155600026,-0.11839528514799519,-0.14311200610948802,-0.1308356067121738,-0.1523652447394146,-0.14083213047428378,-0.14595007937395632,0.016718705530015355,8
13,2.9180021047592164,0.22603013595151733,0.2449176788330078,0.11078527517547815,42,99,12,2,13,"{'random_state': 42, 'n_estimators': 99, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_depth': 13}",-0.1441746437644937,-0.1329100760125979,-0.14437941020739875,-0.17572778211446527,-0.17493635590604356,-0.11734799964353507,-0.14682190327530467,-0.12925152202709234,-0.1512161505640547,-0.14306424413031202,-0.1459830087645298,0.01742499995772441,9
66,2.3400195121765135,0.1338959609641621,0.1711203098297119,0.09962074030620247,42,78,14,2,49,"{'random_state': 42, 'n_estimators': 78, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_depth': 49}",-0.1432156335519287,-0.1345147254215963,-0.14514885725184648,-0.17534120996400765,-0.17490263367731243,-0.11897952025065893,-0.1454672773241286,-0.12964679640141508,-0.15180998730319073,-0.14259034547772806,-0.14616169866238127,0.01696936983919597,10
