,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
79,1.3821125745773315,0.051518234603035964,0.1209937572479248,0.013971513415033887,rbf,0.0014916458229114558,0.021777888944472235,8,"{'kernel': 'rbf', 'gamma': 0.0014916458229114558, 'epsilon': 0.021777888944472235, 'C': 8}",-0.11318321148323125,-0.09491813108888826,-0.10049184416403055,-0.17146295088161823,-0.13616664041446036,-0.09250781604228644,-0.11418654523267875,-0.09634085566495354,-0.15332763889976425,-0.12153510974089948,-0.11941207436128112,0.025347456539774153,1
60,1.3302814483642578,0.06579350799536146,0.14040331840515136,0.012246089488433518,rbf,0.0015114557278639322,0.01988544272136068,5,"{'kernel': 'rbf', 'gamma': 0.0015114557278639322, 'epsilon': 0.01988544272136068, 'C': 5}",-0.11228680446648287,-0.09694462352588254,-0.101001511136678,-0.17127427436530707,-0.1365954446412479,-0.09290146312827348,-0.11403993689396603,-0.09602738470208208,-0.152241198875064,-0.12142545760510245,-0.11947380993400862,0.024979479087420788,2
52,1.0546236753463745,0.0551089069068536,0.10037486553192139,0.00914409087509034,rbf,0.0019769884942471235,0.03859529764882441,5,"{'kernel': 'rbf', 'gamma': 0.0019769884942471235, 'epsilon': 0.03859529764882441, 'C': 5}",-0.11347864091519981,-0.09740072805803227,-0.10165799154159862,-0.17207243153881566,-0.13695320054580556,-0.09452027118341583,-0.11585949315193426,-0.09549864112041027,-0.14691929034108414,-0.12275099880721346,-0.119711168720351,0.024262507171178265,3
9,1.3790261507034303,0.06264355624424138,0.1378368616104126,0.016619067635073474,rbf,0.0012737368684342173,0.018344172086043022,6,"{'kernel': 'rbf', 'gamma': 0.0012737368684342173, 'epsilon': 0.018344172086043022, 'C': 6}",-0.11229860535580116,-0.09653014965244543,-0.10078701490293046,-0.17072451529186855,-0.13652806766180156,-0.09337380135187914,-0.11353677777951963,-0.09576934354841388,-0.15726516684782035,-0.12122983450422804,-0.11980432768967082,0.02559904745872255,4
24,1.1411726474761963,0.06397485993575135,0.10876190662384033,0.008834845823794438,rbf,0.0014817408704352177,0.03976588294147073,5,"{'kernel': 'rbf', 'gamma': 0.0014817408704352177, 'epsilon': 0.03976588294147073, 'C': 5}",-0.11312279157786602,-0.09808662870688044,-0.10118736946592612,-0.17150685090730378,-0.13617003196095712,-0.09357018877834385,-0.11507303556855591,-0.09486958712567606,-0.15420968283393638,-0.12049554727749912,-0.11982917142029448,0.02514047776465306,5
88,1.576664423942566,0.04908999517672073,0.14068748950958251,0.011650614379861313,rbf,0.002274137068534267,0.01407153576788394,7,"{'kernel': 'rbf', 'gamma': 0.002274137068534267, 'epsilon': 0.01407153576788394, 'C': 7}",-0.1125683605644388,-0.0940833997921914,-0.101243293736701,-0.17665763523410624,-0.13806428347486444,-0.09534798128874487,-0.1172256180858343,-0.09801638356328442,-0.1411027701405897,-0.12544792487868603,-0.1199757650759441,0.02487733699899938,6
81,1.4104519844055177,0.08199957889517256,0.1423396348953247,0.015761758269663882,rbf,0.0012044022011005503,0.013232616308154078,6,"{'kernel': 'rbf', 'gamma': 0.0012044022011005503, 'epsilon': 0.013232616308154078, 'C': 6}",-0.11179861526757458,-0.09630660520090778,-0.10099798120947044,-0.1706786830742382,-0.13661435462739258,-0.09400344806497694,-0.1129745783662923,-0.09658300230896945,-0.1591330008185955,-0.12077695807520024,-0.11998672270136179,0.025767438330439565,7
95,1.5313907146453858,0.05998261849781075,0.13767468929290771,0.02639126234296906,rbf,0.001660030015007504,0.013700850425212605,10,"{'kernel': 'rbf', 'gamma': 0.001660030015007504, 'epsilon': 0.013700850425212605, 'C': 10}",-0.11242230162724386,-0.09322833146781438,-0.10065359969512581,-0.17455354920247507,-0.136620050213079,-0.09461646225032272,-0.11561809207954918,-0.09755621870432257,-0.1518181717445784,-0.12356303997846413,-0.12006498169629751,0.02567691620592735,8
34,1.4706237077713014,0.1122960090390514,0.13047189712524415,0.013088225383203986,rbf,0.0009468734367183593,0.019943971985992997,10,"{'kernel': 'rbf', 'gamma': 0.0009468734367183593, 'epsilon': 0.019943971985992997, 'C': 10}",-0.11276397536986167,-0.09544867961763111,-0.10008154459816453,-0.16999231274264362,-0.13581797401419546,-0.0931147494549933,-0.11371734211955958,-0.09471580229488828,-0.1657049998241627,-0.12084782252373487,-0.12022052025598351,0.027003834073071446,9
90,1.1281960248947143,0.05340498919454595,0.10318436622619628,0.010452087780019138,rbf,0.0010607803901950977,0.039219609804902446,10,"{'kernel': 'rbf', 'gamma': 0.0010607803901950977, 'epsilon': 0.039219609804902446, 'C': 10}",-0.11280492792490866,-0.0960027740656469,-0.10088663939420849,-0.1709435392251984,-0.13525812391844744,-0.09398721585513915,-0.11431493111177125,-0.09391990438169105,-0.16432511384282705,-0.12006956942544646,-0.1202512739145285,0.026784802610121426,10
