,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
46,0.37876594066619873,0.10309542356204512,0.015808653831481934,0.00402421816234603,42,0.7596203101550775,0.000463151575787894,"{'random_state': 42, 'l1_ratio': 0.7596203101550775, 'alpha': 0.000463151575787894}",-0.10963553535608572,-0.10009784116604117,-0.10716138064616663,-0.15549188239263417,-0.1412850175384678,-0.11013180935298271,-0.11733379383051151,-0.09606045349278354,-0.1776694835284827,-0.1235654703820871,-0.12384326676862431,0.02499888103855809,1
70,0.3957639217376709,0.059197363078607984,0.01444852352142334,0.0046820489500335105,42,0.7451275637818908,0.0004572086043021511,"{'random_state': 42, 'l1_ratio': 0.7451275637818908, 'alpha': 0.0004572086043021511}",-0.10972660404875437,-0.09999439234358845,-0.10708087244104902,-0.15557945128332534,-0.14116672546908607,-0.11045612344238218,-0.1172429031528998,-0.09601895430527449,-0.17764595071833658,-0.1235669338452506,-0.12384789110499468,0.0249961840823077,2
18,0.41217679977416993,0.13501958221823626,0.015405702590942382,0.004650180214683715,42,0.9015492746373186,0.0005072286143071536,"{'random_state': 42, 'l1_ratio': 0.9015492746373186, 'alpha': 0.0005072286143071536}",-0.10901741436857089,-0.1016084078868504,-0.10751241763908895,-0.15515630304337852,-0.14203664042035083,-0.10774771160349028,-0.11740236336967129,-0.09671580485963933,-0.17766723233802137,-0.12369956510033049,-0.12385638606293922,0.02495172556891778,3
48,0.3405407190322876,0.08471052065722419,0.01462857723236084,0.005058668612653799,42,0.8780610305152575,0.0005404102051025513,"{'random_state': 42, 'l1_ratio': 0.8780610305152575, 'alpha': 0.0005404102051025513}",-0.10898126223343728,-0.10201041786051777,-0.10767884462418469,-0.1548686255030016,-0.14221637169768242,-0.10692122849420208,-0.11745366147436546,-0.09705377420876315,-0.17758291426412515,-0.12389389295990202,-0.12386609933201817,0.024883310254721874,4
57,0.36165480613708495,0.06585983000789587,0.013303327560424804,0.0025335531137585087,42,0.9655172586293146,0.0004819709854927464,"{'random_state': 42, 'l1_ratio': 0.9655172586293146, 'alpha': 0.0004819709854927464}",-0.10895231347826184,-0.10159247869979715,-0.10738518151579629,-0.1554949506889414,-0.14203690668829497,-0.10815200071253206,-0.11729341021038113,-0.0965259773433382,-0.1777054728972779,-0.12357779723692955,-0.12387164894715505,0.025014185333218416,5
16,0.3757844209671021,0.11832407760125754,0.022357845306396486,0.01672924321779913,42,0.8220890445222611,0.0006028114057028515,"{'random_state': 42, 'l1_ratio': 0.8220890445222611, 'alpha': 0.0006028114057028515}",-0.10894820133766824,-0.10256986670978195,-0.1080753034985638,-0.15443068821654707,-0.14244941578633516,-0.1056567983708665,-0.11760336594636976,-0.09756343211453197,-0.1774501251979117,-0.12420897804232818,-0.12389561752209041,0.024776891725808225,6
60,0.36254928112030027,0.06534029651890783,0.01649003028869629,0.0035132738677001243,42,0.830584792396198,0.0006062781390695348,"{'random_state': 42, 'l1_ratio': 0.830584792396198, 'alpha': 0.0006062781390695348}",-0.1089197916850455,-0.10271194431047577,-0.10809531840455568,-0.15444743438717107,-0.1425216864600062,-0.1054887982592535,-0.1176126830060122,-0.09762308171532537,-0.17744647559092405,-0.12425366964674363,-0.12391208834655128,0.024777750236566153,7
45,0.3510094404220581,0.08245152079293634,0.01252729892730713,0.004028438590212217,42,0.8210895447723862,0.0006295547773886944,"{'random_state': 42, 'l1_ratio': 0.8210895447723862, 'alpha': 0.0006295547773886944}",-0.10890927345331426,-0.10297766997106325,-0.10822756221155228,-0.15433950179506187,-0.14267183161584435,-0.10501746300093537,-0.11767947626167859,-0.09781086300026297,-0.17747927827853677,-0.12440260236203123,-0.1239515521950281,0.024766689920943007,8
61,0.29594461917877196,0.05902084173824903,0.011294984817504882,0.0031315380754389738,42,0.6736633316658328,0.0007147373686843422,"{'random_state': 42, 'l1_ratio': 0.6736633316658328, 'alpha': 0.0007147373686843422}",-0.10911968855172953,-0.10271362947785306,-0.10864768118802524,-0.15380337348542963,-0.1424727369762176,-0.10477495290205141,-0.11793669968231828,-0.0980719652029285,-0.17734498425885048,-0.12465107311758368,-0.12395367848429872,0.024626061061941807,9
98,0.3414966821670532,0.07532554916871377,0.01509718894958496,0.00531247293948056,42,0.5987008504252126,0.0006047923961980991,"{'random_state': 42, 'l1_ratio': 0.5987008504252126, 'alpha': 0.0006047923961980991}",-0.10970686639105187,-0.10088051463923389,-0.10794165030157228,-0.1543609706552405,-0.1417322019311461,-0.10755593574030994,-0.1177788518817854,-0.09720861724641627,-0.17735358743997523,-0.125075852006672,-0.12395950482334035,0.024713415114060725,10
