,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
21,5.669456195831299,0.16773098381045207,0.013550901412963867,0.0005607696535699506,0.1701680340170085,42,466,7,3,59,0.028111205602801403,"{'subsample': 0.1701680340170085, 'random_state': 42, 'n_estimators': 466, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 59, 'learning_rate': 0.028111205602801403}",-0.11951503608403126,-0.10334987830181804,-0.1214083001196218,-0.16153734829388236,-0.15225162834327127,-0.11051716793951963,-0.11847109147958682,-0.10402249374419327,-0.1390385406690641,-0.1371340521009527,-0.12672455370759414,0.01896404968280451,1
69,3.484958028793335,0.13622291185459354,0.012473559379577637,0.0006523099946790786,0.12565022511255627,42,431,3,3,45,0.028611405702851426,"{'subsample': 0.12565022511255627, 'random_state': 42, 'n_estimators': 431, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_depth': 45, 'learning_rate': 0.028611405702851426}",-0.12492267636717899,-0.11440657293612039,-0.11989054148221724,-0.16092170419056573,-0.1539705365728312,-0.1053568992910263,-0.1235186047243337,-0.10472706314774656,-0.14692156851026814,-0.12837674152177653,-0.12830129087440645,0.018574187208169054,2
53,10.85368733406067,0.20997499899767227,0.012663006782531738,0.0005000889258319857,0.4547818909454727,42,269,4,3,61,0.03461380690345173,"{'subsample': 0.4547818909454727, 'random_state': 42, 'n_estimators': 269, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_depth': 61, 'learning_rate': 0.03461380690345173}",-0.12020647773409168,-0.11622441815513108,-0.12692319309349875,-0.17348550888314704,-0.15727275937774127,-0.10949365318165226,-0.12221648265091578,-0.11403684544061482,-0.11850532080920367,-0.1296460044008521,-0.12880106637268485,0.019451821536763593,3
56,1.2106903791427612,0.018487415761497306,0.011743831634521484,0.000871677072415241,0.04561820910455228,42,459,2,2,74,0.024609804902451227,"{'subsample': 0.04561820910455228, 'random_state': 42, 'n_estimators': 459, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 74, 'learning_rate': 0.024609804902451227}",-0.11948201886074598,-0.12282308686801548,-0.11987035848808641,-0.16899789283457364,-0.1487026168539654,-0.10754914622853022,-0.1266782657273379,-0.11319789039188027,-0.14779684226241538,-0.1278489165138229,-0.13029470350293737,0.018036743229567494,4
91,31.07785234451294,0.7527407788103072,0.02057321071624756,0.0009429865504434325,0.521308504252126,42,411,5,2,64,0.0641256128064032,"{'subsample': 0.521308504252126, 'random_state': 42, 'n_estimators': 411, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 64, 'learning_rate': 0.0641256128064032}",-0.13131674967153345,-0.13066988970608162,-0.12879369255209025,-0.16507183388717941,-0.15784523387474875,-0.10961648906390403,-0.12465172163814464,-0.11651796837035085,-0.12081713677667641,-0.13718944592011262,-0.1322490161460822,0.016493385010566644,5
6,2.5020107507705687,0.04616408325252711,0.007738757133483887,0.00026602402853418653,0.517807103551776,42,62,7,1,62,0.08263301650825414,"{'subsample': 0.517807103551776, 'random_state': 42, 'n_estimators': 62, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_depth': 62, 'learning_rate': 0.08263301650825414}",-0.1290574123676945,-0.12857753381577033,-0.12564166494508058,-0.16821788217206626,-0.16467006878720983,-0.10647020623420306,-0.13251383362650282,-0.11944202413085293,-0.12345640446315953,-0.14124285476495693,-0.1339289885307497,0.01835979160843828,6
1,39.44202902317047,1.3148873894195081,0.023709750175476073,0.0005501543243316368,0.7173869434717359,42,310,2,1,67,0.09613841920960481,"{'subsample': 0.7173869434717359, 'random_state': 42, 'n_estimators': 310, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 67, 'learning_rate': 0.09613841920960481}",-0.1303079244833187,-0.13480246171671526,-0.13715001798279033,-0.1758819193420953,-0.1672628294841534,-0.11027055677357486,-0.13300968757590237,-0.1250779137584147,-0.14144405499016566,-0.14546148920433158,-0.14006688553114624,0.018295049820162453,7
64,40.27615442276001,0.9689027219749196,0.023736119270324707,0.0011255242921602575,0.8474389694847424,42,458,5,1,50,0.03461380690345173,"{'subsample': 0.8474389694847424, 'random_state': 42, 'n_estimators': 458, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 50, 'learning_rate': 0.03461380690345173}",-0.13797499388131992,-0.13560916480431454,-0.13757870777273867,-0.17895525139165996,-0.16989460474171728,-0.10477951764120036,-0.13994408063697739,-0.13112475996750297,-0.1406897759248144,-0.13569055253807508,-0.14122414093003208,0.01940040992216647,8
44,24.99681625366211,0.418847823135801,0.012888908386230469,0.0004192549598466217,0.7889155577788894,42,200,7,2,52,0.21168464232116058,"{'subsample': 0.7889155577788894, 'random_state': 42, 'n_estimators': 200, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 52, 'learning_rate': 0.21168464232116058}",-0.1377130628852497,-0.13810509578902472,-0.14333400739785757,-0.18264164012258,-0.16984747740148423,-0.11817200894363632,-0.14047705124739854,-0.12962942027277582,-0.1445521412144493,-0.14494768899456448,-0.14494195942690205,0.017647457068428046,9
99,7.395468354225159,0.8081000109429385,0.010840439796447754,0.0012909245352125394,0.40376148074037016,42,139,2,1,46,0.1686674337168584,"{'subsample': 0.40376148074037016, 'random_state': 42, 'n_estimators': 139, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 46, 'learning_rate': 0.1686674337168584}",-0.14726809898216336,-0.13057490394163856,-0.14669241461943275,-0.18342994824238243,-0.1724312181094068,-0.1361462684625994,-0.1383780950863425,-0.1240378700523474,-0.12540395232634752,-0.15437542233317816,-0.14587381921558387,0.018631536953000932,10
