,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lambda_2,param_lambda_1,param_alpha_2,param_alpha_1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
12,0.4779584646224976,0.04159546461582873,0.00959761142730713,0.0010429889041319977,1.8914457228614306e-07,3.200250125062531e-06,3.690545272636318e-06,6.4441220610305145e-06,"{'lambda_2': 1.8914457228614306e-07, 'lambda_1': 3.200250125062531e-06, 'alpha_2': 3.690545272636318e-06, 'alpha_1': 6.4441220610305145e-06}",-0.11746775351042377,-0.10358093450129843,-0.11437869775131443,-0.15412324828557866,-0.14125760788760613,-0.10944261928843839,-0.124731445573369,-0.102352151551209,-0.18179757113657086,-0.12828643242596527,-0.1277418461911774,0.023785317625782103,1
38,0.4858652830123901,0.08113596403189874,0.011052727699279785,0.004483259202386784,5.259129564782391e-07,2.6752876438219106e-06,5.280290145072536e-06,5.0326663331665824e-06,"{'lambda_2': 5.259129564782391e-07, 'lambda_1': 2.6752876438219106e-06, 'alpha_2': 5.280290145072536e-06, 'alpha_1': 5.0326663331665824e-06}",-0.11746775518208181,-0.10358092439338647,-0.1143787044244111,-0.15412324363786808,-0.14125761502977593,-0.10944263338337484,-0.12473145370769412,-0.1023521514002075,-0.1817975774098958,-0.12828644124234034,-0.1277418499811036,0.02378531837043164,2
88,0.4916545391082764,0.03328454748733045,0.012264251708984375,0.0037224572112913397,5.358179089544771e-07,4.126363181590795e-06,5.181240620310155e-06,1.1004002001000498e-06,"{'lambda_2': 5.358179089544771e-07, 'lambda_1': 4.126363181590795e-06, 'alpha_2': 5.181240620310155e-06, 'alpha_1': 1.1004002001000498e-06}",-0.11746775522986809,-0.10358092410933421,-0.1143787046147592,-0.15412324349936454,-0.14125761524355146,-0.10944263378853099,-0.12473145394222081,-0.10235215139592278,-0.1817975775938906,-0.12828644150257232,-0.1277418500920015,0.023785318392042447,3
21,0.48631601333618163,0.03523264853962797,0.01047205924987793,0.002431363368657368,5.160080040020009e-07,9.281890945472737e-06,8.131565782891445e-07,2.9922461230615306e-06,"{'lambda_2': 5.160080040020009e-07, 'lambda_1': 9.281890945472737e-06, 'alpha_2': 8.131565782891445e-07, 'alpha_1': 2.9922461230615306e-06}",-0.11746775572714693,-0.10358092150512946,-0.11437870670024582,-0.1541232420116296,-0.14125761802369083,-0.10944263876002097,-0.12473145652679853,-0.102352151350959,-0.18179757912828035,-0.12828644490377186,-0.12774185146376735,0.023785318457002366,4
93,0.4964363813400269,0.05446561686381124,0.0107696533203125,0.004237800146237003,7.339169584792396e-07,1.531265632816408e-06,6.904702351175587e-06,2.774337168584292e-06,"{'lambda_2': 7.339169584792396e-07, 'lambda_1': 1.531265632816408e-06, 'alpha_2': 6.904702351175587e-06, 'alpha_1': 2.774337168584292e-06}",-0.11746775612355434,-0.10358091863936454,-0.11437870816731699,-0.1541232410359994,-0.14125761895260228,-0.10944264120257208,-0.12473145826385365,-0.10235215131518138,-0.18179758099414944,-0.12828644608913195,-0.1277418520783726,0.023785318813808447,5
28,0.4672795295715332,0.03769966860681842,0.01025245189666748,0.0026416850035059472,7.141070535267634e-07,8.514257128564282e-06,5.111905952976488e-06,2.5811905952976485e-06,"{'lambda_2': 7.141070535267634e-07, 'lambda_1': 8.514257128564282e-06, 'alpha_2': 5.111905952976488e-06, 'alpha_1': 2.5811905952976485e-06}",-0.11746775620521517,-0.10358091828437484,-0.11437870852318768,-0.15412324076152095,-0.14125761953104315,-0.1094426421405345,-0.12473145871776797,-0.10235215130787641,-0.18179758120887368,-0.1282864467843696,-0.1277418523464764,0.02378531880203659,6
81,0.4994539737701416,0.029834644917483517,0.010382533073425293,0.0021012081461843977,7.289644822411205e-07,8.973486743371685e-07,4.933616808404201e-06,2.5564282141070534e-06,"{'lambda_2': 7.289644822411205e-07, 'lambda_1': 8.973486743371685e-07, 'alpha_2': 4.933616808404201e-06, 'alpha_1': 2.5564282141070534e-06}",-0.11746775640169274,-0.10358091715245032,-0.11437870932889983,-0.15412324021793278,-0.14125762045636966,-0.10944264393507,-0.12473145969723816,-0.10235215128999209,-0.18179758186490064,-0.1282864479350549,-0.1277418528279601,0.023785318858728463,7
72,0.5002306461334228,0.033172078782553495,0.009697389602661134,0.001205702946142871,8.280140070035017e-07,1.6501250625312656e-06,4.121410705352676e-06,7.637668834417209e-06,"{'lambda_2': 8.280140070035017e-07, 'lambda_1': 1.6501250625312656e-06, 'alpha_2': 4.121410705352676e-06, 'alpha_1': 7.637668834417209e-06}",-0.11746775708777481,-0.10358091313146044,-0.11437871210060224,-0.15412323828041571,-0.14125762359391064,-0.10944264997188886,-0.12473146308789781,-0.10235215122799265,-0.18179758432809814,-0.12828645180088435,-0.12774185446109257,0.02378531911312254,8
9,0.46327967643737794,0.025891238373596585,0.010293698310852051,0.0016609389970303724,9.072536268134067e-07,3.977788894447223e-06,2.442521260630315e-06,1.4025012506253125e-06,"{'lambda_2': 9.072536268134067e-07, 'lambda_1': 3.977788894447223e-06, 'alpha_2': 2.442521260630315e-06, 'alpha_1': 1.4025012506253125e-06}",-0.11746775775484962,-0.10358090928543782,-0.11437871480950074,-0.15412323637424943,-0.14125762675042247,-0.10944265595481349,-0.12473146641071059,-0.10235215116775258,-0.18179758668200707,-0.1282864556810174,-0.12774185608707614,0.02378531933866117,9
31,0.47603046894073486,0.03241690346421914,0.010024499893188477,0.003068938184151556,1.0409704852426212e-06,6.033066533266633e-06,1.442121060530265e-06,2.2790895447723857e-06,"{'lambda_2': 1.0409704852426212e-06, 'lambda_1': 6.033066533266633e-06, 'alpha_2': 1.442121060530265e-06, 'alpha_1': 2.2790895447723857e-06}",-0.11746775864387049,-0.10358090406297793,-0.11437871839632618,-0.15412323386219948,-0.14125763079803913,-0.10944266374605936,-0.1247314707993167,-0.10235215108746261,-0.18179758989302885,-0.1282864606655276,-0.12774185819548084,0.023785319675390135,10
24,0.4741902589797974,0.02857462926941918,0.009823465347290039,0.0012352312385614191,1.5065032516258129e-06,2.4375687843921958e-06,6.429264632316158e-06,5.453626813406703e-06,"{'lambda_2': 1.5065032516258129e-06, 'lambda_1': 2.4375687843921958e-06, 'alpha_2': 6.429264632316158e-06, 'alpha_1': 5.453626813406703e-06}",-0.11746776057223886,-0.10358089214379124,-0.11437872602974375,-0.1541232285700021,-0.14125763861418403,-0.10944267950638364,-0.1247314800765752,-0.10235215091338112,-0.1817975973409038,-0.12828647033474144,-0.12774186241019453,0.023785320634565968,11
82,0.5126244783401489,0.10886366006088972,0.00876622200012207,0.0021257749414939275,1.5956478239119559e-06,5.428864432216107e-06,7.36528264132066e-06,7.211755877938969e-06,"{'lambda_2': 1.5956478239119559e-06, 'lambda_1': 5.428864432216107e-06, 'alpha_2': 7.36528264132066e-06, 'alpha_1': 7.211755877938969e-06}",-0.11746776090535088,-0.10358089006761248,-0.11437872734073828,-0.15412322765275863,-0.1412576399385777,-0.10944268218257062,-0.12473148167185164,-0.10235215088337413,-0.18179759865705544,-0.12828647196897122,-0.1277418631268861,0.023785320810919067,12
79,0.5025269508361816,0.046134967306005636,0.011262273788452149,0.0033403008515431945,1.600600300150075e-06,2.016608304152076e-06,3.4726363181590794e-06,7.939769884942471e-06,"{'lambda_2': 1.600600300150075e-06, 'lambda_1': 2.016608304152076e-06, 'alpha_2': 3.4726363181590794e-06, 'alpha_1': 7.939769884942471e-06}",-0.11746776156448033,-0.10358088648385091,-0.11437873007957781,-0.15412322573280143,-0.1412576434032379,-0.10944268854658033,-0.12473148504407357,-0.10235215082369839,-0.18179760076431203,-0.12828647622802378,-0.12774186486706365,0.02378532093926871,13
7,0.4771393299102783,0.05512574801434059,0.009963750839233398,0.0009864211767486536,1.778889444722361e-06,1.957178589294647e-06,8.959979989994997e-06,8.68264132066033e-06,"{'lambda_2': 1.778889444722361e-06, 'lambda_1': 1.957178589294647e-06, 'alpha_2': 8.959979989994997e-06, 'alpha_1': 8.68264132066033e-06}",-0.11746776174376199,-0.10358088494125978,-0.11437873067581003,-0.15412322534275413,-0.14125764342596311,-0.10944268915192756,-0.12473148572835148,-0.10235215080765397,-0.18179760183820362,-0.1282864762826793,-0.12774186499383652,0.023785321203414953,14
63,0.5096521139144897,0.04771490075783926,0.009187412261962891,0.0013624718645322764,1.7887943971985992e-06,7.394997498749374e-06,3.7499749874937466e-06,2.3335667833916954e-06,"{'lambda_2': 1.7887943971985992e-06, 'lambda_1': 7.394997498749374e-06, 'alpha_2': 3.7499749874937466e-06, 'alpha_1': 2.3335667833916954e-06}",-0.11746776251923784,-0.1035808807435379,-0.1143787338937559,-0.15412322305711007,-0.14125764753982759,-0.10944269663821342,-0.12473148970303093,-0.10235215073761525,-0.18179760434629266,-0.1282864813222976,-0.1277418670500919,0.023785321358540012,15
76,0.49216859340667723,0.04485590325610815,0.013782858848571777,0.008236231365579836,1.9472736368184092e-06,7.885292646323161e-06,1.9720360180090043e-06,2.9773886943471733e-06,"{'lambda_2': 1.9472736368184092e-06, 'lambda_1': 7.885292646323161e-06, 'alpha_2': 1.9720360180090043e-06, 'alpha_1': 2.9773886943471733e-06}",-0.11746776368392457,-0.1035808739489474,-0.11437873860693902,-0.15412321975956447,-0.14125765291749853,-0.10944270694604724,-0.12473149547188116,-0.10235215063243733,-0.18179760850277513,-0.12828648794549008,-0.1277418698415505,0.02378532177843274,16
47,0.4964824914932251,0.03730713505947568,0.01173701286315918,0.00303193645470251,2.056228114057028e-06,6.523361680840419e-06,3.2844422211105547e-06,7.558429214607303e-06,"{'lambda_2': 2.056228114057028e-06, 'lambda_1': 6.523361680840419e-06, 'alpha_2': 3.2844422211105547e-06, 'alpha_1': 7.558429214607303e-06}",-0.11746776412603444,-0.10358087120625122,-0.11437874035525891,-0.15412321855116587,-0.14125765469215085,-0.10944271054361278,-0.12473149759468474,-0.10235215059252925,-0.18179761021419086,-0.12828649014343474,-0.1277418708019314,0.02378532200111995,17
55,0.4888378858566284,0.033556254595694786,0.009577131271362305,0.0007952253988676154,2.115657828914457e-06,2.269184592296148e-06,4.032266133066533e-06,3.948074037018509e-06,"{'lambda_2': 2.115657828914457e-06, 'lambda_1': 2.269184592296148e-06, 'alpha_2': 4.032266133066533e-06, 'alpha_1': 3.948074037018509e-06}",-0.11746776439038321,-0.10358086957605127,-0.11437874140558636,-0.15412321783127314,-0.14125765576780275,-0.10944271272241127,-0.1247314988682094,-0.10235215056862322,-0.18179761121881702,-0.1282864914785193,-0.1277418713827677,0.023785322127744753,18
33,0.4708676338195801,0.02864759116764774,0.010257601737976074,0.002189943627764693,2.4821410705352673e-06,2.089544772386193e-07,7.543571785892946e-06,7.933466733366683e-07,"{'lambda_2': 2.4821410705352673e-06, 'lambda_1': 2.089544772386193e-07, 'alpha_2': 7.543571785892946e-06, 'alpha_1': 7.933466733366683e-07}",-0.11746776595249576,-0.10358085995966475,-0.11437874759784435,-0.15412321353143155,-0.14125766216367688,-0.10944272555943985,-0.12473150639926044,-0.10235215042771047,-0.18179761722590182,-0.12828649938540637,-0.12774187482028326,0.023785322891145884,19
18,0.4764416217803955,0.06893415305142621,0.01134943962097168,0.0040158786048831415,2.442521260630315e-06,2.630715357678839e-06,4.36408204102051e-06,3.933216608304152e-06,"{'lambda_2': 2.442521260630315e-06, 'lambda_1': 2.630715357678839e-06, 'alpha_2': 4.36408204102051e-06, 'alpha_1': 3.933216608304152e-06}",-0.11746776618965862,-0.10358085881411863,-0.1143787486178402,-0.15412321280010557,-0.14125766364543746,-0.1094427281225823,-0.12473150767142423,-0.10235215040625209,-0.18179761787152937,-0.12828650119505502,-0.12774187553340033,0.023785322882912505,20
15,0.4915066480636597,0.11803204925175398,0.011745691299438477,0.005237125268211324,2.601000500250125e-06,2.2543271635817906e-06,7.979389694847424e-06,9.617308654327162e-07,"{'lambda_2': 2.601000500250125e-06, 'lambda_1': 2.2543271635817906e-06, 'alpha_2': 7.979389694847424e-06, 'alpha_1': 9.617308654327162e-07}",-0.11746776653780086,-0.103580856424381,-0.11437874993330815,-0.1541232118989359,-0.14125766467172463,-0.10944273049427108,-0.12473150924871576,-0.1023521503749348,-0.18179761942827355,-0.1282865024779169,-0.12774187614902627,0.023785323152728355,21
