,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lambda_2,param_lambda_1,param_alpha_2,param_alpha_1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
10,0.4722533464431763,0.03591750944661329,0.011416435241699219,0.002676423154203038,3.9921960980490244e-07,5.244122061030515e-06,7.119059529764882e-06,4.789894947473737e-06,"{'lambda_2': 3.9921960980490244e-07, 'lambda_1': 5.244122061030515e-06, 'alpha_2': 7.119059529764882e-06, 'alpha_1': 4.789894947473737e-06}",-0.11905384993146992,-0.10109152114911349,-0.1127643042912392,-0.12369728419139252,-0.14170939721236972,-0.1035072042521208,-0.11922673667618089,-0.09357785490392757,-0.09721227221112919,-0.12151163070566504,-0.11333520555246084,0.013942236609060878,1
86,0.46455457210540774,0.04636939599182583,0.017128705978393555,0.00792071496787673,3.93951975987994e-07,6.893446723361681e-06,6.462731365682842e-06,2.12456228114057e-06,"{'lambda_2': 3.93951975987994e-07, 'lambda_1': 6.893446723361681e-06, 'alpha_2': 6.462731365682842e-06, 'alpha_1': 2.12456228114057e-06}",-0.1190538498654689,-0.10109152105523966,-0.11276430435219707,-0.12369728408051142,-0.14170939760590545,-0.1035072043431961,-0.11922673677599926,-0.09357785483328356,-0.09721227193255626,-0.12151163080128786,-0.11333520556456456,0.013942236731827574,2
48,0.4966784954071045,0.05591860822479344,0.012570595741271973,0.0037070750663470713,3.707353676838419e-07,4.24312156078039e-06,4.961980990495247e-06,5.022011005502751e-06,"{'lambda_2': 3.707353676838419e-07, 'lambda_1': 4.24312156078039e-06, 'alpha_2': 4.961980990495247e-06, 'alpha_1': 5.022011005502751e-06}",-0.11905384971249784,-0.10109152083374896,-0.112764304497585,-0.12369728381856024,-0.14170939856910114,-0.10350720456514266,-0.11922673701413332,-0.0935778546661237,-0.09721227129621941,-0.12151163103339088,-0.11333520560065029,0.013942237026266147,3
56,0.4861753940582275,0.05542855984941927,0.010259890556335449,0.0006664149223140527,3.691745872936468e-07,6.783891945972986e-06,6.8669334667333665e-06,1.7523761880940469e-06,"{'lambda_2': 3.691745872936468e-07, 'lambda_1': 6.783891945972986e-06, 'alpha_2': 6.8669334667333665e-06, 'alpha_1': 1.7523761880940469e-06}",-0.11905385021117072,-0.10109152156029114,-0.1127643040485781,-0.12369728460208884,-0.14170939616627876,-0.10350720391146387,-0.11922673630475385,-0.09357785521975115,-0.09721227365966073,-0.12151163039008629,-0.11333520560741235,0.013942236180595773,4
53,0.5154789209365844,0.12408378766903594,0.013660454750061035,0.0036426645257074614,3.6605302651325664e-07,5.2306153076538265e-06,6.0065032516258126e-06,7.279139569784892e-06,"{'lambda_2': 3.6605302651325664e-07, 'lambda_1': 5.2306153076538265e-06, 'alpha_2': 6.0065032516258126e-06, 'alpha_1': 7.279139569784892e-06}",-0.11905385000956085,-0.10109152126623201,-0.11276430423139627,-0.12369728428240598,-0.14170939716799075,-0.10350720417937898,-0.11922673659454598,-0.0935778549957669,-0.09721227271492937,-0.12151163065516345,-0.11333520560973705,0.013942236527398507,5
45,0.45161051750183107,0.029941260835737702,0.011320281028747558,0.0014084115034912394,3.6410205102551275e-07,6.303651825912956e-06,6.298649324662331e-06,4.669834917458729e-06,"{'lambda_2': 3.6410205102551275e-07, 'lambda_1': 6.303651825912956e-06, 'alpha_2': 6.298649324662331e-06, 'alpha_1': 4.669834917458729e-06}",-0.11905385011865945,-0.10109152142590741,-0.11276430413360614,-0.12369728445168503,-0.14170939666488347,-0.10350720403765988,-0.11922673644110453,-0.09357785511772251,-0.0972122732422638,-0.12151163051752258,-0.11333520561510149,0.013942236345614423,6
58,0.5066667318344116,0.0941207708873078,0.010556983947753906,0.0017777986563198022,3.561030515257629e-07,4.7503751875937965e-06,8.091545772886443e-06,7.371185592796398e-06,"{'lambda_2': 3.561030515257629e-07, 'lambda_1': 4.7503751875937965e-06, 'alpha_2': 8.091545772886443e-06, 'alpha_1': 7.371185592796398e-06}",-0.11905385058273604,-0.10109152209963582,-0.11276430371820367,-0.12369728517797185,-0.14170939445826886,-0.10350720343581758,-0.11922673578493273,-0.09357785563081494,-0.09721227544675456,-0.12151162992499213,-0.11333520562601282,0.013942235564399238,7
39,0.4655958652496338,0.051433205738828175,0.011392474174499512,0.004165994966459821,3.559079539769885e-07,6.803401700850425e-06,8.34767383691846e-06,7.215107553776888e-06,"{'lambda_2': 3.559079539769885e-07, 'lambda_1': 6.803401700850425e-06, 'alpha_2': 8.34767383691846e-06, 'alpha_1': 7.215107553776888e-06}",-0.11905385067435796,-0.10109152223412643,-0.11276430363556413,-0.12369728532082896,-0.1417093940285406,-0.10350720331554206,-0.11922673565518198,-0.09357785573354108,-0.09721227588812727,-0.12151162980804558,-0.11333520562938562,0.013942235410386588,8
8,0.4570039749145508,0.03846357581720426,0.011708354949951172,0.002178487373559689,3.525912956478239e-07,4.139569784892446e-06,5.310155077538769e-06,4.345672836418209e-06,"{'lambda_2': 3.525912956478239e-07, 'lambda_1': 4.139569784892446e-06, 'alpha_2': 5.310155077538769e-06, 'alpha_1': 4.345672836418209e-06}",-0.11905384997823408,-0.1010915212218937,-0.1127643042639105,-0.12369728422035177,-0.14170939745342628,-0.10350720423244975,-0.11922673665108668,-0.0935778549630644,-0.09721227262016714,-0.12151163071592605,-0.11333520563205104,0.013942236601156111,9
16,0.444818902015686,0.026873249773084626,0.012487840652465821,0.0064769115280787475,3.5512756378189096e-07,6.978989494747373e-06,4.025512756378189e-06,3.853426713356678e-06,"{'lambda_2': 3.5512756378189096e-07, 'lambda_1': 6.978989494747373e-06, 'alpha_2': 4.025512756378189e-06, 'alpha_1': 3.853426713356678e-06}",-0.11905384970064187,-0.10109152082033158,-0.11276430451296529,-0.12369728378232876,-0.14170939881114114,-0.10350720459436774,-0.11922673704638921,-0.0935778546577245,-0.0972122713196655,-0.12151163107545074,-0.11333520563210062,0.013942237073708976,10
36,0.45247933864593504,0.02929139139741385,0.010831785202026368,0.0013317623901201079,3.537618809404702e-07,5.976488244122061e-06,2.180590295147574e-06,3.2051025512756377e-06,"{'lambda_2': 3.537618809404702e-07, 'lambda_1': 5.976488244122061e-06, 'alpha_2': 2.180590295147574e-06, 'alpha_1': 3.2051025512756377e-06}",-0.11905384927774577,-0.10109152020562699,-0.11276430489445162,-0.12369728311404012,-0.14170940088916226,-0.10350720515082633,-0.11922673765104312,-0.09357785418984386,-0.09721226933408596,-0.12151163162645426,-0.11333520563332802,0.013942237796573847,11
