,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
76,12.453675127029419,0.45545726475252135,0.013301658630371093,0.0022586772730118065,0.8755289644822412,42,223,5,3,59,0.01910855427713857,"{'subsample': 0.8755289644822412, 'random_state': 42, 'n_estimators': 223, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 59, 'learning_rate': 0.01910855427713857}",-0.13909453302102678,-0.13353230982288797,-0.13731658375169384,-0.17455053677622698,-0.1678598646498033,-0.11151448153316464,-0.14716165058639932,-0.13005405046716137,-0.1456199075323713,-0.13782304335338535,-0.14245269614941208,0.01719757101955293,1
64,0.22696452140808104,0.012822391322186471,0.007422494888305664,0.0007392401926855814,0.025112256128064035,42,117,3,1,29,0.062127913956978496,"{'subsample': 0.025112256128064035, 'random_state': 42, 'n_estimators': 117, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 29, 'learning_rate': 0.062127913956978496}",-0.14153863109825643,-0.14228992112259703,-0.13819397326721125,-0.1922767623172309,-0.16778235153902166,-0.13332623152727208,-0.14716507196433665,-0.13162041712234349,-0.1585701647548666,-0.14346231921893668,-0.14962258439320725,0.017642516863565064,2
50,16.10349383354187,0.8719497399959023,0.014580178260803222,0.0042349896638910894,0.6804333666833418,42,226,2,3,22,0.302235967983992,"{'subsample': 0.6804333666833418, 'random_state': 42, 'n_estimators': 226, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 22, 'learning_rate': 0.302235967983992}",-0.14945430532815682,-0.13017399539956778,-0.1608863662417329,-0.19746905249733276,-0.172935043963579,-0.13206173032650284,-0.1482931876711779,-0.14067506667367943,-0.15630011371153135,-0.1510969960150048,-0.15393458578282657,0.018944504972689097,3
82,12.851810503005982,0.7011067142980373,0.012083745002746582,0.003588943259354935,0.6254064032016008,42,122,3,3,94,0.4863188094047024,"{'subsample': 0.6254064032016008, 'random_state': 42, 'n_estimators': 122, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_depth': 94, 'learning_rate': 0.4863188094047024}",-0.1612465391123794,-0.16858385507719717,-0.17274027981797313,-0.1953394250993317,-0.18940483491455393,-0.13460766982434988,-0.18998863618932058,-0.16630876984269216,-0.17692611551568313,-0.18398525436950852,-0.17391313797629895,0.01691446564218447,4
40,10.837630248069763,0.7707730527346,0.01169726848602295,0.004586869980526459,0.8205020010005003,42,254,2,1,63,1.242659179589795,"{'subsample': 0.8205020010005003, 'random_state': 42, 'n_estimators': 254, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 63, 'learning_rate': 1.242659179589795}",-0.31088523749948976,-0.3536831849861462,-0.2775604986905125,-0.3175780291805959,-0.31514520752019903,-0.29984645964150747,-0.28959419182859064,-0.2828935195989214,-0.30694114220192253,-0.35135305939110617,-0.31054805305389915,0.02452734475451587,5
11,22.93406844139099,5.441972435191513,0.01590087413787842,0.0032782828112241746,0.725455427713857,42,288,3,3,49,1.337701950975488,"{'subsample': 0.725455427713857, 'random_state': 42, 'n_estimators': 288, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_depth': 49, 'learning_rate': 1.337701950975488}",-0.46445989385184877,-0.4274834252531981,-0.5054654767926636,-0.4961887678142023,-0.5089151191009968,-0.43511484244454335,-0.4540815979924229,-0.4424742947053943,-0.4640848636244487,-0.3860950490475702,-0.45843633306272896,0.03641739954630769,6
57,27.10949025154114,3.9459002540718755,0.014383959770202636,0.0022725617512368607,0.8455142571285643,42,201,5,2,51,1.7468860930465233,"{'subsample': 0.8455142571285643, 'random_state': 42, 'n_estimators': 201, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 51, 'learning_rate': 1.7468860930465233}",-2.721801429730215,-2.3393357453818173,-2.1095584090551154,-2.931159978492992,-2.7948976515364756,-1.814663077464717,-1.875570390756988,-2.4701025261285716,-3.1254156903181256,-2.9291870121008716,-2.511169191096589,0.4398759742024811,7
83,0.27693791389465333,0.0709780087865689,0.010025739669799805,0.003999530160763244,0.025112256128064035,42,120,2,2,80,1.8839477738869437,"{'subsample': 0.025112256128064035, 'random_state': 42, 'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 80, 'learning_rate': 1.8839477738869437}",-8.167596200815865e+25,-6.53966315182528e+26,-2.0176479448373184e+27,-6.478924036665157e+26,-1.524176249774565e+27,-4.022699867250461e+26,-2.105528804194098e+27,-1.2615459416963277e+27,-2.9063001662047508e+26,-4.364045418886297e+27,-1.334937904359133e+27,1.2142265410874648e+27,8
78,10.533369302749634,0.5022376716636637,0.016048121452331542,0.00536041548822836,0.4303108054027014,42,240,2,2,92,1.914961730865433,"{'subsample': 0.4303108054027014, 'random_state': 42, 'n_estimators': 240, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 92, 'learning_rate': 1.914961730865433}",-3.11441901368914e+48,-2.386117283564037e+48,-5.574973250995406e+48,-2.6820544848505153e+48,-3.061494302479382e+48,-2.0995539575744908e+48,-1.6831629897688127e+48,-1.9402913457376972e+48,-2.576140987010258e+48,-5.3081712186368775e+48,-3.042637883430662e+48,1.2760202979800108e+48,9
69,0.015161943435668946,0.0054515859612502965,0.0,0.0,2.871507003501751,42,281,7,1,55,0.11815312656328165,"{'subsample': 2.871507003501751, 'random_state': 42, 'n_estimators': 281, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_depth': 55, 'learning_rate': 0.11815312656328165}",,,,,,,,,,,,,10
68,0.01056067943572998,0.0010925394438214616,0.0,0.0,4.822462981490745,42,150,7,2,33,0.3832724362181091,"{'subsample': 4.822462981490745, 'random_state': 42, 'n_estimators': 150, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 33, 'learning_rate': 0.3832724362181091}",,,,,,,,,,,,,11
67,0.0110154390335083,0.0016355600525390808,0.0,0.0,9.009514657328666,42,192,4,3,85,1.3587114057028515,"{'subsample': 9.009514657328666, 'random_state': 42, 'n_estimators': 192, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_depth': 85, 'learning_rate': 1.3587114057028515}",,,,,,,,,,,,,12
66,0.010794878005981445,0.0010635285371985545,0.0,0.0,5.41775467733867,42,292,2,3,31,1.4237406703351676,"{'subsample': 5.41775467733867, 'random_state': 42, 'n_estimators': 292, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 31, 'learning_rate': 1.4237406703351676}",,,,,,,,,,,,,13
65,0.014891886711120605,0.004275251152855501,0.0,0.0,7.3887204602301155,42,157,3,2,43,0.8544844922461231,"{'subsample': 7.3887204602301155, 'random_state': 42, 'n_estimators': 157, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 43, 'learning_rate': 0.8544844922461231}",,,,,,,,,,,,,14
62,0.010832595825195312,0.000831910745838518,0.0,0.0,3.4718011505752884,42,197,4,2,72,1.438747423711856,"{'subsample': 3.4718011505752884, 'random_state': 42, 'n_estimators': 197, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 72, 'learning_rate': 1.438747423711856}",,,,,,,,,,,,,15
70,0.01312847137451172,0.0012328335853250922,0.0,0.0,9.034526913456729,42,281,5,3,68,0.7044169584792397,"{'subsample': 9.034526913456729, 'random_state': 42, 'n_estimators': 281, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 68, 'learning_rate': 0.7044169584792397}",,,,,,,,,,,,,16
61,0.010023379325866699,0.0011617658675411586,0.0,0.0,3.907014407203602,42,86,4,3,21,1.6378370185092548,"{'subsample': 3.907014407203602, 'random_state': 42, 'n_estimators': 86, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_depth': 21, 'learning_rate': 1.6378370185092548}",,,,,,,,,,,,,17
60,0.008845901489257813,0.0012673299875161467,0.0,0.0,3.9320266633316665,42,276,5,1,97,0.7924565782891446,"{'subsample': 3.9320266633316665, 'random_state': 42, 'n_estimators': 276, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 97, 'learning_rate': 0.7924565782891446}",,,,,,,,,,,,,18
59,0.009746193885803223,0.0008770652602284627,0.0,0.0,3.056597698849425,42,243,3,2,83,1.9789905452726364,"{'subsample': 3.056597698849425, 'random_state': 42, 'n_estimators': 243, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 83, 'learning_rate': 1.9789905452726364}",,,,,,,,,,,,,19
58,0.010658788681030273,0.0008615684383129947,0.0,0.0,8.899460730365183,42,197,5,3,59,1.0035515757878941,"{'subsample': 8.899460730365183, 'random_state': 42, 'n_estimators': 197, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 59, 'learning_rate': 1.0035515757878941}",,,,,,,,,,,,,20
56,0.011787605285644532,0.005263590879369161,0.0,0.0,3.346739869934968,42,159,4,1,43,1.8529338169084544,"{'subsample': 3.346739869934968, 'random_state': 42, 'n_estimators': 159, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_depth': 43, 'learning_rate': 1.8529338169084544}",,,,,,,,,,,,,21
55,0.009662270545959473,0.0005296242707173524,0.0,0.0,9.55478184092046,42,225,7,1,92,0.9205142071035518,"{'subsample': 9.55478184092046, 'random_state': 42, 'n_estimators': 225, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_depth': 92, 'learning_rate': 0.9205142071035518}",,,,,,,,,,,,,22
54,0.01032719612121582,0.0008501060907147391,0.0,0.0,3.99205607803902,42,243,4,2,66,1.605822611305653,"{'subsample': 3.99205607803902, 'random_state': 42, 'n_estimators': 243, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 66, 'learning_rate': 1.605822611305653}",,,,,,,,,,,,,23
53,0.00974116325378418,0.0003517930113618794,0.0,0.0,5.6728796898449225,42,77,3,3,87,1.693862231115558,"{'subsample': 5.6728796898449225, 'random_state': 42, 'n_estimators': 77, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_depth': 87, 'learning_rate': 1.693862231115558}",,,,,,,,,,,,,24
52,0.009807205200195313,0.0005955235686421968,0.0,0.0,7.108583191595798,42,178,5,1,27,1.4807663331665835,"{'subsample': 7.108583191595798, 'random_state': 42, 'n_estimators': 178, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 27, 'learning_rate': 1.4807663331665835}",,,,,,,,,,,,,25
63,0.010270476341247559,0.0009535654736038945,0.0,0.0,5.91799979989995,42,209,5,2,72,1.5848131565782893,"{'subsample': 5.91799979989995, 'random_state': 42, 'n_estimators': 209, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 72, 'learning_rate': 1.5848131565782893}",,,,,,,,,,,,,26
71,0.012437915802001953,0.0013238055356443977,0.0,0.0,2.641394247123562,42,248,7,1,51,0.9625331165582792,"{'subsample': 2.641394247123562, 'random_state': 42, 'n_estimators': 248, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_depth': 51, 'learning_rate': 0.9625331165582792}",,,,,,,,,,,,,27
0,0.014215421676635743,0.0020224139193028164,0.0,0.0,9.24963231615808,42,198,2,2,55,0.41328594297148574,"{'subsample': 9.24963231615808, 'random_state': 42, 'n_estimators': 198, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 55, 'learning_rate': 0.41328594297148574}",,,,,,,,,,,,,28
73,0.013163280487060548,0.0018588599938918625,0.0,0.0,4.907504652326163,42,167,7,2,25,0.18418284142071037,"{'subsample': 4.907504652326163, 'random_state': 42, 'n_estimators': 167, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_depth': 25, 'learning_rate': 0.18418284142071037}",,,,,,,,,,,,,29
97,0.01261279582977295,0.004214449281319063,0.0,0.0,9.844924012006004,42,112,3,1,69,0.7124205602801401,"{'subsample': 9.844924012006004, 'random_state': 42, 'n_estimators': 112, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 69, 'learning_rate': 0.7124205602801401}",,,,,,,,,,,,,30
96,0.011462950706481933,0.001653921920135275,0.0,0.0,2.106131965982992,42,174,2,2,35,0.293231915957979,"{'subsample': 2.106131965982992, 'random_state': 42, 'n_estimators': 174, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 35, 'learning_rate': 0.293231915957979}",,,,,,,,,,,,,31
95,0.011811041831970214,0.0017285557595975913,0.0,0.0,9.004512206103053,42,123,2,2,80,1.1876344172086044,"{'subsample': 9.004512206103053, 'random_state': 42, 'n_estimators': 123, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 80, 'learning_rate': 1.1876344172086044}",,,,,,,,,,,,,32
