,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_random_state,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
59,20.16009931564331,1.0451918876785162,0.1460045337677002,0.02561861026250983,0.7267133566783391,0.8571,0.464,42,4,47,0.12843771885942973,0.007668484242121061,0.9621810905452727,"{'subsample': 0.7267133566783391, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 47, 'learning_rate': 0.12843771885942973, 'gamma': 0.007668484242121061, 'colsample_bytree': 0.9621810905452727}",-0.1256733116480877,-0.1129467637758991,-0.12104221362667393,-0.13460697838754052,-0.14708008375781706,-0.09512466289804887,-0.12605439637329272,-0.10920596833342018,-0.1059635642005588,-0.13747894312657047,-0.12151768861279093,0.015103529375602663,1
5,8.670319962501527,0.4358843224313051,0.10917978286743164,0.03554413716343744,0.7532766383191596,0.8571,0.464,42,2,52,0.13172836418209105,0.029222211105552776,0.23461730865432717,"{'subsample': 0.7532766383191596, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 52, 'learning_rate': 0.13172836418209105, 'gamma': 0.029222211105552776, 'colsample_bytree': 0.23461730865432717}",-0.12192916757357007,-0.10930420437163166,-0.12364000621254474,-0.14481725902726225,-0.14881676412855163,-0.1093460072038507,-0.1193320242848071,-0.10742103665210702,-0.10260044889218223,-0.13722590494472509,-0.12244328232912324,0.015458452654872164,2
38,9.953770184516907,0.4230738228630528,0.11260061264038086,0.019403435488851525,0.784792396198099,0.8571,0.464,42,4,57,0.22760580290145072,0.01996353176588294,0.4192096048024012,"{'subsample': 0.784792396198099, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 57, 'learning_rate': 0.22760580290145072, 'gamma': 0.01996353176588294, 'colsample_bytree': 0.4192096048024012}",-0.1251327116539239,-0.11205693673009852,-0.1198994197733285,-0.12984354568502482,-0.14553085518908931,-0.11174779436512819,-0.1233933065949697,-0.11748363799408867,-0.10649371280021211,-0.13371144978576463,-0.12252933705716282,0.011093064286522446,3
81,14.848357462882996,1.230624436401616,0.1286715269088745,0.057096135058058106,0.6830415207603802,0.8571,0.464,42,4,56,0.19425062531265633,0.015401500750375186,0.5893946973486743,"{'subsample': 0.6830415207603802, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 56, 'learning_rate': 0.19425062531265633, 'gamma': 0.015401500750375186, 'colsample_bytree': 0.5893946973486743}",-0.12363079923670268,-0.11753811186892861,-0.11987085483923791,-0.12755124612744492,-0.13758724031606762,-0.1086415189032237,-0.12945994650585227,-0.11432397841743981,-0.11111665204307948,-0.13615659331908425,-0.12258769415770614,0.009535739533674896,4
13,9.727731513977051,0.6309700829401848,0.12337625026702881,0.03708112487132751,0.9986493246623311,0.8571,0.464,42,2,42,0.15132266133066533,0.0002944472236118059,0.2809904952476238,"{'subsample': 0.9986493246623311, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 42, 'learning_rate': 0.15132266133066533, 'gamma': 0.0002944472236118059, 'colsample_bytree': 0.2809904952476238}",-0.12358803276695415,-0.10192322708169986,-0.1293178697829616,-0.1410524019247152,-0.14956221740422737,-0.10427865201472365,-0.11322959977288773,-0.1130657719451111,-0.1139836262096633,-0.1377941822909875,-0.12277955811939316,0.015363097292698021,5
7,9.395936870574952,0.5238580561702365,0.12778403759002685,0.032876134517209825,0.7069034517258629,0.8571,0.464,42,4,54,0.16762631315657828,0.019305402701350675,0.3323161580790395,"{'subsample': 0.7069034517258629, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 54, 'learning_rate': 0.16762631315657828, 'gamma': 0.019305402701350675, 'colsample_bytree': 0.3323161580790395}",-0.13020818434566303,-0.11544032898112058,-0.11976087016712461,-0.13535483758664618,-0.14697107027408757,-0.10279897983658176,-0.1191479648099814,-0.10502225765478229,-0.11558197553719435,-0.13888577544488154,-0.12291722446380633,0.013785092573238995,6
17,5.182175397872925,0.38805079759454314,0.1030965805053711,0.025989771456452874,0.6335167583791896,0.8571,0.464,42,4,44,0.12709154577288645,0.026260630315157577,0.23686843421710857,"{'subsample': 0.6335167583791896, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 4, 'max_depth': 44, 'learning_rate': 0.12709154577288645, 'gamma': 0.026260630315157577, 'colsample_bytree': 0.23686843421710857}",-0.12563334968429962,-0.11368990557876198,-0.12505716315941254,-0.13189357021584294,-0.148325142542482,-0.10795817461259795,-0.1195915203658857,-0.11112889462274426,-0.11435592018147651,-0.1329258808466521,-0.12305595218101555,0.011706032855934941,7
56,14.08888337612152,0.8662937830311805,0.14237728118896484,0.04479661107175845,0.5605802901450726,0.8571,0.464,42,2,52,0.09373636818409205,0.022805452726363182,0.6065032516258129,"{'subsample': 0.5605802901450726, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 2, 'max_depth': 52, 'learning_rate': 0.09373636818409205, 'gamma': 0.022805452726363182, 'colsample_bytree': 0.6065032516258129}",-0.11753782553722394,-0.11441999099550884,-0.12590349987405552,-0.12968709530023162,-0.14934556194538537,-0.10505446301375698,-0.1245189895715149,-0.11263330388789806,-0.11444271763728836,-0.1386552104973327,-0.12321986582601963,0.012650436341605871,8
86,9.009502196311951,0.5958547789167762,0.12614099979400634,0.06111531546852227,0.7334667333666833,0.8571,0.464,42,6,53,0.15162181090545274,0.0021043021510755377,0.3147573786893447,"{'subsample': 0.7334667333666833, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 6, 'max_depth': 53, 'learning_rate': 0.15162181090545274, 'gamma': 0.0021043021510755377, 'colsample_bytree': 0.3147573786893447}",-0.13286035546190733,-0.11244164047994025,-0.11958403740165739,-0.1340958600111637,-0.14842082293550776,-0.10565421474529094,-0.12577896093005417,-0.10676120967439534,-0.11420665610284154,-0.13438918178576642,-0.12341929395285249,0.013293931697640088,9
67,15.502342629432679,1.749090789228911,0.12871768474578857,0.0356334131707723,0.8550275137568785,0.8571,0.464,42,1,41,0.12649324662331166,0.024136668334167083,0.5407703851925963,"{'subsample': 0.8550275137568785, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 1, 'max_depth': 41, 'learning_rate': 0.12649324662331166, 'gamma': 0.024136668334167083, 'colsample_bytree': 0.5407703851925963}",-0.12796532792150056,-0.1088131323499379,-0.12652898236156965,-0.13510332654302476,-0.15123499505732976,-0.10320822530678128,-0.12415595479838061,-0.10974418167329643,-0.10768112808563257,-0.14077840608231795,-0.12352136601797717,0.01516202328752462,10
