,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
53,0.9318073511123657,0.039237333953801,0.08684055805206299,0.023624792450067548,rbf,0.001625662831415708,0.013666433216608303,7,"{'kernel': 'rbf', 'gamma': 0.001625662831415708, 'epsilon': 0.013666433216608303, 'C': 7}",-0.11225220414762735,-0.09463703666797064,-0.10083813210451205,-0.1718847706510113,-0.13539275006449197,-0.0924506930826088,-0.11359722883986179,-0.09719074070417882,-0.1508037211808927,-0.12145264684348585,-0.11904999242866413,0.025023245169681397,1
15,0.7337976932525635,0.05067279847069226,0.06985466480255127,0.011369616995302975,rbf,0.0023436218109054523,0.02714312156078039,4,"{'kernel': 'rbf', 'gamma': 0.0023436218109054523, 'epsilon': 0.02714312156078039, 'C': 4}",-0.1129362163330562,-0.09695460487495812,-0.10113426815383635,-0.17288858537095902,-0.1378196268509581,-0.09274343968358267,-0.11588580165976922,-0.09698618770795252,-0.14046673314324595,-0.12274407130285214,-0.11905595350811704,0.02399714940876335,2
87,0.9582369565963745,0.03822306253577942,0.07928128242492676,0.003662929916097764,rbf,0.001565832916458229,0.005709054527263632,7,"{'kernel': 'rbf', 'gamma': 0.001565832916458229, 'epsilon': 0.005709054527263632, 'C': 7}",-0.11105221618520267,-0.09394138236221937,-0.10167125288880575,-0.17173942444128112,-0.13535747383836405,-0.09254071586811365,-0.11288818662881564,-0.09789375117295021,-0.15252382439065856,-0.1219006135910381,-0.1191508841367449,0.025209830071731484,3
30,1.2779701232910157,0.08972548113531935,0.0947500467300415,0.018635201422378213,rbf,0.002717558779389695,0.013621560780390195,9,"{'kernel': 'rbf', 'gamma': 0.002717558779389695, 'epsilon': 0.013621560780390195, 'C': 9}",-0.11243639817062673,-0.09550005509950456,-0.10321969244892867,-0.18088502018937813,-0.14154619364162296,-0.09974781161360953,-0.1189671706202757,-0.10026506906472325,-0.13452464030588726,-0.12877869525495292,-0.12158707464095098,0.024847104892508715,4
3,1.1321391582489013,0.17445536045253152,0.12246232032775879,0.026310541777256925,rbf,0.0026577288644322157,0.003315857928964482,1,"{'kernel': 'rbf', 'gamma': 0.0026577288644322157, 'epsilon': 0.003315857928964482, 'C': 1}",-0.11354095652335387,-0.10368895806033632,-0.10700260850044654,-0.17251250120658598,-0.14224482340314112,-0.09737354937540028,-0.120506731215114,-0.103140608569786,-0.1386773133835992,-0.1251294166207289,-0.12238174668584922,0.022009030805384425,5
29,1.022250723838806,0.08856333839906895,0.08675673007965087,0.00757975615523745,rbf,0.00529024512256128,0.014174987493746873,4,"{'kernel': 'rbf', 'gamma': 0.00529024512256128, 'epsilon': 0.014174987493746873, 'C': 4}",-0.1134261886533529,-0.10219039493236329,-0.10535907616008926,-0.18294130348495638,-0.14306654243043324,-0.10187238259119012,-0.12399146444849068,-0.1027448651667099,-0.12671079997332213,-0.13168077195230513,-0.12339837897932131,0.024034754410113005,6
88,1.160929799079895,0.03770449716752687,0.0787461280822754,0.004444319832693789,rbf,0.0033756878439219606,0.01101895947973987,9,"{'kernel': 'rbf', 'gamma': 0.0033756878439219606, 'epsilon': 0.01101895947973987, 'C': 9}",-0.11282527916029163,-0.09858398973723077,-0.10581257682676241,-0.1840794704094913,-0.1443008105735226,-0.10297160666853854,-0.12185300218900677,-0.10366356960992584,-0.1293347947740567,-0.13148803171732462,-0.12349131316661513,0.024628463934808796,7
16,0.6751931190490723,0.029620943963132442,0.08087277412414551,0.014459479477243983,rbf,0.007638569284642321,0.02531830915457729,1,"{'kernel': 'rbf', 'gamma': 0.007638569284642321, 'epsilon': 0.02531830915457729, 'C': 1}",-0.11530748126960705,-0.10912811103950834,-0.10490347847994089,-0.1776224973229157,-0.14430785450719974,-0.09564233327926641,-0.1249323904569364,-0.10241537498337183,-0.13308375791892463,-0.13254242484720152,-0.12398857041048725,0.023185340834006706,8
49,1.197636604309082,0.059496069745856875,0.10810441970825195,0.005791414957215956,rbf,0.00677103551775888,0.009612956478239119,3,"{'kernel': 'rbf', 'gamma': 0.00677103551775888, 'epsilon': 0.009612956478239119, 'C': 3}",-0.11437639121191646,-0.10578074727597829,-0.10683481424070972,-0.18384825885921538,-0.14445693791061445,-0.10244395448554378,-0.12604608062717484,-0.10415557689586019,-0.1294933995627957,-0.13289823193988912,-0.12503343930096977,0.023834482772345206,9
79,0.9053887605667115,0.01990101138376764,0.10406856536865235,0.0017665579426897678,sigmoid,0.0023436218109054523,0.008924912456228113,3,"{'kernel': 'sigmoid', 'gamma': 0.0023436218109054523, 'epsilon': 0.008924912456228113, 'C': 3}",-0.12131925650395461,-0.11055621833612488,-0.10629395894622791,-0.16557326824271762,-0.13838102903442717,-0.10355682244959798,-0.12132673718999021,-0.10094436304118602,-0.18261655499735777,-0.1254532845902815,-0.12760214933318656,0.02588719020103092,10
