,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
69,0.3638749599456787,0.07520200416556488,0.013572931289672852,0.003964484223561226,42,0.7353740070035018,0.0005275337668834418,"{'random_state': 42, 'l1_ratio': 0.7353740070035018, 'alpha': 0.0005275337668834418}",-0.1094270524726692,-0.10074212031228486,-0.10775524494974512,-0.1548346965791094,-0.1417288546397725,-0.10832557037330712,-0.11765386221679953,-0.09671687720176955,-0.17761743751350192,-0.12382305616251868,-0.12386247724214779,0.024874252595534888,1
61,0.40645499229431153,0.11437837136471313,0.016052961349487305,0.005529507794235692,42,0.6903517208604302,0.0005196098049024513,"{'random_state': 42, 'l1_ratio': 0.6903517208604302, 'alpha': 0.0005196098049024513}",-0.10962523425674799,-0.10045163896236634,-0.10751953574649921,-0.15496020379171757,-0.1414937246036764,-0.10889842637985928,-0.11754334559279395,-0.09657396824665614,-0.17753761265350812,-0.12417701170314424,-0.12387807019369693,0.024870507195782134,2
94,0.37962157726287843,0.11116178855511798,0.0170076847076416,0.007544512099250967,42,0.8784448274137069,0.0004170935467733867,"{'random_state': 42, 'l1_ratio': 0.8784448274137069, 'alpha': 0.0004170935467733867}",-0.10950317802646281,-0.0999410160007568,-0.10693615554417783,-0.1560743394189648,-0.14132404050594394,-0.11112748006576821,-0.11724292369737735,-0.09560130831149322,-0.17785940986954885,-0.12355613581067444,-0.12391659872511682,0.025155242004518526,3
2,0.32336761951446535,0.05609698884144253,0.013611650466918946,0.003463509761433177,42,1.0855473436718361,0.00046661830915457734,"{'random_state': 42, 'l1_ratio': 1.0855473436718361, 'alpha': 0.00046661830915457734}",-0.10875222812075236,-0.10210339573425592,-0.10733125936642463,-0.155876897289394,-0.14231975439961986,-0.10784034443127086,-0.11716259629833517,-0.09667769756692887,-0.17767154661004436,-0.12351810646280503,-0.1239253826279831,0.025053456745765722,4
72,0.37718701362609863,0.09776474319769618,0.018426513671875,0.008566640221785903,42,0.7463794547273637,0.0006657078539269635,"{'random_state': 42, 'l1_ratio': 0.7463794547273637, 'alpha': 0.0006657078539269635}",-0.10900916403303651,-0.10279842826075329,-0.10842161313175291,-0.15403841239444446,-0.14251426242579127,-0.10496935469646569,-0.11778313582873583,-0.09790674762524157,-0.17737609939024865,-0.12448527932982775,-0.12393024971162978,0.02468373875322271,5
1,0.26827943325042725,0.03344391765142661,0.012310600280761719,0.0020944856285411203,42,0.7383754927463732,0.000678584292146073,"{'random_state': 42, 'l1_ratio': 0.7383754927463732, 'alpha': 0.000678584292146073}",-0.10898955985517747,-0.10290820958647137,-0.10848558097088339,-0.15398956762387286,-0.14255619849520343,-0.10479626314257635,-0.11781751538591642,-0.09798414186572627,-0.1773658839395476,-0.12454672170179851,-0.12394396425671736,0.024671030330813516,6
49,0.40244078636169434,0.128414268533467,0.016217470169067383,0.009586939015135892,42,0.8914512656328164,0.00039134067033516764,"{'random_state': 42, 'l1_ratio': 0.8914512656328164, 'alpha': 0.00039134067033516764}",-0.1096463676209684,-0.09971603948071371,-0.1067117719841807,-0.15646457231689812,-0.14107039939117338,-0.1122194553068045,-0.11700397046166999,-0.0952923732497848,-0.1778925373346018,-0.12353283068580531,-0.12395503178326006,0.025211950385320293,7
41,0.366481614112854,0.13939240153905288,0.01577284336090088,0.0084718537680507,42,1.1825953826913458,0.0005379339669834917,"{'random_state': 42, 'l1_ratio': 1.1825953826913458, 'alpha': 0.0005379339669834917}",-0.10827800860775638,-0.10382646378191751,-0.10765138805902263,-0.15577010662285967,-0.1430299995678977,-0.10361560729966111,-0.1177208723750456,-0.09772268737261335,-0.1776847433733705,-0.12446820013522154,-0.1239768077195366,0.025140850860066056,8
70,0.3290531158447266,0.058492254880106,0.01477968692779541,0.005948311705887445,42,1.1465775537768885,0.00041313156578289147,"{'random_state': 42, 'l1_ratio': 1.1465775537768885, 'alpha': 0.00041313156578289147}",-0.10887347178502625,-0.10127050721036354,-0.10700683086393668,-0.1565720427167423,-0.14193938087551053,-0.10997760233553622,-0.11698157515271443,-0.09598578555488245,-0.17784156745290908,-0.12354579450871227,-0.12399945584563336,0.025192799901093025,9
16,0.3378550291061401,0.08394838046300669,0.01321253776550293,0.0015059065068961806,42,0.9945022761380691,0.00040916958479239623,"{'random_state': 42, 'l1_ratio': 0.9945022761380691, 'alpha': 0.00040916958479239623}",-0.10926699936384165,-0.10036029930413554,-0.10714109848347735,-0.15632728391531323,-0.14158877463728553,-0.11094477399262288,-0.11726810447749672,-0.09561646102417565,-0.1779620428526271,-0.12354271772523492,-0.12400185557762104,0.02519529988977909,10
98,0.4004737377166748,0.11208125352106804,0.01598379611968994,0.0037177809712731933,42,1.0245171335667835,0.00040124562281140574,"{'random_state': 42, 'l1_ratio': 1.0245171335667835, 'alpha': 0.00040124562281140574}",-0.109249106934356,-0.10036689625664888,-0.10709385702273556,-0.15646074239416313,-0.14158544392285133,-0.11117984204653374,-0.11720460577487223,-0.09552901321510213,-0.17798054322461224,-0.12355830070434894,-0.12402083514962244,0.025219235652730834,11
91,0.31310062408447265,0.0842864480171719,0.011646652221679687,0.0031807841001623917,42,1.1615849824912459,0.00040273136568284146,"{'random_state': 42, 'l1_ratio': 1.1615849824912459, 'alpha': 0.00040273136568284146}",-0.10890109329284632,-0.10111845706102701,-0.10694934619685804,-0.1567378499562758,-0.1419135354436255,-0.11044612571203338,-0.11694760958750543,-0.0958516603395163,-0.1778777916097151,-0.12355654709210491,-0.12403000162915079,0.02522638535465148,12
