,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_random_state,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
63,9.515282940864562,0.7625693598362928,0.10211799144744874,0.018614856208205865,0.8704481740870436,0.8571,0.464,42,7,57,0.2763621810905452,0.048644322161080535,0.5273109054527264,"{'subsample': 0.8704481740870436, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 7, 'max_depth': 57, 'learning_rate': 0.2763621810905452, 'gamma': 0.048644322161080535, 'colsample_bytree': 0.5273109054527264}",-0.1389516492165729,-0.12120889575590524,-0.11860100085340475,-0.1622591060570874,-0.16453342934021714,-0.10521460688176089,-0.127660201300163,-0.1130959505243226,-0.13217026260524378,-0.13938820051675382,-0.13230833030514316,0.018616288846247015,1
4,4.7698962688446045,0.258420853992158,0.10949919223785401,0.025271773456450312,0.858443371685843,0.8571,0.464,42,3,57,0.06446823411705853,0.12056028014007002,0.2882152576288144,"{'subsample': 0.858443371685843, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 3, 'max_depth': 57, 'learning_rate': 0.06446823411705853, 'gamma': 0.12056028014007002, 'colsample_bytree': 0.2882152576288144}",-0.12481682049835943,-0.12459941395043364,-0.13014340369784586,-0.16501211787755812,-0.16673064500188767,-0.12414599282341955,-0.13179610541065473,-0.1216115845575181,-0.15202689156041732,-0.13525178079615108,-0.13761347561742454,0.01634630501505342,2
30,2.7925765037536623,0.09247061886145867,0.10708937644958497,0.01191265400557224,0.35274107053526765,0.8571,0.464,42,7,45,0.18390845422711355,0.03935517758879439,0.10914362181090546,"{'subsample': 0.35274107053526765, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 7, 'max_depth': 45, 'learning_rate': 0.18390845422711355, 'gamma': 0.03935517758879439, 'colsample_bytree': 0.10914362181090546}",-0.12639074347098622,-0.1291637311524721,-0.12711727712351129,-0.17006078552467335,-0.16516925087230142,-0.11320479956839881,-0.13331298329345082,-0.1267288610944121,-0.1516705484193792,-0.13979923458888097,-0.13826182151084662,0.017465951446647983,3
42,14.182831358909606,1.0142295053944614,0.10915355682373047,0.01682492630879132,0.9359743871935968,0.8571,0.464,42,5,55,0.2848579289644822,0.17239969984992495,0.779911955977989,"{'subsample': 0.9359743871935968, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 5, 'max_depth': 55, 'learning_rate': 0.2848579289644822, 'gamma': 0.17239969984992495, 'colsample_bytree': 0.779911955977989}",-0.14173056455252422,-0.12820736241564218,-0.12909617487288014,-0.17799681398818687,-0.1668182396614613,-0.11429483320161693,-0.14722990467469907,-0.11903051390380141,-0.1494079748693242,-0.14611688487743435,-0.14199292670175706,0.019138666571363264,4
81,5.593133711814881,0.26459557320305854,0.10095105171203614,0.016514340857741852,0.8849539769884943,0.8571,0.464,42,5,54,0.2703651825912956,0.12505502751375686,0.1681672336168084,"{'subsample': 0.8849539769884943, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 5, 'max_depth': 54, 'learning_rate': 0.2703651825912956, 'gamma': 0.12505502751375686, 'colsample_bytree': 0.1681672336168084}",-0.13357219671585616,-0.13007794493082028,-0.13394389235120155,-0.17631663539192025,-0.15961567421502557,-0.12269943791353478,-0.1420690377785169,-0.1292512521141192,-0.14724963984048012,-0.14841112597254263,-0.14232068372240175,0.015390540888182787,5
20,9.962512660026551,0.2691802923808709,0.11269972324371338,0.02206285629527149,0.8784513756878439,0.8571,0.464,42,10,42,0.1319344672336168,0.3066428214107053,0.7088835417708854,"{'subsample': 0.8784513756878439, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 10, 'max_depth': 42, 'learning_rate': 0.1319344672336168, 'gamma': 0.3066428214107053, 'colsample_bytree': 0.7088835417708854}",-0.13506244896923375,-0.12780094466845227,-0.13545217035919527,-0.17569559739725904,-0.1677754879908497,-0.12212543903480781,-0.15086666066345886,-0.11850841980988146,-0.16012230625854446,-0.1387700985747465,-0.1432179573726429,0.01855228329662112,6
18,8.8399498462677,1.2803444218929931,0.11162278652191163,0.010954339842316176,0.8949579789894948,0.8571,0.464,42,7,45,0.07246423211605803,0.35848224112056026,0.7904161580790395,"{'subsample': 0.8949579789894948, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 7, 'max_depth': 45, 'learning_rate': 0.07246423211605803, 'gamma': 0.35848224112056026, 'colsample_bytree': 0.7904161580790395}",-0.13301942901910202,-0.13428156384637793,-0.1391526860287102,-0.1711192100756306,-0.17197991593970544,-0.12282262432440673,-0.1409692566707461,-0.12831296446124366,-0.15632012887365357,-0.13984453896167726,-0.14378223182012534,0.016214726565452833,7
82,7.663109612464905,0.36476167698854656,0.10475986003875733,0.018228254090568056,0.7859143571785893,0.8571,0.464,42,3,60,0.3933036518259129,0.14003751875937967,0.24919964982491247,"{'subsample': 0.7859143571785893, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 3, 'max_depth': 60, 'learning_rate': 0.3933036518259129, 'gamma': 0.14003751875937967, 'colsample_bytree': 0.24919964982491247}",-0.1360988666242015,-0.12032696916371251,-0.13784504949273485,-0.16840856935929002,-0.16781673718278708,-0.1308284539455902,-0.14313379118752334,-0.12118494159034804,-0.167486999998186,-0.1486072923408593,-0.14417376708852328,0.017581439464874758,8
17,21.185725927352905,0.8887314121912043,0.09663152694702148,0.015574275972887025,0.5553221110555278,0.8571,0.464,42,1,49,0.2703651825912956,0.27577888944472234,0.817927163581791,"{'subsample': 0.5553221110555278, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 1, 'max_depth': 49, 'learning_rate': 0.2703651825912956, 'gamma': 0.27577888944472234, 'colsample_bytree': 0.817927163581791}",-0.15130846620391367,-0.12538817440335784,-0.1264493843453539,-0.16091580521559443,-0.16808814789745255,-0.12474772379489055,-0.15031159114879586,-0.13052956566468846,-0.16301736278298284,-0.14831129826112477,-0.14490675197181552,0.01593168379987981,9
8,7.0377229928970335,0.42143445715141253,0.11028079986572266,0.033352260715149094,0.5168067033516759,0.8571,0.464,42,3,56,0.0744632316158079,0.3336113056528264,0.5773309154577289,"{'subsample': 0.5168067033516759, 'reg_lambda': 0.8571, 'reg_alpha': 0.464, 'random_state': 42, 'min_child_weight': 3, 'max_depth': 56, 'learning_rate': 0.0744632316158079, 'gamma': 0.3336113056528264, 'colsample_bytree': 0.5773309154577289}",-0.12259047823099631,-0.1379747743296287,-0.13966040693618192,-0.17080156175549147,-0.17193046495499764,-0.12317055785601314,-0.14605057260675675,-0.1293517534879254,-0.16523602676907423,-0.14344980788985073,-0.14502164048169164,0.017622182910559166,10
