,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
61,0.45256168842315675,0.055332039762227885,0.01980748176574707,0.007320679469932111,42,0.6526738369184591,0.00044532266133066536,"{'random_state': 42, 'l1_ratio': 0.6526738369184591, 'alpha': 0.00044532266133066536}",-0.11183530545544733,-0.09188374771264278,-0.10379775672480468,-0.11706899105417667,-0.13995123745966223,-0.09271560292467068,-0.11439867842070334,-0.09130484388586592,-0.09151746162172256,-0.12185533512899804,-0.10763289603886941,0.01552678661257181,1
73,0.41083266735076907,0.07396121679775086,0.01692519187927246,0.009295996116550454,42,0.621689344672336,0.0005701250625312656,"{'random_state': 42, 'l1_ratio': 0.621689344672336, 'alpha': 0.0005701250625312656}",-0.11114376329063443,-0.09197218626256963,-0.10465408990591579,-0.11695554643114923,-0.13952409244004257,-0.09288668549145673,-0.1143001320837123,-0.0917995361726667,-0.09217692011239417,-0.12191944928851199,-0.10773324014790535,0.015250926780366606,2
65,0.35984585285186765,0.056273877844654714,0.0142258882522583,0.0037347628895832304,42,0.5052476238119059,0.0005240670335167584,"{'random_state': 42, 'l1_ratio': 0.5052476238119059, 'alpha': 0.0005240670335167584}",-0.11228758000313897,-0.09195613963422099,-0.10379715506803279,-0.11724908422238661,-0.14013167966085197,-0.09287146243469858,-0.11450675381177654,-0.0914788396353885,-0.09134601804948472,-0.121796518447115,-0.10774212309670947,0.015564820477424994,3
80,0.49464466571807864,0.13912912955995263,0.014503931999206543,0.006481607087904338,42,0.7861070535267634,0.00047553276638319164,"{'random_state': 42, 'l1_ratio': 0.7861070535267634, 'alpha': 0.00047553276638319164}",-0.11094221655658189,-0.09194071029565826,-0.10495675977268097,-0.11684676655392501,-0.1395099372622231,-0.09283408580833305,-0.11422290228558882,-0.09189296436326172,-0.09232287311060455,-0.12201286363688403,-0.10774820796457414,0.015220462823229386,4
70,0.3924246072769165,0.08118407081702657,0.016973137855529785,0.007386694917499917,42,0.6211895947973987,0.0005800300150075037,"{'random_state': 42, 'l1_ratio': 0.6211895947973987, 'alpha': 0.0005800300150075037}",-0.11111605037688171,-0.09196787561011714,-0.10475229227254151,-0.11697274837342918,-0.13949326205293147,-0.09289906529161301,-0.11429957245064434,-0.09184212220390339,-0.09225130114413832,-0.12192098973959883,-0.1077515279515799,0.015230299079105681,5
23,0.35023858547210696,0.02513177079705646,0.016341471672058107,0.006094555742098354,42,0.5602201100550275,0.0004646373186593297,"{'random_state': 42, 'l1_ratio': 0.5602201100550275, 'alpha': 0.0004646373186593297}",-0.11236405591827632,-0.09195558162972703,-0.10379646553119254,-0.1172352213152688,-0.14021374132212722,-0.0928386698822863,-0.11451689728095082,-0.09151337825276991,-0.09125567962718474,-0.12185362037795473,-0.10775433111377383,0.015598040254121443,6
8,0.24451632499694825,0.062493279042654955,0.01354968547821045,0.0025555809954613032,42,0.9335332666333166,0.0004151125562781391,"{'random_state': 42, 'l1_ratio': 0.9335332666333166, 'alpha': 0.0004151125562781391}",-0.11086406115396909,-0.09193713205943982,-0.10508158375994531,-0.1167723952297432,-0.13950018943949205,-0.09281355104944745,-0.11418279700438604,-0.0919661086509682,-0.09243786704184867,-0.12206396475547374,-0.10776196501447136,0.015196387536303634,7
20,0.26796143054962157,0.04457063367104965,0.015858721733093262,0.00407523185196403,42,0.383808404202101,0.000810815407703852,"{'random_state': 42, 'l1_ratio': 0.383808404202101, 'alpha': 0.000810815407703852}",-0.11174765681039184,-0.0920232233877079,-0.10414624355335202,-0.1172876410449875,-0.13962737726794758,-0.09304389519423473,-0.11452936774845114,-0.09161000006864993,-0.09201287832165561,-0.12163641313777548,-0.10776646965351537,0.015318777042464786,8
81,0.3238338232040405,0.06838162018709025,0.014319300651550293,0.0014812876756680662,42,0.4272866433216608,0.0006127163581790896,"{'random_state': 42, 'l1_ratio': 0.4272866433216608, 'alpha': 0.0006127163581790896}",-0.11234287696204101,-0.09198992739263794,-0.1038125114376927,-0.11732059837774143,-0.1401059970036439,-0.09294710680597236,-0.11455424351151569,-0.09153064817060755,-0.09137723162721914,-0.12172328455643314,-0.10777044258455049,0.015541209463547154,9
52,0.4210761070251465,0.11440235116014004,0.01771092414855957,0.006561981524167043,42,0.8695652826413206,0.0004482941470735368,"{'random_state': 42, 'l1_ratio': 0.8695652826413206, 'alpha': 0.0004482941470735368}",-0.11088195152493606,-0.09194098710452042,-0.10510651178631712,-0.1168173396850714,-0.1394785348510551,-0.09285969214434246,-0.11420161408985818,-0.09200350063196082,-0.0925003369530612,-0.12204852712246796,-0.1077838995893591,0.015178682602989184,10
36,0.457658576965332,0.10019272561478754,0.02004585266113281,0.007732608310139329,42,0.7276363181590795,0.0003492446223111556,"{'random_state': 42, 'l1_ratio': 0.7276363181590795, 'alpha': 0.0003492446223111556}",-0.11250775198906872,-0.09197037646017782,-0.10380760578505138,-0.11721734560397865,-0.14035807618549961,-0.0927621930647789,-0.11459353786358216,-0.09157502592203001,-0.0911111057092117,-0.121976781270812,-0.10778797998541909,0.01566023722008691,11
64,0.4130181550979614,0.05747535507074848,0.013311123847961426,0.0020535978212815422,42,0.6156923461730864,0.0006038019009504753,"{'random_state': 42, 'l1_ratio': 0.6156923461730864, 'alpha': 0.0006038019009504753}",-0.11107232315273369,-0.09196680462950962,-0.10495147521139044,-0.11701245334303817,-0.13944098205561323,-0.09294199303227879,-0.11429893764791894,-0.09193325650074939,-0.09240674413765396,-0.12191774809280691,-0.10779427178036931,0.015187317834215019,12
35,0.4078425168991089,0.07922799247047307,0.015681743621826172,0.00717896484220495,42,0.7511245622811404,0.00033488244122061034,"{'random_state': 42, 'l1_ratio': 0.7511245622811404, 'alpha': 0.00033488244122061034}",-0.11256376649940748,-0.09198489040281359,-0.10381496824593316,-0.1172289792255129,-0.14039458146213055,-0.0927543982018693,-0.11463455656251241,-0.09160823334983503,-0.09107654656725232,-0.12200067827778492,-0.10780615987950518,0.01567351719874069,13
22,0.38923087120056155,0.021951364613950527,0.01905689239501953,0.005845809767704778,42,0.6691655827913956,0.0005750775387693847,"{'random_state': 42, 'l1_ratio': 0.6691655827913956, 'alpha': 0.0005750775387693847}",-0.11097175844407911,-0.0919593437341563,-0.10510416353899767,-0.1169861165664612,-0.139424051294523,-0.09294924817170773,-0.1142703784944952,-0.09201624526018327,-0.09254252166271547,-0.12195521064448422,-0.10781790378118032,0.015157223704223559,14
