,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
95,0.042964625358581546,0.00389978608997587,0.007458901405334473,0.0014734261994607482,cholesky,42,6.117558779389695,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 6.117558779389695}",-0.1174726546910914,-0.09423144898809162,-0.10374698294657253,-0.12169077363544892,-0.1381595792016501,-0.09640372973152649,-0.11615436950903363,-0.09390931969553667,-0.09205205475923761,-0.12137020713456423,-0.1095191120292753,0.014845762757767554,1
20,0.25030786991119386,0.07398272112332956,0.00934910774230957,0.0029339770660071402,svd,42,6.117558779389695,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.117558779389695}",-0.11747265469109229,-0.0942314489880913,-0.10374698294657282,-0.12169077363544864,-0.13815957920165084,-0.09640372973152661,-0.11615436950903317,-0.09390931969553701,-0.09205205475923749,-0.12137020713456377,-0.1095191120292754,0.014845762757767656,2
24,0.05459549427032471,0.012185714021265065,0.01469123363494873,0.008751246743391576,cholesky,42,5.88744372186093,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 5.88744372186093}",-0.1174535739482165,-0.09420412621506029,-0.10376163668738726,-0.12165541815922291,-0.13827811260717005,-0.09642564382994037,-0.11618508678043848,-0.09390389541290549,-0.09195782425378277,-0.12137184494648853,-0.10951971628406128,0.014878233297672964,3
64,0.05843782424926758,0.01635343254158838,0.0115128755569458,0.004345945123544776,cholesky,42,5.4622311155577785,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 5.4622311155577785}",-0.11742094445851202,-0.09415916709535306,-0.10380094507020696,-0.12159510509450397,-0.13851714726615325,-0.09647714948712564,-0.11625428186746986,-0.09390480778740276,-0.09178968709392514,-0.12138223145567985,-0.10953014666763325,0.014940236422775052,4
60,0.03764109611511231,0.004396995377814489,0.00648500919342041,0.0012561960919133962,cholesky,42,5.317158579289645,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 5.317158579289645}",-0.11741079953152725,-0.09414571893702592,-0.10381844266614225,-0.12157626420552566,-0.1386052806856688,-0.09649839940635115,-0.11628204434180858,-0.09390870830546795,-0.09173443646693231,-0.12138821915886325,-0.10953683137053132,0.014962038189875876,5
66,0.31649274826049806,0.05492955936530654,0.013716506958007812,0.006342436781129,svd,42,5.302151075537768,"{'solver': 'svd', 'random_state': 42, 'alpha': 5.302151075537768}",-0.11740978391959499,-0.09414438868632542,-0.10382038230295931,-0.12157437150146913,-0.13861460422372873,-0.09650071421155317,-0.11628504804713762,-0.0939092241007424,-0.09172879042066137,-0.12138891566449606,-0.10953762230786683,0.014964313603630682,6
8,0.04387950897216797,0.004756267658815003,0.007784795761108398,0.0007399027791566687,cholesky,42,6.907953976988494,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 6.907953976988494}",-0.11754313016096,-0.09433784642285102,-0.10372560912136948,-0.12182328640176912,-0.13780115776418259,-0.09635456603726038,-0.11607832528741305,-0.09395461912533845,-0.09238837842310833,-0.12138214947714937,-0.10953890682214018,0.014739263714343472,7
54,0.9013439893722535,0.08085721908694049,0.008455848693847657,0.007665561935430338,sag,42,5.607303651825913,"{'solver': 'sag', 'random_state': 42, 'alpha': 5.607303651825913}",-0.11778912007988254,-0.09427872835056648,-0.10365662762565625,-0.12175755318757184,-0.13818829014680947,-0.09639670042590891,-0.11620360886052537,-0.09384605932515674,-0.09200652658962322,-0.12128079890123543,-0.10954040134929362,0.014880458416591023,8
76,0.8134869575500489,0.052652039846724466,0.006313586235046386,0.0009287749503283775,sag,42,6.097548774387193,"{'solver': 'sag', 'random_state': 42, 'alpha': 6.097548774387193}",-0.11781173526091915,-0.0943354935827198,-0.10364109774673087,-0.12182698865478045,-0.13796727185226326,-0.09636602650483164,-0.1161496878076114,-0.09386580857154427,-0.09220335248940563,-0.12129043661003557,-0.1095457899080842,0.014815630740143061,9
88,0.8461236238479615,0.07369823646690613,0.006825017929077149,0.0022967843365706174,sag,42,6.102551275637818,"{'solver': 'sag', 'random_state': 42, 'alpha': 6.102551275637818}",-0.11781165549531349,-0.09433601961775087,-0.10364110547945668,-0.12182762072467597,-0.1379652655678065,-0.09636576208703336,-0.11614918805839426,-0.09386610981598797,-0.09220526725689154,-0.12129062149755865,-0.10954586156008694,0.014814999400909301,10
62,0.055133605003356935,0.02044392109552515,0.00926213264465332,0.004960568466762993,cholesky,42,4.961980990495247,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 4.961980990495247}",-0.11738873702397806,-0.09411760360284847,-0.10387140006217141,-0.12153459900645247,-0.13883705808889274,-0.09655952675581658,-0.11636030581808571,-0.09392695559761642,-0.09160471957093007,-0.12140887834444496,-0.10956097838712368,0.015016959065171814,11
27,0.060344815254211426,0.015364852734855317,0.00872182846069336,0.003812305988402985,cholesky,42,7.353176588294147,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 7.353176588294147}",-0.11758492049513859,-0.0944045240045379,-0.10372984509750265,-0.12190365758208298,-0.1376274507078505,-0.09634156935620596,-0.11605207662198751,-0.0939955415739077,-0.09258402318220027,-0.12139880088632253,-0.10956224095077365,0.014682279994281329,12
77,0.035042428970336915,0.0017862586373563706,0.0071122169494628905,0.002585692549998134,cholesky,42,7.418209104552276,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 7.418209104552276}",-0.1175911004790265,-0.09441459195323261,-0.10373129245813824,-0.12191566375556367,-0.13760355322337758,-0.09634042053350725,-0.11604908890207576,-0.09400232205606765,-0.09261286947372528,-0.12140173968965459,-0.1095662642524369,0.014674118829590584,13
80,0.7540494203567505,0.031570415244215326,0.0065584897994995115,0.0010994209980667705,sag,42,6.737868934467233,"{'solver': 'sag', 'random_state': 42, 'alpha': 6.737868934467233}",-0.11783889065938817,-0.09442200557759878,-0.10364562283868213,-0.12192876400268345,-0.13771441969835063,-0.09633909459402498,-0.11609994139064005,-0.0939123241603667,-0.0924719379930082,-0.12131351174676673,-0.10956865126615098,0.014733959141436277,14
