,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
63,0.40701539516448976,0.025782482917972162,0.019145107269287108,0.002942531202964145,svd,42,6.093996998499249,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.093996998499249}",-0.11857042933388992,-0.09967063311568644,-0.1138376252811944,-0.12784976825231928,-0.13934574828506452,-0.10586826712186011,-0.12050858257908517,-0.09397573282512814,-0.0937301293180665,-0.1231382184633037,-0.11364951345755983,0.014363402349671022,1
51,0.3929945468902588,0.010850126673185526,0.020479416847229003,0.004940394732641044,svd,42,6.089194597298649,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.089194597298649}",-0.11857025689156554,-0.09966992062794272,-0.11383882669285325,-0.12784897892205113,-0.13934851484046779,-0.10587007012287586,-0.12051033138003817,-0.09397530300214339,-0.09372805965242254,-0.12313903339635084,-0.11364992955287112,0.014364269871931502,2
32,0.387879467010498,0.025496515646748076,0.020020675659179688,0.003414055381979389,svd,42,6.086493246623311,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.086493246623311}",-0.11857016029746584,-0.09966952011984813,-0.11383950353327824,-0.1278485350757586,-0.1393500724532045,-0.10587108556366609,-0.1205113162928411,-0.09397506192684713,-0.09372689580229364,-0.12313949260231959,-0.11365016436675227,0.014364758051325867,3
93,0.40446445941925047,0.02364922790891079,0.016005921363830566,0.003090884688439553,svd,42,6.081690845422711,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.081690845422711}",-0.1185699892960218,-0.09966880857976444,-0.11384070866814329,-0.1278477462866687,-0.1393528440801079,-0.10587289302220206,-0.12051306940731614,-0.0939746345951899,-0.09372482733595128,-0.1231403104037869,-0.11365058316751524,0.014365626278458528,4
36,0.4077681303024292,0.032875113525699586,0.018705105781555174,0.003237349811664122,svd,42,6.078389194597298,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.078389194597298}",-0.11856987226942237,-0.09966831974875243,-0.11384153858346169,-0.12784720419589443,-0.1393547514601766,-0.10587413730829258,-0.12051427627823127,-0.09397434173159573,-0.09372340571243291,-0.12314087370943312,-0.11365087209976929,0.014366223446742071,5
49,0.39518051147460936,0.0173950902873747,0.017730045318603515,0.0034286750037784753,svd,42,6.069684842421211,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.069684842421211}",-0.11856956584935444,-0.09966703239416425,-0.11384373196294255,-0.1278457758385303,-0.13935978739073235,-0.10587742418950147,-0.1205174643092814,-0.09397357326478464,-0.0937196595492953,-0.12314236296458009,-0.11365163777131668,0.014367798825028104,6
53,0.39706318378448485,0.01521124623348872,0.022042155265808105,0.002315761159207889,svd,42,6.069084542271135,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.069084542271135}",-0.11856954482973082,-0.09966694368509195,-0.11384388352067755,-0.1278456773735327,-0.13936013509149142,-0.10587765121842098,-0.12051768450968907,-0.09397352046130461,-0.09371940128722292,-0.12314246589541394,-0.11365169078725759,0.014367907526689283,7
18,0.36775157451629636,0.040694847111303126,0.01765902042388916,0.004900971931194663,svd,42,6.06128064032016,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.06128064032016}",-0.1185692729039698,-0.0996657913385265,-0.11384585718568489,-0.12784439782852772,-0.1393646598512307,-0.10588060668289015,-0.12052055107086816,-0.09397283630173375,-0.09371604498871706,-0.12314380662711259,-0.11365238247792613,0.014369321293826402,8
73,0.39372711181640624,0.015806841731374803,0.02127988338470459,0.009984464671334146,svd,42,6.059179589794897,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.059179589794897}",-0.1185692001159607,-0.09966548136834408,-0.11384638964185709,-0.12784405349468106,-0.13936587953305513,-0.10588140368388092,-0.12052132409418624,-0.09397265283116753,-0.09371514172250739,-0.12314416842921969,-0.11365256949148599,0.014369702128492659,9
13,0.4430903196334839,0.015397636178343995,0.02027876377105713,0.003427091018550022,svd,42,6.055277638819409,"{'solver': 'svd', 'random_state': 42, 'alpha': 6.055277638819409}",-0.1185690654155031,-0.0996649060218804,-0.11384737971211067,-0.1278434141971306,-0.1393681463219076,-0.10588288529319693,-0.12052276112594683,-0.09397231291898432,-0.0937134646263449,-0.12314484128984855,-0.1136529176922854,0.014370409623989193,10
