,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
43,0.0766005277633667,0.016476623411994955,0.010292506217956543,0.0031747967558573217,lsqr,42,10.456123061530764,"{'solver': 'lsqr', 'random_state': 42, 'alpha': 10.456123061530764}",-0.11740282087592593,-0.10494981800493437,-0.11310331013813647,-0.1554028812371743,-0.14004826169761064,-0.10740863165351959,-0.12346583185927382,-0.10271123699842213,-0.18154871123421445,-0.12687851657887111,-0.12729200202780827,0.023894340811473243,1
3,0.24087090492248536,0.03587234820719846,0.009509754180908204,0.003234560291660545,svd,42,11.056417208604302,"{'solver': 'svd', 'random_state': 42, 'alpha': 11.056417208604302}",-0.11728048603071944,-0.105144296320064,-0.11322200348913213,-0.15552232869455845,-0.13999639158886884,-0.10703832825373936,-0.12355632556650263,-0.10285950654550378,-0.18159076132922133,-0.1269084523341834,-0.12731188801524934,0.023909581490197333,2
35,0.09439411163330078,0.012947806183903255,0.01423661708831787,0.0030905970322103334,sparse_cg,42,10.55617208604302,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 10.55617208604302}",-0.11773983530433406,-0.10514807352285084,-0.11312791684307073,-0.15546806922668818,-0.13999377726482806,-0.10700067922141435,-0.12396147201118987,-0.10242554294942659,-0.18168727495759035,-0.12694427753285492,-0.1273496918834248,0.023953181357788268,3
9,0.053453922271728516,0.008460188579311505,0.009900903701782227,0.002405461214173314,cholesky,42,12.507128064032015,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 12.507128064032015}",-0.11727475015703168,-0.10556736703551081,-0.11305366156428946,-0.15593470566291404,-0.13989771065728593,-0.10674285456819169,-0.12343099187433995,-0.10311650288829552,-0.18172591046667283,-0.1268541897383478,-0.12735986446128794,0.0239565636833114,4
66,0.6486116886138916,0.05548995398919176,0.006876468658447266,0.0013975960530082606,sag,42,12.10693196598299,"{'solver': 'sag', 'random_state': 42, 'alpha': 12.10693196598299}",-0.11744170285727333,-0.10560134317167084,-0.11313042639941326,-0.15584219552434164,-0.13992752774790507,-0.10679144171469798,-0.12351618887579488,-0.10308515800655177,-0.1815530304022145,-0.12674871409666116,-0.12736377287965245,0.02389108043937357,5
40,0.038367938995361325,0.008808013062700463,0.005281376838684082,0.00032237628765536175,sparse_cg,42,11.556662331165581,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 11.556662331165581}",-0.11772197161136891,-0.10549153624196972,-0.11301737235508108,-0.15566232765478238,-0.1399134366693733,-0.10692058531285431,-0.12370316870850709,-0.1026226497102139,-0.1817616660833075,-0.12693773751449258,-0.12737524518619509,0.023954620911849606,6
26,0.07945401668548584,0.023167938360217626,0.00836169719696045,0.0019397143679435738,sparse_cg,42,14.808255627813907,"{'solver': 'sparse_cg', 'random_state': 42, 'alpha': 14.808255627813907}",-0.11742900464927016,-0.10624331817522246,-0.1129240425806269,-0.15635511583392175,-0.13979288422270864,-0.10642072305311633,-0.12346137536128664,-0.10315913596888868,-0.18143747084609407,-0.12698192488075208,-0.12742049955718876,0.02389988021686059,7
80,0.04055192470550537,0.0028532309091567664,0.0071163177490234375,0.0010805047252486289,cholesky,42,16.05886843421711,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 16.05886843421711}",-0.11731658022184058,-0.10648428121010375,-0.11281772387697597,-0.1569102356473539,-0.1398168275737317,-0.10629079916596318,-0.1233128764162176,-0.10383277093534823,-0.18223101946661252,-0.12692023374949415,-0.12759333482636417,0.02408491509531587,8
44,0.3151214122772217,0.03396846514601077,0.012253713607788087,0.0029647687255116542,svd,42,16.60913806903452,"{'solver': 'svd', 'random_state': 42, 'alpha': 16.60913806903452}",-0.11732879647680292,-0.10661447200266815,-0.11279887227322166,-0.15705563319311225,-0.1398192468239673,-0.10624605938795324,-0.1233121783164789,-0.10395042339361071,-0.18232211326978434,-0.1269476626458829,-0.12763954577834824,0.024104991107737738,9
70,0.21204993724822999,0.017977777032896967,0.007180953025817871,0.0019886404399319245,svd,42,17.05935867933967,"{'solver': 'svd', 'random_state': 42, 'alpha': 17.05935867933967}",-0.11733976228941354,-0.10671902215906612,-0.11278638404545441,-0.1571733375149345,-0.13982357192226613,-0.10621343166298802,-0.12331436174570809,-0.10404750849084529,-0.18239820870276974,-0.12697261197840873,-0.12767882005118547,0.024121309991286793,10
0,0.05531225204467773,0.011407443568867503,0.011681580543518066,0.005448251027571066,cholesky,42,19.510559779889945,"{'solver': 'cholesky', 'random_state': 42, 'alpha': 19.510559779889945}",-0.11741315140903995,-0.10726065268322255,-0.11275926162399001,-0.15779390738142107,-0.13987876674911692,-0.10608951809042144,-0.12336323672097496,-0.10458492253152743,-0.18282958231197866,-0.12714046503742593,-0.12791134645391192,0.024207523540024267,11
