,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
45,0.04486837387084961,0.004553817418427045,0.008327317237854005,0.0010870576194408062,42,10.05352676338169,"{'random_state': 42, 'alpha': 10.05352676338169}",-0.11729441323039978,-0.10483012399556069,-0.11337016268513687,-0.15523576464798242,-0.1400964335549369,-0.10729629271962947,-0.12367999987213316,-0.10270139671882243,-0.18153909916655664,-0.12698776925262842,-0.12730314558437866,0.023882052627092653,1
97,0.04324409961700439,0.003301142457160504,0.008130502700805665,0.0011277640981251214,42,10.018509254627315,"{'random_state': 42, 'alpha': 10.018509254627315}",-0.11729506596477826,-0.10481879095950059,-0.11337586501333065,-0.15522577101999496,-0.14010048200286537,-0.1073062381382106,-0.12368496000377519,-0.10269622911441194,-0.1815380799402897,-0.12699128337094284,-0.12730327655280999,0.023881195761989642,2
88,0.04640028476715088,0.009340123650639343,0.009662532806396484,0.0022188539730919952,42,9.920460230115058,"{'random_state': 42, 'alpha': 9.920460230115058}",-0.1172969571909594,-0.10478692011619414,-0.11339203265740819,-0.1551978004065276,-0.14011203378858672,-0.10733445082962986,-0.12369909723334396,-0.10268189884164243,-0.1815355417690912,-0.12700141514561267,-0.12730381479789962,0.02387884046943411,3
70,0.04318389892578125,0.0035263860967154254,0.008950328826904297,0.001619450816768408,42,10.47023511755878,"{'random_state': 42, 'alpha': 10.47023511755878}",-0.11728753492298831,-0.10496304837708847,-0.11330512613553757,-0.1553548024580745,-0.14005125296199977,-0.10718300597836286,-0.12362443066248599,-0.10276480807088609,-0.18155553274742145,-0.1269499860951296,-0.12730395284099744,0.023892835413315622,4
99,0.038086676597595216,0.007147819208867982,0.005856442451477051,0.0018052688268770777,42,10.487743871935969,"{'random_state': 42, 'alpha': 10.487743871935969}",-0.11728728091455681,-0.10496855704851256,-0.11330250475709727,-0.15535980691395784,-0.14004947158080774,-0.10717844363520372,-0.12362223097809223,-0.10276754687557385,-0.18155638892082013,-0.12694855552856946,-0.12730407871531915,0.02389331058664745,5
49,0.04841039180755615,0.009339664079156151,0.008763408660888672,0.0004803852423258149,42,9.867933966983491,"{'random_state': 42, 'alpha': 9.867933966983491}",-0.11729800930104815,-0.10476976175022416,-0.11340081700068481,-0.155182823945722,-0.14011835508220036,-0.10734978947514731,-0.12370682359574084,-0.1026743074926923,-0.1815343771239823,-0.1270070227337357,-0.12730420875011778,0.023877606053528854,6
7,0.04494738578796387,0.003786121052666062,0.0088301420211792,0.0008575247873622802,42,10.519259629814908,"{'random_state': 42, 'alpha': 10.519259629814908}",-0.11728683063364945,-0.10497845751007347,-0.11329780835658491,-0.1553688151870813,-0.1400462880805729,-0.1071702702360242,-0.12361829814909309,-0.10277249127868404,-0.18155796212714226,-0.1269460112411249,-0.12730432328000305,0.02389417009405313,7
62,0.0505906343460083,0.011108508463122635,0.00826435089111328,0.0014384038517765792,42,10.533266633316659,"{'random_state': 42, 'alpha': 10.533266633316659}",-0.11728663336100713,-0.10498285148459874,-0.11329573015140039,-0.15537281895068708,-0.14004488263560189,-0.10716665356246129,-0.12361656115740147,-0.1027746947665411,-0.18155867449072305,-0.12694489306703327,-0.12730443936274552,0.02389455381284865,8
94,0.0451509952545166,0.002884632824405749,0.009874367713928222,0.0035553175323126043,42,10.540270135067534,"{'random_state': 42, 'alpha': 10.540270135067534}",-0.11728653538105906,-0.10498504703796127,-0.11329469313959603,-0.15537482084913634,-0.14004418208442795,-0.10716484889227613,-0.12361569517546481,-0.10277579788340153,-0.18155903369347112,-0.12694433688034168,-0.1273044991017136,0.02389474606508827,9
29,0.042270970344543454,0.0024292031566266943,0.009472036361694336,0.002648458710555932,42,9.790895447723862,"{'random_state': 42, 'alpha': 9.790895447723862}",-0.11729960221576927,-0.10474448794244352,-0.11341385792344896,-0.1551608695777102,-0.1401277968267049,-0.10737257467733702,-0.12371835162260895,-0.10266328358080876,-0.18153292110318833,-0.1270154784236368,-0.1273049223893657,0.023875831230487247,10
