,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
73,0.14233312606811524,0.026935340894474066,0.009892535209655762,0.0017788576994309268,42,0.0011494747373686845,"{'random_state': 42, 'alpha': 0.0011494747373686845}",-0.11134048051107968,-0.10977714660883518,-0.10967311549674968,-0.15581818421578456,-0.14480043773246018,-0.10484406335366796,-0.12157384376825162,-0.10310135565347103,-0.1794223506907696,-0.13095119077282272,-0.12713021688038922,0.024175257142268175,1
22,0.07133936882019043,0.013000101903439698,0.008756899833679199,0.0016520938025254648,42,0.0037981490745372685,"{'random_state': 42, 'alpha': 0.0037981490745372685}",-0.13341906646293605,-0.12516735735863874,-0.12604668656529586,-0.17391864392420686,-0.1545526291759193,-0.12663573023850577,-0.13846665031210684,-0.13135491963127113,-0.20467192154377722,-0.1441589609593504,-0.1458392566172008,0.024361325595002835,2
96,0.06410913467407227,0.004205069880447362,0.009571647644042969,0.0012978254602173907,42,0.0041479739869934975,"{'random_state': 42, 'alpha': 0.0041479739869934975}",-0.1352332267524675,-0.12688288722697755,-0.12793563176415212,-0.174715132780653,-0.15608705609872306,-0.12796088665999927,-0.13970523464265272,-0.1334847313054388,-0.20697211439907975,-0.1453480738311843,-0.1474324975461328,0.024399150065876625,3
89,0.05969347953796387,0.004184514349843394,0.009026122093200684,0.0009997838910978522,42,0.006596748374187094,"{'random_state': 42, 'alpha': 0.006596748374187094}",-0.1454343136368748,-0.13687404672656642,-0.13974826544971808,-0.1789409259512223,-0.16756479592920523,-0.13501698029865597,-0.14731547511504894,-0.14541519415780865,-0.21581800995975503,-0.15084835501532556,-0.1562976362240181,0.023734319818722753,4
34,0.056567716598510745,0.0057644108212921335,0.00971534252166748,0.001756073770320884,42,0.006646723361680841,"{'random_state': 42, 'alpha': 0.006646723361680841}",-0.1455915830756373,-0.13704298422644196,-0.13995614578645638,-0.17899650124815558,-0.16775952370451647,-0.13509183148779894,-0.14743907740260465,-0.1456164857699004,-0.21589624950532596,-0.1509044023260579,-0.15642947845328956,0.02371112374479466,5
61,0.05566771030426025,0.009559015916459333,0.010596013069152832,0.0030835629129836724,42,0.010444822411205602,"{'random_state': 42, 'alpha': 0.010444822411205602}",-0.15087801230537193,-0.14342040279927382,-0.1471636386203378,-0.1817863622981572,-0.17505152378319846,-0.1379508374445572,-0.15173203589770146,-0.15205062880877737,-0.21960971541620902,-0.15418545309603598,-0.16138286104696203,0.02325893636813207,6
83,0.05677609443664551,0.011353058714983977,0.011030268669128419,0.003418901940956765,42,0.011794147073536768,"{'random_state': 42, 'alpha': 0.011794147073536768}",-0.1514770256673,-0.14408642041899133,-0.14803777468636076,-0.1822900176342225,-0.17609938345786316,-0.13821052954839344,-0.1524468974207721,-0.1523918456876574,-0.2198748428280679,-0.1549288270187793,-0.16198435643684078,0.023207895773744058,7
65,0.054592680931091306,0.005505928635385678,0.010664653778076173,0.0025702171919062826,42,0.01239384692346173,"{'random_state': 42, 'alpha': 0.01239384692346173}",-0.1517741713259986,-0.1443595831989719,-0.1484650173467201,-0.182459297626853,-0.1765789574707245,-0.13841566661321553,-0.15275601153194285,-0.152573230620233,-0.21987504014814235,-0.15517779863782735,-0.1622434774520629,0.023143211679972877,8
80,0.056858277320861815,0.015979597456575807,0.009124827384948731,0.0020815338693369457,42,0.012493796898449224,"{'random_state': 42, 'alpha': 0.012493796898449224}",-0.1518259964831017,-0.14440676282411655,-0.14854518356596194,-0.18248871759277235,-0.17665326185186328,-0.1384517266199078,-0.1528098689505951,-0.15260539389712413,-0.21987566703684372,-0.15522343180145065,-0.16228860106237372,0.023131126596325144,9
47,0.057085704803466794,0.004518493324076175,0.008025097846984863,0.0008194157296597648,42,0.013043521760880441,"{'random_state': 42, 'alpha': 0.013043521760880441}",-0.15212059523326368,-0.1446749092360014,-0.1490018177521127,-0.18265671606100112,-0.17707196880600046,-0.13866643551861133,-0.1531179779386674,-0.15279131829092205,-0.21987897543279508,-0.15550059622200305,-0.16254813104913782,0.023060653175186612,10
31,0.05410609245300293,0.0057462735315669455,0.011772418022155761,0.0024378444593087657,42,0.013893096548274137,"{'random_state': 42, 'alpha': 0.013893096548274137}",-0.15252026273453909,-0.14511572289027183,-0.14964946149937636,-0.18293683308773453,-0.1777460225066765,-0.13907152435197462,-0.15351479215610334,-0.15297535474897547,-0.2198635238072769,-0.15594426306902506,-0.16293377608519535,0.02295444655600036,11
30,0.05436773300170898,0.0068910593472309815,0.010485959053039551,0.002094869596004553,42,0.014442821410705353,"{'random_state': 42, 'alpha': 0.014442821410705353}",-0.152742082380301,-0.1453652610540846,-0.15002637425455648,-0.18310351934917193,-0.17817657538906068,-0.1393517847329233,-0.1537509987539422,-0.15306705472342125,-0.21986325682348626,-0.1562175869603369,-0.16316644944212846,0.022894548144940335,12
14,0.05652925968170166,0.011453300765610765,0.010730767250061035,0.0023289056813155665,42,0.01704152076038019,"{'random_state': 42, 'alpha': 0.01704152076038019}",-0.15394282452015914,-0.14634837495273556,-0.1519182892941836,-0.18383357701427838,-0.18026184494246805,-0.14034052139114947,-0.15499093627827668,-0.1535739954097108,-0.21993953157311752,-0.15754929646683283,-0.1642699191842912,0.022663324317205434,13
45,0.05893394947052002,0.004298738698349399,0.008734440803527832,0.0024032918194855256,42,0.017141470735367682,"{'random_state': 42, 'alpha': 0.017141470735367682}",-0.1539847155093282,-0.14638278123515194,-0.15199452034735653,-0.18385722868354917,-0.18034604767250034,-0.14037437147265175,-0.1550466307050775,-0.15358831487062588,-0.21993891558466944,-0.15759506142079158,-0.1643108587501702,0.022654496646964898,14
28,0.057080960273742674,0.011657268401312594,0.01153876781463623,0.0027267432336439707,42,0.017391345672836418,"{'random_state': 42, 'alpha': 0.017391345672836418}",-0.1540909494802315,-0.1464699367618623,-0.15218658818172356,-0.18391722839948424,-0.18055782769052103,-0.14045986101200406,-0.15518843449032932,-0.15362502641100473,-0.21993239175339224,-0.15771055022100824,-0.16441387944015612,0.02263096399673714,15
9,0.05504488945007324,0.009241388442524692,0.009532785415649414,0.002890825523691068,42,0.018690695347673838,"{'random_state': 42, 'alpha': 0.018690695347673838}",-0.15468046236820446,-0.14694941002793063,-0.15312691215081387,-0.18424907062791374,-0.18167440482539812,-0.14092303992986174,-0.15593888478128543,-0.15386445184110328,-0.21985973093667383,-0.15833581532201746,-0.16496021828112029,0.022498087084700944,16
85,0.05658576488494873,0.011670050485092292,0.010620474815368652,0.0026765071902156005,42,0.019390345172586292,"{'random_state': 42, 'alpha': 0.019390345172586292}",-0.1550177317633793,-0.14722225606000272,-0.15363193852608847,-0.18441082412070328,-0.1822507680118945,-0.14118666026488627,-0.1563594437424642,-0.15401708357254332,-0.21983116558388077,-0.1586828646095658,-0.16526107362554085,0.02242172141015103,17
7,0.05170888900756836,0.004150036064664347,0.009593629837036132,0.002414567207294806,42,0.020489794897448725,"{'random_state': 42, 'alpha': 0.020489794897448725}",-0.15557442781214847,-0.14769986175441638,-0.15444668154929725,-0.18467594778434968,-0.1831808074362022,-0.14161751439405224,-0.15707573236965588,-0.15427760292266868,-0.21980336562723962,-0.15920814180067522,-0.16575600834507054,0.02230008267679929,18
93,0.05167818069458008,0.003895552526385457,0.010631871223449708,0.0016781526952026476,42,0.020539769884942473,"{'random_state': 42, 'alpha': 0.020539769884942473}",-0.1556004703716937,-0.14772258988213438,-0.15448431049079409,-0.18468851995881205,-0.18322378188007543,-0.14163996142879842,-0.15710988739598516,-0.1542900704166024,-0.21980260020453166,-0.1592318507532698,-0.1657794042782697,0.022294289678981238,19
56,0.05877401828765869,0.007490856966753676,0.012076830863952637,0.0024657432850415874,42,0.021939069534767385,"{'random_state': 42, 'alpha': 0.021939069534767385}",-0.1563513735614152,-0.14838110882870784,-0.15555894487786504,-0.18505886241927352,-0.18445150834186577,-0.14228972696948577,-0.15812194757624626,-0.15466108162275422,-0.21976111180778118,-0.15991753187369684,-0.16645531978790915,0.022122901198734776,20
24,0.05594470500946045,0.012139284146860621,0.00968313217163086,0.0013935255001505072,42,0.023188444222111054,"{'random_state': 42, 'alpha': 0.023188444222111054}",-0.15705945525943374,-0.14900479491104923,-0.15655227544679948,-0.18541930447190702,-0.1855867616860434,-0.14289915566130165,-0.1590971121387359,-0.15502863001096368,-0.21974849752621373,-0.16056488406248198,-0.16709608711749296,0.021970156317914102,21
54,0.05358443260192871,0.00750406892007134,0.009353947639465333,0.0015923553102547964,42,0.02328839419709855,"{'random_state': 42, 'alpha': 0.02328839419709855}",-0.15711774290159086,-0.1490561417715553,-0.15663310200383582,-0.18544934835940255,-0.1856791902197089,-0.14294912913429852,-0.15917866399291225,-0.155059429084788,-0.21974882871586707,-0.16061809438421148,-0.1671489670568171,0.02195801650458274,22
