,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
16,0.0443079948425293,0.005550544678288006,0.009031844139099122,0.002312494085307694,42,10.178589294647324,"{'random_state': 42, 'alpha': 10.178589294647324}",-0.117292178151989,-0.10487038974384114,-0.11335010175261273,-0.15527147117041123,-0.14008230020967366,-0.10726132351365766,-0.1236626601435926,-0.10272006124880363,-0.18154321084635305,-0.1269756580010811,-0.12730293547820157,0.023885177817291332,1
35,0.04799172878265381,0.018652843734809334,0.009879231452941895,0.0039774977375752205,42,10.154577288644322,"{'random_state': 42, 'alpha': 10.154577288644322}",-0.11729259572729048,-0.10486268391408235,-0.11335391680109826,-0.155264613870575,-0.1400849747656172,-0.10726797159570153,-0.12366594434762539,-0.10271645263694072,-0.18154236504711915,-0.12697793071522787,-0.1273029449421278,0.023884570060866868,2
25,0.044087553024291994,0.004791925905863154,0.008192658424377441,0.0009448920908246706,42,10.11855927963982,"{'random_state': 42, 'alpha': 10.11855927963982}",-0.11729323235322682,-0.10485110279696967,-0.11335967192351956,-0.15525432931736657,-0.14008902122772787,-0.10727800225158733,-0.12367091059234551,-0.1027110618956911,-0.181541146229676,-0.1269813864531087,-0.12730298650412192,0.023883665240847576,3
47,0.04644596576690674,0.008141462780115629,0.008098721504211426,0.00046592801904385466,42,10.11055527763882,"{'random_state': 42, 'alpha': 10.11055527763882}",-0.11729337550455428,-0.10484852555632249,-0.11336095616256818,-0.15525204410081062,-0.140089926112748,-0.10728024087309791,-0.12367202074163862,-0.10270986758759638,-0.1815408835674116,-0.12698216204151566,-0.12730300022482638,0.023883465291198235,4
1,0.04067661762237549,0.0027109116650270914,0.007950663566589355,0.0011512771063654445,42,10.258629314657329,"{'random_state': 42, 'alpha': 10.258629314657329}",-0.11729082545767436,-0.1048959903042632,-0.11333750940515841,-0.15529433363448414,-0.14007351705367058,-0.1072393863827038,-0.12365186515012852,-0.10273217438981719,-0.18154621956422498,-0.12696826003242578,-0.1273030081374551,0.023887229396396314,5
29,0.04366679191589355,0.001984601338736099,0.008241677284240722,0.000850545945241824,42,10.09854927463732,"{'random_state': 42, 'alpha': 10.09854927463732}",-0.11729359137987233,-0.10484465719310156,-0.11336288616089768,-0.15524861644628185,-0.14009128732289555,-0.10728360536909949,-0.12367369044164113,-0.10270807861499796,-0.18154049518778606,-0.126983330661319,-0.12730302387778927,0.023883166137549008,6
96,0.04450371265411377,0.00873158476106071,0.010251760482788086,0.005717476170424053,42,10.096548274137069,"{'random_state': 42, 'alpha': 10.096548274137069}",-0.11729362749323019,-0.10484401217362738,-0.1133632082524055,-0.15524804519071256,-0.1400915146449568,-0.10728416688545646,-0.12367396924798345,-0.10270778074387575,-0.18154043111427945,-0.12698352604337682,-0.12730302817899042,0.02388311636882226,7
17,0.04073212146759033,0.004746415027786518,0.008165764808654784,0.0005760637130602562,42,10.27063531765883,"{'random_state': 42, 'alpha': 10.27063531765883}",-0.11729062772471273,-0.10489981910745062,-0.11333563697303727,-0.15529776357781275,-0.14007221695275235,-0.10723612517068079,-0.12365026595576561,-0.10273400245744407,-0.18154669570397913,-0.12696717370426577,-0.1273030327327901,0.023887540489866167,8
68,0.04053785800933838,0.005214286337820916,0.008023381233215332,0.0009813679558023226,42,10.286643321660831,"{'random_state': 42, 'alpha': 10.286643321660831}",-0.11729036616671532,-0.10490491962668802,-0.11333314702343929,-0.15530233704493626,-0.1400704904796035,-0.10723178870713337,-0.12364814177430791,-0.10273644434363015,-0.1815473405224432,-0.12696573466737177,-0.12730307103562688,0.02388795662206677,9
13,0.04056880474090576,0.003008449515653674,0.008341288566589356,0.00064765793695465,42,10.336668334167083,"{'random_state': 42, 'alpha': 10.336668334167083}",-0.11728956409758722,-0.1049208253588799,-0.11332541454955301,-0.15531663054898628,-0.14006514648589632,-0.10721832382498032,-0.12364156289022059,-0.10274410789847577,-0.1815494284024221,-0.12696130649356038,-0.1273032310550562,0.023889266801391414,10
42,0.04150688648223877,0.0033436974695736483,0.008383440971374511,0.0010516828757721468,42,10.020510255127563,"{'random_state': 42, 'alpha': 10.020510255127563}",-0.11729502834562575,-0.10481943925834507,-0.11337553815285169,-0.15522634202952865,-0.1401002495766496,-0.10730566799159902,-0.12368467531637427,-0.10269652370797892,-0.1815381365999598,-0.12699108109634216,-0.1273032682075255,0.02388124450644662,11
66,0.04602651596069336,0.007624015460687317,0.00745391845703125,0.0005835246479470125,42,10.352676338169085,"{'random_state': 42, 'alpha': 10.352676338169085}",-0.11728931230942677,-0.10492590455430349,-0.11332295565122831,-0.15532120488352888,-0.14006345270657816,-0.10721404259890731,-0.1236394764796281,-0.10274657061651035,-0.1815501196323054,-0.1269599113557588,-0.12730329507881755,0.023889689146948497,12
15,0.046193718910217285,0.008182782849947706,0.0082993745803833,0.0018765629038250404,42,10.010505252626313,"{'random_state': 42, 'alpha': 10.010505252626313}",-0.11729521683027959,-0.1048161969175967,-0.11337717368605003,-0.15522348705025993,-0.1401014130286831,-0.10730852095848542,-0.12368610027469434,-0.10269505158936752,-0.18153785522755167,-0.1269920942547515,-0.127303310981772,0.023881001051579417,13
58,0.04217276573181152,0.0031117112307716102,0.008172440528869628,0.0009715822020236166,42,10.002501250625313,"{'random_state': 42, 'alpha': 10.002501250625313}",-0.11729536831865198,-0.10481360151994938,-0.11337848432989286,-0.15522120319119403,-0.14010234617084152,-0.10731080735772194,-0.12368724298279807,-0.10269387542511303,-0.1815376336020902,-0.12699290799938087,-0.12730334708976337,0.02388080677014436,14
11,0.04078071117401123,0.0045655356788094304,0.008476495742797852,0.0018554537207210837,42,10.370685342671335,"{'random_state': 42, 'alpha': 10.370685342671335}",-0.11728903185952146,-0.10493161251064709,-0.11332019833153385,-0.15532635122533275,-0.1400615565938088,-0.10720924208085378,-0.12363714011926946,-0.10274934714844311,-0.181550910543572,-0.12695835442038025,-0.12730337448333626,0.02389016605367671,15
9,0.04249305725097656,0.005678531837572863,0.009058737754821777,0.001872010739958151,42,10.402701350675338,"{'random_state': 42, 'alpha': 10.402701350675338}",-0.11728854060669405,-0.10494174399575706,-0.11331531972692059,-0.15533550079185046,-0.14005821015720557,-0.10720074909606862,-0.12363301483223117,-0.10275429873860563,-0.18155235108772144,-0.1269556192902604,-0.1273035348323315,0.02389101846582159,16
10,0.040113520622253415,0.00284210060874993,0.008184361457824706,0.0010973442811898142,42,10.406703351675837,"{'random_state': 42, 'alpha': 10.406703351675837}",-0.11728847985739796,-0.10494300899611671,-0.11331471199236601,-0.15533664453039298,-0.14005779404289917,-0.1071996911727386,-0.12363250170382593,-0.10275491907912863,-0.18155253424184947,-0.12695528033433098,-0.12730355659510467,0.02389112542612355,17
